X,Y,f_H_train
0.1,1.0,0.009903171376491157
0.3,0.04,0.423875640447994
0.26,0.24,0.4108382039680831
0.84,0.4,0.016111500930688086
0.98,0.58,0.1222717542095668
0.18,0.8,0.00997461992967236
0.44,0.2,0.09020448838697434
1.0,0.9400000000000001,0.7949961310613168
0.36,0.12,0.2640204763810947
0.62,0.6,0.04404805070662592
0.3,1.0,0.01050608403594439
0.26,0.42,0.08644293404714798
0.92,0.46,0.030347313874649146
0.22,0.3,0.3434550221979068
0.68,0.38,0.011832951315552105
1.0,0.12,0.009905143110828381
0.74,0.06,0.010166768862042742
0.9400000000000001,0.88,0.9611776567245188
0.3,1.0,0.01050608403594439
0.86,0.38,0.014199345817873181
0.06,0.08,0.9611776567217587
0.5,0.3,0.02806527201638207
0.42,0.48,0.01730290287465208
0.74,0.56,0.06868502530945093
0.92,0.96,0.9238775593025831
0.66,0.86,0.3129227654474486
0.8200000000000001,0.9400000000000001,0.8536076899970093
0.08,0.64,0.012781254767112294
0.8200000000000001,0.8,0.7231316630408897
0.02,0.76,0.01004435670879015
0.54,0.18,0.02803747012331014
0.08,0.04,0.923877559302583
0.28,0.66,0.011022280674143778
0.12,0.22,0.7463241487552806
0.4,0.02,0.15389966236062833
0.66,0.98,0.2851853395664744
0.62,0.9400000000000001,0.20979841792770246
0.16,0.78,0.010002576805355443
0.34,0.02,0.28518533956647424
0.9400000000000001,0.84,0.9022032501711297
0.32,0.32,0.15275368469933925
0.36,0.88,0.012782215343829678
0.5,0.42,0.015509253053834323
0.96,0.32,0.011003731682141598
0.8200000000000001,0.24,0.010065252890013681
0.68,0.8200000000000001,0.3407972007025641
0.46,0.08,0.08343907920300316
0.34,0.56,0.01463005343741364
0.32,0.24,0.2640206563635534
0.2,0.7000000000000001,0.010530712366706553
0.3,0.76,0.010473545335446505
0.84,0.32,0.011010180084627718
0.54,0.44,0.01301918469330074
0.52,0.98,0.058412552102159544
0.96,0.52,0.061206719402509165
0.18,0.26,0.5319726357698988
0.9,0.92,0.992110805587376
0.4,0.4,0.03699898721743803
0.58,0.52,0.017302902874652065
0.8,0.06,0.00995461835178373
0.1,0.04,0.9312186984437331
0.68,0.78,0.2918722012856106
0.86,0.5,0.048988823144586115
0.98,0.66,0.2851853395664744
0.0,0.36,0.21962750953120955
0.24,0.86,0.01006511257931503
0.2,0.78,0.010020072498856964
0.4,1.0,0.015362803068544288
0.78,0.58,0.1056579661612915
0.48,0.92,0.03874212693336031
0.8200000000000001,0.24,0.010065252890013681
0.6,0.14,0.016363551745069118
0.18,0.08,0.874101597557671
0.46,0.78,0.02536101106614602
0.86,0.68,0.37413797847116836
0.26,0.5,0.03409876913910458
0.14,0.62,0.014199345817873181
0.6,0.32,0.012630748836719252
0.42,0.58,0.012447934105128193
0.6,0.76,0.12048922294056405
0.5,0.52,0.01333338596389003
0.56,0.98,0.0961987305274033
0.22,0.8,0.010020072498856964
0.44,0.64,0.013908742183762939
0.32,1.0,0.010871133262801782
0.9,0.48,0.03897385455311418
0.18,0.74,0.010160670933633825
0.72,0.38,0.012315985038373278
0.54,0.24,0.02383970523485075
0.5,0.44,0.01448502662753761
0.58,0.42,0.012447934105128193
0.02,0.12,0.8741015975137082
0.68,0.52,0.030878653534974026
0.54,0.46,0.012987078364922085
0.04,0.54,0.029079662357558538
0.3,0.9,0.010641264395690323
0.16,0.58,0.01909022398741131
0.3,0.66,0.010974563689726683
0.36,0.62,0.011653794875224426
0.72,0.2,0.010301065521012258
0.64,0.46,0.015450622997893898
0.02,0.06,0.8536076899740188
0.0,0.88,0.009905143110828381
0.36,0.96,0.0126024330700444
0.98,0.24,0.01004435670879015
0.76,0.54,0.05999341872653549
0.4,0.2,0.1438965620849914
0.34,0.18,0.28518539796681386
0.12,0.2,0.814066345487224
0.66,0.28,0.011022280674143778
1.0,0.36,0.012277784771448438
0.54,0.76,0.05999341872653549
0.28,0.12,0.5236859511626126
0.88,0.14,0.009915268559550425
0.02,0.34,0.28518533956647424
0.96,0.34,0.01164082081923744
0.1,0.36,0.2660615798258316
0.18,0.86,0.009939350969038611
0.9,0.92,0.992110805587376
0.68,0.02,0.010943604058437912
0.86,0.56,0.10489416029228713
0.2,0.72,0.010301065521012258
0.26,0.92,0.01017363336600504
0.36,1.0,0.012277784771448438
0.0,0.04,0.7642121044662616
0.7000000000000001,0.14,0.010621034757476977
0.14,0.2,0.7949961315892355
0.7000000000000001,0.48,0.023005284176879796
0.28,0.64,0.01153686374958505
0.56,0.88,0.10720151123006309
0.84,0.42,0.019090223987411288
0.12,0.1,0.9921108055976261
0.62,0.44,0.01333788761612478
0.4,0.06,0.1684088522766146
0.06,0.84,0.009918330181098011
0.98,0.7000000000000001,0.4013302150915075
0.8,0.96,0.7642121044869054
0.5,0.88,0.04993809470342627
0.84,0.38,0.01403250871900813
0.76,0.54,0.05999341872653549
0.18,0.9,0.009934358194117095
0.58,0.2,0.01799126377860672
0.3,0.88,0.010636456944772166
0.22,0.0,0.6176760548179082
0.8,0.0,0.009945867322403861
0.92,0.8,0.8140663452813449
0.96,0.28,0.010323271565484212
0.96,0.84,0.8672155723030881
0.78,0.2,0.010020072498856964
0.14,0.28,0.5115019040294118
0.58,0.88,0.13659874089001964
0.0,0.22,0.6176760548179082
0.88,0.8200000000000001,0.874101597674334
1.0,0.46,0.02677537418904204
0.36,0.6,0.012106731284877655
0.36,0.74,0.011711623540600234
0.64,0.92,0.26402046549448194
