X,Y,f_L_train
0.98,0.34,0.7986213421610506
0.36,0.24,0.4708716974727944
0.54,0.88,0.546827234573692
0.44,0.14,0.5259116481996698
0.68,0.06,0.8466889254262694
0.06,0.92,0.9875029851324485
0.04,0.54,0.6326851932212623
0.42,0.56,0.6624641107466949
0.4,0.28,0.5318316689688268
0.74,0.5,0.6353607632875511
0.26,0.0,0.2108420894938154
0.98,0.04,0.954162878521069
0.72,0.8200000000000001,0.34790732135326996
0.4,0.84,0.7623295854444045
0.7000000000000001,0.44,0.6975710452319334
0.72,0.52,0.6149415716942538
0.14,0.32,0.36685546522550927
0.84,0.38,0.7894386129656912
0.52,0.64,0.6227715026233003
0.2,0.74,0.9142707068268289
0.64,0.9,0.3944191729178962
0.24,0.1,0.2515486159348251
0.3,0.56,0.6975710452319334
0.22,0.68,0.8504798497702301
1.0,0.5,0.5441622218810691
0.36,0.44,0.5942346814195992
0.72,0.72,0.4230459819569245
0.32,0.1,0.3427433530547551
0.32,0.98,0.8245666242366739
0.98,0.18,0.951956901343928
0.08,0.38,0.41060592314567634
0.7000000000000001,0.1,0.8839684065549255
0.02,0.6,0.7131995351354679
0.0,0.0,0.011177548832272625
0.34,0.58,0.7039075268331041
0.66,0.22,0.8292555041522328
0.46,0.5,0.6354888480037093
0.8,0.16,0.9692567402447286
0.9400000000000001,0.38,0.765180349456403
0.92,0.04,0.9789135164578405
0.02,0.8,0.9406728158504548
0.34,0.26,0.46220354454102747
0.1,0.1,0.1306422407734466
0.56,0.1,0.6915806188556567
0.9,0.4,0.7514535520101023
0.52,0.06,0.6120078077016935
0.3,0.86,0.887984646106852
0.74,0.96,0.2350364060048427
0.7000000000000001,0.5,0.6372399467710747
0.0,0.22,0.16892395229049947
0.22,0.9400000000000001,0.9483443080271389
0.54,0.0,0.6071306041556103
0.08,0.22,0.21811831622336608
0.42,0.62,0.6882220086385097
0.1,0.22,0.2313549753038061
0.76,0.24,0.9079626732468103
0.28,0.36,0.49319658966230634
0.6,0.04,0.7253216484532174
0.74,0.62,0.5023152453763317
0.58,0.18,0.735737362920517
0.08,0.02,0.06666322399319939
0.36,0.9,0.8081984389064861
0.56,0.86,0.5259116481996697
0.16,0.9,0.9916226758430201
0.3,0.74,0.8500286405221688
0.0,0.88,0.9554199570870645
0.68,0.92,0.3307243633396964
0.12,0.06,0.1184213807970957
0.74,0.88,0.28590538077510586
0.4,0.14,0.46980737278688633
0.0,0.2,0.14963758943848993
0.16,0.6,0.7623295854444045
0.14,0.86,0.9955295796568346
0.78,0.62,0.4827059194460876
0.66,0.88,0.37971335577147214
0.76,0.22,0.9198771444729337
0.0,0.62,0.7288461700713791
0.0,0.98,0.9298399811872403
0.84,0.06,0.9815574285071514
0.04,0.9,0.9815368364183222
0.2,0.04,0.1734065324376134
0.5,0.62,0.6370331300773885
0.7000000000000001,0.3,0.8233849509512042
0.98,0.56,0.46385501148881975
0.8,0.48,0.6551828445967133
0.22,0.1,0.2313549753038061
1.0,0.26,0.8777243403622491
0.4,0.26,0.5233036083951893
0.56,0.86,0.5259116481996697
0.68,0.62,0.5325400310135759
0.84,0.72,0.3342259348107149
0.66,0.48,0.6541982111597784
0.26,0.48,0.6122651917114417
0.16,0.96,0.9724210328439359
0.72,0.54,0.5935882255884847
0.12,0.56,0.6978314108584198
0.14,0.16,0.20610262711268496
0.42,0.8,0.7356067639464913
0.24,0.04,0.2133912655710236
0.86,0.7000000000000001,0.3433873027082445
0.42,0.32,0.5660647496396368
0.9400000000000001,0.84,0.1501652825189824
0.26,0.24,0.37344020245792053
0.86,0.96,0.12140120403427412
0.56,0.76,0.5610475541181595
0.6,0.5,0.6366162839707302
0.58,0.22,0.7341764333853633
0.98,0.4,0.7131995351354679
0.22,0.8,0.9430384772901298
0.42,0.18,0.5146287505508395
0.8,0.7000000000000001,0.3825148301878307
0.24,0.36,0.4708716974727944
0.0,0.78,0.9123900371473062
0.58,0.72,0.5519613671734701
0.44,0.12,0.5172943294302934
0.24,0.9,0.9439194924435789
0.1,0.38,0.42164675692578807
0.08,0.72,0.9008519300594845
0.78,0.64,0.45994735453765984
0.52,0.8,0.6012366136150868
0.98,0.86,0.10955688569796196
0.34,0.34,0.5145130462485148
0.12,0.4,0.4599618973081537
0.18,0.78,0.9512573441722068
0.48,0.26,0.6122651917114417
0.3,0.54,0.677514683624831
0.4,0.24,0.514764517633901
0.1,0.56,0.6915806188556567
0.86,0.42,0.7317846296838866
0.74,0.6,0.5233036083951893
0.84,0.98,0.1257787733489084
0.36,0.26,0.48193804073582996
0.88,0.02,0.9696995744642501
0.16,0.86,0.9906813425600473
0.06,0.52,0.6120078077016935
0.1,1.0,0.9558721608132509
0.7000000000000001,0.1,0.8839684065549255
0.24,0.76,0.9079626732468103
0.48,0.36,0.6227715026233003
0.76,0.44,0.7073507956221774
0.68,0.8200000000000001,0.3913655042324138
0.4,0.44,0.6053114407851878
0.16,0.28,0.3342259348107149
0.0,0.66,0.7845223475306884
0.04,0.18,0.1550356056489496
0.58,0.74,0.5448582960712463
1.0,0.3,0.8346489521798734
0.92,0.9,0.11691286657070012
0.6,0.22,0.7591119032888213
0.9400000000000001,0.46,0.6434597941439285
0.5,0.68,0.6375585435186926
0.52,0.32,0.6559769046162272
0.56,0.58,0.6110595122703
0.44,0.78,0.7087582832563473
0.42,0.54,0.6536614684828822
0.78,0.04,0.9388626476284591
0.62,0.96,0.3874331265813221
0.86,0.32,0.8651358724621546
0.92,0.42,0.7144631537092
0.52,0.0,0.5756702762279697
0.76,0.7000000000000001,0.41023863498604624
0.88,0.28,0.9086984771208909
0.9400000000000001,0.8200000000000001,0.16750627784466218
0.9400000000000001,0.58,0.45729900664697526
0.4,0.72,0.7440311664222422
1.0,0.52,0.5127738451205254
0.52,0.58,0.6276285209986746
0.5,0.9,0.5992565187482719
0.7000000000000001,0.44,0.6975710452319334
0.08,0.1,0.11691286657070012
0.16,0.02,0.1257787733489084
0.6,0.44,0.6690711425955911
0.5,0.22,0.6312477239820963
0.0,0.54,0.6071306041556103
0.68,0.68,0.4857642036004256
0.3,0.7000000000000001,0.8233849509512042
0.08,0.72,0.9008519300594845
0.02,0.36,0.3473330153688982
0.36,0.3,0.5046934869372675
0.64,0.76,0.4708716974727944
0.72,0.5,0.6365362842202649
0.18,0.92,0.9796784033392993
0.68,1.0,0.2820660242967795
0.6,0.12,0.7567413672181604
0.92,0.6,0.43902722171233477
0.0,0.16,0.11432362348095258
0.88,0.64,0.4055946873110798
