X,Y,f_S_train
0.38,0.24,0.14936537632196453
0.46,0.14,0.08169534125598323
0.26,0.76,0.010183731850888764
0.9,0.8200000000000001,0.8810429319581428
0.68,0.66,0.12874629445006108
0.8,0.5,0.042945926633123646
0.6,0.8200000000000001,0.1538998707319534
0.42,0.34,0.05027811070226707
0.02,0.52,0.03548070678472169
0.34,0.8,0.011449014029960645
0.18,0.16,0.8205254718268934
0.66,0.64,0.09085417286290418
0.4,0.8,0.015371863325102056
0.56,0.8,0.09020448838697434
0.92,0.68,0.3829854043366776
0.02,0.4,0.15389966236062833
0.34,0.88,0.011757319638420973
0.62,0.22,0.013246834614499279
0.8,0.32,0.010891952916653458
0.42,0.54,0.013298650616255922
0.58,0.58,0.026473651111051925
0.78,0.32,0.010825583212947857
0.78,0.76,0.5115019153603156
0.5,0.34,0.022730549119376147
0.34,1.0,0.011431693414498158
0.46,0.56,0.01301918469330074
0.52,0.12,0.038742333688222594
0.68,0.44,0.015480184874666063
0.96,0.78,0.7006695850913184
0.04,0.24,0.6324391079907579
0.62,0.46,0.01452950219942333
0.2,0.92,0.009956477967348065
0.08,0.28,0.5236859494610724
0.5,0.14,0.048988823144586115
0.46,0.62,0.01452950219942333
0.4,0.1,0.1735631506320434
0.22,0.04,0.7006695850913183
0.28,0.04,0.49183384105170846
1.0,0.84,0.7642121044678257
0.92,0.12,0.009907362277723241
0.08,0.86,0.009911672716132074
0.08,0.72,0.010351730916338175
0.06,0.38,0.20979841792770246
0.54,0.9400000000000001,0.08169515837064426
0.08,0.1,0.992110805587376
0.56,0.48,0.013581644115561894
0.74,0.6,0.10798481023140614
0.46,0.4,0.0222931354696453
0.48,0.46,0.014634092868899554
0.32,0.18,0.34079720070256403
0.0,0.38,0.1788850220067227
0.76,0.5,0.03717797333539881
0.58,0.66,0.050278110702267016
0.42,0.78,0.017315547835188076
0.8,0.26,0.010158174307954107
0.86,0.74,0.5845760941823057
0.7000000000000001,0.96,0.4238756404479941
0.88,0.9,0.9921108055976261
0.6,0.56,0.02621059621946103
0.8200000000000001,0.34,0.011555779853104547
0.8,0.68,0.31781015816184743
0.38,0.46,0.025446219814986955
0.7000000000000001,0.06,0.010617087172023167
0.96,0.78,0.7006695850913184
0.56,0.04,0.023281468448826594
0.38,0.18,0.19150073304766108
0.16,0.84,0.009933130587109673
0.18,0.72,0.010316355122781815
0.84,0.76,0.6324391107850748
0.56,0.14,0.023828446951962384
0.08,0.1,0.992110805587376
0.9400000000000001,0.0,0.009901533190679906
0.02,0.14,0.8536076899756685
0.56,0.86,0.10489416029228713
0.22,0.72,0.010290928304782797
0.48,1.0,0.03370369195277875
0.72,0.74,0.32028337149993824
0.76,0.32,0.010763503969832451
0.36,0.64,0.011403074616966083
0.3,0.86,0.010621034757476977
0.0,0.06,0.7949961310613167
0.84,0.02,0.009916280172285555
0.88,0.66,0.32028325558468007
0.2,0.56,0.02167923772842872
0.5,0.9,0.050259577452090524
0.52,0.88,0.06459778722919808
0.58,0.72,0.07671218202380362
0.8200000000000001,0.86,0.8536076902730684
