,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.34,0.0,0.266061571983096
1,0,1,0,S,1.0,0.34,1.0,0.011431693414498158
2,0,1,0,S,2.0,1.0,0.0,0.00990099157789989
3,0,1,0,S,3.0,0.0,0.68,0.010871133262801782
4,0,2,0,S,0.0,0.68,0.0,0.010871133262801782
5,0,2,0,S,2.0,0.68,1.0,0.3178100925567947
6,0,2,0,S,3.0,0.0,0.32,0.31781009255679465
7,0,3,0,S,0.0,0.0,0.0,0.673584155232106
8,0,3,0,S,2.0,1.0,1.0,0.6735841552321062
9,0,3,0,S,3.0,0.0,1.0,0.00990099157789989
10,0,4,0,S,2.0,1.0,0.66,0.2660615719830961
11,0,5,0,S,2.0,1.0,0.34,0.011431693414498158
12,0,9,1,S,0.0,0.34,0.34,0.10877429814504558
13,0,9,1,S,1.0,0.68,0.68,0.1527536846993393
14,0,9,1,S,2.0,0.68,0.32,0.010801123760840414
15,0,9,1,S,3.0,0.34,0.66,0.011082540073508769
16,0,25,2,S,0.0,0.0,0.5,0.042943692401363975
17,0,25,2,S,1.0,0.86,1.0,0.7949961310621264
18,0,25,2,S,2.0,0.86,0.0,0.00990872616035144
19,0,25,2,S,3.0,0.0,0.86,0.00990872616035144
20,0,26,2,S,0.0,0.16,0.0,0.7642121044678257
21,0,26,2,S,1.0,1.0,0.84,0.7642121044678257
22,0,26,2,S,2.0,1.0,0.16,0.009915131611182898
23,0,26,2,S,3.0,0.16,1.0,0.009915131611182898
24,0,57,3,S,0.0,0.0,0.14,0.7949961310621263
25,0,57,3,S,1.0,0.86,0.68,0.3741379784711684
26,0,57,3,S,2.0,0.5,0.0,0.042943692401363975
27,0,58,3,S,1.0,0.5,1.0,0.042943692401363975
28,0,121,4,S,0.0,0.14,0.34,0.31292276544744857
29,0,121,4,S,2.0,0.5,0.32,0.0252790473177222
30,0,121,4,S,3.0,0.5,0.68,0.0252790473177222
31,0,122,4,S,2.0,0.86,0.32,0.011052210725332998
32,0,122,4,S,3.0,0.32,0.88,0.01107842666639432
33,0,123,4,S,2.0,0.68,0.5,0.0252790473177222
34,1,1,0,S,0.0,0.0,0.68,0.010871133262801782
35,1,1,0,S,1.0,0.68,0.0,0.010871133262801782
36,1,1,0,S,2.0,0.68,1.0,0.3178100925567947
37,1,2,0,S,0.0,0.0,0.32,0.31781009255679465
38,1,2,0,S,1.0,1.0,0.0,0.00990099157789989
39,1,2,0,S,2.0,0.34,1.0,0.011431693414498158
40,1,3,0,S,1.0,1.0,0.34,0.011431693414498158
41,1,3,0,S,2.0,0.0,1.0,0.00990099157789989
42,1,4,0,S,1.0,0.0,0.0,0.673584155232106
43,1,4,0,S,2.0,1.0,0.66,0.2660615719830961
44,1,5,0,S,1.0,0.34,0.0,0.266061571983096
45,1,5,0,S,2.0,1.0,1.0,0.6735841552321062
46,1,9,1,S,0.0,0.34,0.34,0.10877429814504558
47,1,9,1,S,1.0,0.68,0.32,0.010801123760840414
48,1,9,1,S,2.0,0.34,0.66,0.011082540073508769
49,1,9,1,S,3.0,0.68,0.68,0.1527536846993393
50,1,25,2,S,0.0,0.0,0.5,0.042943692401363975
51,1,25,2,S,1.0,0.86,0.0,0.00990872616035144
52,1,25,2,S,2.0,0.0,0.86,0.00990872616035144
53,1,25,2,S,3.0,0.86,1.0,0.7949961310621264
54,1,26,2,S,0.0,0.16,0.0,0.7642121044678257
55,1,26,2,S,1.0,1.0,0.16,0.009915131611182898
56,1,26,2,S,2.0,0.16,1.0,0.009915131611182898
57,1,26,2,S,3.0,1.0,0.84,0.7642121044678257
58,1,57,3,S,0.0,0.0,0.14,0.7949961310621263
59,1,57,3,S,1.0,0.5,0.0,0.042943692401363975
60,1,57,3,S,3.0,0.86,0.68,0.3741379784711684
61,1,58,3,S,3.0,0.5,1.0,0.042943692401363975
62,1,121,4,S,0.0,0.14,0.34,0.31292276544744857
63,1,121,4,S,1.0,0.5,0.32,0.0252790473177222
64,1,121,4,S,2.0,0.5,0.68,0.0252790473177222
65,1,122,4,S,1.0,0.86,0.32,0.011052210725332998
66,1,122,4,S,2.0,0.32,0.88,0.01107842666639432
67,1,123,4,S,1.0,0.68,0.5,0.0252790473177222
68,2,1,0,S,0.0,0.0,0.32,0.31781009255679465
69,2,1,0,S,1.0,0.34,1.0,0.011431693414498158
70,2,1,0,S,2.0,1.0,0.34,0.011431693414498158
71,2,1,0,S,3.0,0.34,0.0,0.266061571983096
72,2,2,0,S,0.0,0.0,0.0,0.673584155232106
73,2,2,0,S,1.0,0.0,0.68,0.010871133262801782
74,2,2,0,S,2.0,1.0,0.0,0.00990099157789989
75,2,2,0,S,3.0,0.68,0.0,0.010871133262801782
76,2,3,0,S,1.0,0.0,1.0,0.00990099157789989
77,2,3,0,S,2.0,1.0,0.66,0.2660615719830961
78,2,3,0,S,3.0,0.68,1.0,0.3178100925567947
79,2,4,0,S,2.0,1.0,1.0,0.6735841552321062
80,2,9,1,S,0.0,0.34,0.34,0.10877429814504558
81,2,9,1,S,1.0,0.34,0.66,0.011082540073508769
82,2,9,1,S,2.0,0.68,0.32,0.010801123760840414
83,2,9,1,S,3.0,0.68,0.68,0.1527536846993393
84,2,25,2,S,0.0,0.0,0.5,0.042943692401363975
85,2,25,2,S,1.0,0.0,0.86,0.00990872616035144
86,2,25,2,S,2.0,0.86,0.0,0.00990872616035144
87,2,25,2,S,3.0,0.86,1.0,0.7949961310621264
88,2,26,2,S,0.0,0.16,0.0,0.7642121044678257
89,2,26,2,S,1.0,0.16,1.0,0.009915131611182898
90,2,26,2,S,2.0,1.0,0.16,0.009915131611182898
91,2,26,2,S,3.0,1.0,0.84,0.7642121044678257
92,2,57,3,S,0.0,0.0,0.14,0.7949961310621263
93,2,57,3,S,2.0,0.5,0.0,0.042943692401363975
94,2,57,3,S,3.0,0.86,0.68,0.3741379784711684
95,2,58,3,S,3.0,0.5,1.0,0.042943692401363975
96,2,121,4,S,0.0,0.14,0.34,0.31292276544744857
97,2,121,4,S,1.0,0.5,0.68,0.0252790473177222
