,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.68,1.0,0.3178100925567947
1,0,1,0,S,1.0,0.76,0.74,0.4108382039680829
2,0,1,0,S,2.0,0.0,0.0,0.673584155232106
3,0,1,0,S,3.0,0.0,0.64,0.012277784771448438
4,0,2,0,S,0.0,1.0,1.0,0.6735841552321062
5,0,2,0,S,1.0,1.0,0.0,0.00990099157789989
6,0,2,0,S,2.0,0.88,0.0,0.00990514311082838
7,0,2,0,S,3.0,0.22,1.0,0.009978977047726396
8,0,3,0,S,1.0,0.52,0.34,0.019192107733959175
9,0,3,0,S,2.0,0.42,0.32,0.058424363893454664
10,0,3,0,S,3.0,0.46,0.42,0.0196684439884162
11,0,4,0,S,0.0,1.0,0.68,0.3178100925567947
12,0,4,0,S,1.0,1.0,0.42,0.01798419351731321
13,0,4,0,S,2.0,0.42,0.0,0.11446544680006288
14,0,5,0,S,1.0,0.8200000000000001,0.24,0.01006525289001368
15,0,5,0,S,2.0,0.0,0.32,0.31781009255679465
16,0,5,0,S,3.0,0.0,1.0,0.00990099157789989
17,0,6,0,S,1.0,0.78,0.5,0.040164074964447585
18,0,6,0,S,2.0,0.22,0.56,0.020691501073081518
19,0,6,0,S,3.0,0.42,0.78,0.017315547835188076
20,0,7,0,S,2.0,0.2,0.1,0.8205254714333114
21,0,8,0,S,3.0,0.46,1.0,0.02677537418904204
22,0,10,0,S,3.0,0.14,0.8,0.009961811321455264
23,0,16,0,S,2.0,0.64,0.0,0.012277784771448438
24,0,20,0,S,3.0,0.58,0.64,0.04297263839837559
25,0,22,0,S,3.0,0.6,0.86,0.1684089114729355
26,0,23,0,S,1.0,1.0,0.18,0.009926393971022324
27,0,24,0,S,0.0,1.0,0.86,0.7949961310621264
28,0,27,0,S,3.0,0.0,0.84,0.009915131611182898
29,0,30,0,S,2.0,0.16,0.36,0.2482663662687356
30,0,43,0,S,0.0,0.86,1.0,0.7949961310621264
31,0,45,0,S,3.0,0.32,0.9,0.011086954332096726
32,0,54,0,S,1.0,0.66,0.14,0.011714716903323685
33,0,86,0,S,0.0,0.8200000000000001,0.88,0.874101597674334
34,0,86,0,S,2.0,0.0,0.16,0.7642121044678257
35,0,113,0,S,2.0,0.18,0.0,0.7231316613186033
36,0,141,0,S,2.0,0.48,0.12,0.06459778722919808
37,0,147,0,S,3.0,0.1,0.94,0.00990422561869672
38,0,162,0,S,3.0,0.36,0.62,0.011653794875224426
39,0,179,0,S,1.0,0.9,0.58,0.13761636480998135
40,0,202,0,S,1.0,0.9,0.1,0.009906309079661555
41,0,212,0,S,2.0,0.0,0.48,0.055042484671396025
42,1,1,0,S,0.0,0.22,0.0,0.6176760548179082
43,1,1,0,S,1.0,0.48,0.8,0.033706744258982554
44,1,1,0,S,2.0,0.0,0.0,0.673584155232106
45,1,1,0,S,3.0,0.0,0.58,0.017984193517313216
46,1,2,0,S,0.0,1.0,0.16,0.009915131611182898
47,1,2,0,S,1.0,1.0,0.4,0.015362803068544288
48,1,2,0,S,2.0,0.5,0.38,0.018494899639973368
49,1,2,0,S,3.0,0.0,1.0,0.00990099157789989
50,1,3,0,S,0.0,0.64,0.0,0.012277784771448438
51,1,3,0,S,1.0,1.0,1.0,0.6735841552321062
52,1,3,0,S,3.0,0.3,1.0,0.01050608403594439
53,1,4,0,S,3.0,0.24,0.48,0.04716133293214081
54,1,5,0,S,1.0,0.8200000000000001,0.7000000000000001,0.4013302381797084
55,1,5,0,S,2.0,0.0,0.28,0.4339312196527251
56,1,5,0,S,3.0,0.18,0.76,0.01006525289001368
57,1,6,0,S,3.0,0.54,1.0,0.07059243162992812
58,1,7,0,S,1.0,0.78,0.34,0.011332840627602037
59,1,8,0,S,0.0,0.9,0.0,0.009903171376491157
60,1,9,0,S,1.0,1.0,0.72,0.4339312196527251
61,1,9,0,S,2.0,0.24,0.24,0.4619564312260891
62,1,11,0,S,0.0,0.46,0.12,0.0834391564906281
63,1,11,0,S,3.0,0.72,1.0,0.4339312196527251
64,1,17,0,S,3.0,0.6,0.58,0.031078595432339005
65,1,20,0,S,0.0,0.74,0.14,0.010172033982975413
66,1,25,0,S,1.0,0.88,0.88,0.9842844729740324
67,1,26,0,S,2.0,0.0,0.8,0.00994586732240386
68,1,28,0,S,2.0,0.08,0.12,0.984284472954748
69,1,29,0,S,3.0,0.38,0.62,0.011750410534921991
70,1,32,0,S,3.0,0.66,0.8200000000000001,0.28518539796681397
71,1,36,0,S,1.0,0.88,0.52,0.06459778722919808
72,1,43,0,S,3.0,0.14,1.0,0.00990872616035144
73,1,44,0,S,0.0,1.0,0.0,0.00990099157789989
74,1,46,0,S,2.0,0.08,0.4,0.17225906678366842
75,1,49,0,S,1.0,0.9,0.26,0.01017659880831115
76,1,50,0,S,0.0,0.42,0.0,0.11446544680006288
77,1,81,0,S,1.0,1.0,0.86,0.7949961310621264
78,1,100,0,S,2.0,0.12,0.62,0.014302796776665724
79,1,109,0,S,0.0,0.6,0.24,0.014435562180406009
80,1,114,0,S,3.0,0.32,0.88,0.01107842666639432
81,1,156,0,S,1.0,1.0,0.56,0.09020369234436296
82,1,216,0,S,3.0,0.08,0.9,0.009904983697683951
83,2,1,0,S,0.0,0.44,0.0,0.09020369234436296
84,2,1,0,S,1.0,0.0,0.74,0.010125326091911706
85,2,1,0,S,2.0,0.5,0.98,0.04541052133422754
86,2,1,0,S,3.0,0.0,0.0,0.673584155232106
87,2,2,0,S,0.0,1.0,0.46,0.02677537418904204
88,2,2,0,S,1.0,0.66,0.5,0.022730549119376147
89,2,2,0,S,2.0,1.0,0.5,0.042943692401363975
90,2,2,0,S,3.0,0.36,0.42,0.04297263839837563
91,2,3,0,S,0.0,1.0,0.0,0.00990099157789989
92,2,3,0,S,1.0,0.14,1.0,0.00990872616035144
93,2,3,0,S,2.0,1.0,1.0,0.6735841552321062
94,2,3,0,S,3.0,0.0,0.36,0.21962750953120955
95,2,4,0,S,0.0,0.72,0.16,0.010332151839583465
96,2,4,0,S,1.0,0.34,0.72,0.011022280674143776
97,2,4,0,S,2.0,0.74,0.2,0.010158174307954107
98,2,5,0,S,0.0,0.22,0.16,0.7006695867262283
99,2,5,0,S,2.0,0.76,0.8200000000000001,0.5985351411574225
100,2,5,0,S,3.0,0.18,0.16,0.8205254718268934
101,2,6,0,S,2.0,0.76,1.0,0.5576432389641515
102,2,7,0,S,2.0,1.0,0.8,0.6735841552371565
103,2,8,0,S,3.0,0.12,0.52,0.038742333688222594
104,2,12,0,S,3.0,0.0,0.56,0.02167380795483685
105,2,13,0,S,2.0,1.0,0.18,0.009926393971022324
106,2,17,0,S,1.0,0.0,1.0,0.00990099157789989
107,2,19,0,S,1.0,0.54,0.7000000000000001,0.04322447922628444
108,2,24,0,S,0.0,0.52,0.24,0.029554568734244988
109,2,30,0,S,3.0,0.16,0.84,0.009933130587109672
110,2,31,0,S,2.0,0.84,0.58,0.12874422950398134
111,2,36,0,S,1.0,0.34,1.0,0.011431693414498158
