,SimNum,Iteration,Period,Fidelity,Loss
0,0,0,0,M,0.053674864097209
1,0,1,0,M,0.022348063267501685
2,0,2,0,M,0.03251919479202613
3,0,3,0,M,0.007351743804888061
4,0,4,0,M,0.006774858405294015
5,0,5,0,M,0.005861373209731903
6,0,6,0,M,0.005851564902707286
7,0,7,0,M,0.0061207683011240445
8,0,8,1,M,0.005928828972679384
9,0,9,1,M,0.04493510145169099
10,0,10,1,M,0.02106745840363594
11,0,11,1,M,0.009636972430718179
12,0,12,1,M,0.006735679298993633
13,0,13,1,M,0.005392900519440348
14,0,14,1,M,0.005364988019286294
15,0,15,1,M,0.005356581935268463
16,0,16,1,M,0.005355290921531615
17,0,17,1,M,0.005345724567764318
18,0,18,1,M,0.005343345775820088
19,0,19,1,M,0.005339639104827961
20,0,20,1,M,0.005339020225629058
21,0,21,1,M,0.0053387235265191695
22,0,22,1,M,0.0053386324202279595
23,0,23,1,M,0.0053386324202279595
24,1,0,0,M,0.009173738915037649
25,1,1,0,M,0.020271546358584004
26,1,2,0,M,0.021707435172993
27,1,3,0,M,0.02620807599745463
28,1,4,0,M,0.01065671949377827
29,1,5,0,M,0.006020460715359416
30,1,6,0,M,0.005873403835095868
31,1,7,0,M,0.005792645791365674
32,1,8,1,M,0.005723139786864911
33,1,9,1,M,0.0114481958409793
34,1,10,1,M,0.01344710589029697
35,1,11,1,M,0.036603838941480636
36,1,12,1,M,0.005390972578599188
37,1,13,1,M,0.005361285253753256
38,1,14,1,M,0.005358170573424178
39,1,15,1,M,0.005350348804674766
40,1,16,1,M,0.0053442765728151835
41,1,17,1,M,0.005339401328926194
42,1,18,1,M,0.005338995009632386
43,1,19,1,M,0.0053387235265191695
44,1,20,1,M,0.005338632420227963
45,1,21,1,M,0.005338632420227961
46,1,22,1,M,0.005338632420227961
47,1,23,1,M,0.0053386324202279595
