,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.0,0.0,0.673584155232106
1,0,1,0,S,1.0,0.72,0.74,0.32028337149993824
2,0,1,0,S,2.0,1.0,0.0,0.00990099157789989
3,0,1,0,S,3.0,0.76,0.26,0.010183731850888764
4,0,2,0,S,0.0,0.24,0.24,0.4619564312260891
5,0,2,0,S,1.0,1.0,0.5,0.042943692401363975
6,0,2,0,S,3.0,0.5,0.0,0.042943692401363975
7,0,3,0,S,0.0,0.24,0.74,0.010183731850888764
8,0,3,0,S,1.0,0.94,1.0,0.7949961310613168
9,0,3,0,S,3.0,0.48,0.48,0.013824917143364429
10,0,4,0,S,0.0,0.46,1.0,0.02677537418904204
11,0,5,0,S,0.0,0.0,1.0,0.00990099157789989
12,0,6,0,S,0.0,0.0,0.5,0.042943692401363975
13,0,9,1,S,0.0,0.5,0.22,0.040164074964447585
14,0,9,1,S,1.0,0.22,1.0,0.009978977047726396
15,0,9,1,S,2.0,1.0,0.24,0.010034331625259546
16,0,9,1,S,3.0,0.24,0.0,0.5576432389641515
17,0,10,1,S,0.0,0.0,0.76,0.010034331625259546
18,0,10,1,S,1.0,0.7000000000000001,1.0,0.3741379671426681
19,0,10,1,S,3.0,0.0,0.24,0.5576432389641515
20,0,11,1,S,1.0,1.0,0.76,0.5576432389641515
21,0,11,1,S,3.0,0.76,0.0,0.010034331625259546
22,1,1,0,S,0.0,0.0,0.5,0.042943692401363975
23,1,1,0,S,1.0,0.76,0.26,0.010183731850888764
24,1,1,0,S,2.0,0.72,0.74,0.32028337149993824
25,1,1,0,S,3.0,0.24,0.74,0.010183731850888764
26,1,2,0,S,0.0,0.0,0.0,0.673584155232106
27,1,2,0,S,1.0,1.0,0.0,0.00990099157789989
28,1,2,0,S,2.0,1.0,0.5,0.042943692401363975
29,1,2,0,S,3.0,0.46,1.0,0.02677537418904204
30,1,3,0,S,0.0,0.24,0.24,0.4619564312260891
31,1,3,0,S,2.0,0.94,1.0,0.7949961310613168
32,1,3,0,S,3.0,0.0,1.0,0.00990099157789989
33,1,4,0,S,0.0,0.5,0.0,0.042943692401363975
34,1,5,0,S,0.0,0.48,0.48,0.013824917143364429
35,1,9,1,S,0.0,0.5,0.22,0.040164074964447585
36,1,9,1,S,1.0,0.7000000000000001,1.0,0.3741379671426681
37,1,9,1,S,2.0,1.0,0.24,0.010034331625259546
38,1,9,1,S,3.0,0.22,1.0,0.009978977047726396
39,1,10,1,S,0.0,0.0,0.24,0.5576432389641515
40,1,10,1,S,2.0,1.0,0.76,0.5576432389641515
41,1,10,1,S,3.0,0.0,0.76,0.010034331625259546
42,1,11,1,S,0.0,0.24,0.0,0.5576432389641515
43,1,12,1,S,0.0,0.76,0.0,0.010034331625259546
