,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,0.0,1.0,0.0,0.00990099157789989
1,0,2,0,M,0.0,0.08,0.0,0.8140663452021898
2,0,2,0,M,1.0,0.0,1.0,0.00990099157789989
3,0,2,0,M,2.0,1.0,0.98,0.723131661315754
4,0,2,0,M,3.0,1.0,1.0,0.6735841552321062
5,0,3,0,M,1.0,0.0,0.5,0.042943692401363975
6,0,3,0,M,3.0,0.5,1.0,0.042943692401363975
7,0,4,0,M,1.0,0.5,0.48,0.01333338596389003
8,0,4,0,M,2.0,0.62,0.4,0.012024843273682478
9,0,5,0,M,0.0,0.52,0.0,0.033703691952778746
10,0,5,0,M,1.0,0.24,0.76,0.010121079933168495
11,0,5,0,M,3.0,0.74,0.7000000000000001,0.2765158941567867
12,0,6,0,M,1.0,0.2,0.34,0.2660616754914905
13,0,6,0,M,2.0,1.0,0.42,0.01798419351731321
14,0,7,0,M,2.0,0.78,0.12,0.009999288747378906
15,0,11,0,M,2.0,1.0,0.66,0.2660615719830961
16,0,11,0,M,3.0,0.76,1.0,0.5576432389641515
17,0,12,0,M,0.0,0.0,0.22,0.6176760548179082
18,0,13,0,M,2.0,0.5,0.76,0.037177973335398816
19,0,14,0,M,1.0,0.0,0.76,0.010034331625259546
20,0,17,0,M,3.0,0.24,1.0,0.010034331625259546
21,0,18,0,M,1.0,0.42,0.2,0.11446599336477704
22,0,19,0,M,2.0,1.0,0.2,0.00994586732240386
23,0,20,0,M,0.0,0.3,0.0,0.374137967142668
24,0,21,0,M,3.0,0.66,0.86,0.3129227654474486
25,0,22,0,M,2.0,0.84,0.4,0.016111500930688086
26,0,23,0,M,2.0,0.8,0.0,0.00994586732240386
27,1,1,0,M,1.0,1.0,0.02,0.009901074684316622
28,1,1,0,M,2.0,0.0,0.0,0.673584155232106
29,1,1,0,M,3.0,1.0,1.0,0.6735841552321062
30,1,2,0,M,1.0,0.62,0.58,0.03656886703451987
31,1,2,0,M,2.0,0.5,0.0,0.042943692401363975
32,1,2,0,M,3.0,0.4,1.0,0.015362803068544288
33,1,3,0,M,0.0,0.0,0.62,0.013532939804683355
34,1,3,0,M,1.0,1.0,0.48,0.03370369195277875
35,1,3,0,M,2.0,0.16,0.42,0.12874422950398154
36,1,4,0,M,1.0,0.72,0.26,0.010316165350297505
37,1,4,0,M,2.0,0.58,0.26,0.01585305670009625
38,1,5,0,M,0.0,0.0,1.0,0.00990099157789989
39,1,6,0,M,0.0,0.3,0.7000000000000001,0.010565124733177295
40,1,6,0,M,1.0,0.42,0.58,0.012447934105128192
41,1,6,0,M,2.0,0.24,0.12,0.6735841560785646
42,1,7,0,M,3.0,0.7000000000000001,1.0,0.3741379671426681
43,1,8,0,M,2.0,0.0,0.26,0.4957047679587813
44,1,8,0,M,3.0,1.0,0.74,0.4957047679587813
45,1,13,0,M,0.0,0.56,0.8,0.09020448838697434
46,1,13,0,M,1.0,0.76,0.0,0.010034331625259546
47,1,13,0,M,3.0,1.0,0.24,0.010034331625259546
48,1,14,0,M,0.0,0.8,0.78,0.6176760600964649
49,1,14,0,M,3.0,0.8200000000000001,0.78,0.6630497254158431
50,1,16,0,M,3.0,0.84,0.5,0.04745649578895672
51,1,22,0,M,1.0,0.22,0.0,0.6176760548179082
