,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,2.0,0.0,0.0,0.673584155232106
1,0,2,0,S,0.0,0.0,1.0,0.00990099157789989
2,0,2,0,S,3.0,1.0,1.0,0.6735841552321062
3,0,3,0,S,1.0,1.0,0.0,0.00990099157789989
4,0,3,0,S,2.0,0.0,0.32,0.31781009255679465
5,0,4,0,S,1.0,1.0,0.32,0.010871133262801782
6,0,5,0,S,3.0,0.68,1.0,0.3178100925567947
7,0,6,0,S,2.0,0.34,0.0,0.266061571983096
8,0,7,0,S,0.0,0.32,1.0,0.010871133262801782
9,0,7,0,S,1.0,0.66,0.0,0.011431693414498158
10,0,7,0,S,2.0,0.0,0.6,0.015362803068544288
11,0,7,0,S,3.0,1.0,0.66,0.2660615719830961
12,0,8,0,S,2.0,0.34,0.34,0.10877429814504558
13,0,9,0,S,0.0,0.34,0.66,0.011082540073508769
14,0,11,0,S,1.0,0.68,0.32,0.010801123760840414
15,0,11,0,S,2.0,0.16,0.0,0.7642121044678257
16,0,15,0,S,0.0,0.0,0.8200000000000001,0.009926393971022324
17,0,18,0,S,3.0,0.68,0.68,0.1527536846993393
18,0,19,0,S,3.0,1.0,0.84,0.7642121044678257
19,0,21,0,S,3.0,0.52,1.0,0.05504248467139605
20,0,22,0,S,1.0,0.84,0.0,0.009915131611182898
21,1,1,0,S,0.0,1.0,0.0,0.00990099157789989
22,1,1,0,S,3.0,0.0,1.0,0.00990099157789989
23,1,2,0,S,1.0,0.0,0.0,0.673584155232106
24,1,2,0,S,3.0,0.0,0.66,0.011431693414498158
25,1,3,0,S,0.0,1.0,0.34,0.011431693414498158
26,1,3,0,S,2.0,1.0,1.0,0.6735841552321062
27,1,4,0,S,1.0,0.32,0.0,0.31781009255679465
28,1,4,0,S,3.0,0.34,1.0,0.011431693414498158
29,1,6,0,S,0.0,0.66,0.0,0.011431693414498158
30,1,6,0,S,2.0,1.0,0.68,0.3178100925567947
31,1,7,0,S,2.0,0.66,1.0,0.2660615719830961
32,1,11,0,S,1.0,0.0,0.34,0.266061571983096
33,1,11,0,S,2.0,0.66,0.66,0.10877429814504562
34,1,12,0,S,2.0,0.84,1.0,0.7642121044678257
35,1,15,0,S,2.0,1.0,0.52,0.05504248467139605
36,1,17,0,S,0.0,0.66,0.34,0.011082540073508769
37,1,19,0,S,3.0,0.32,0.68,0.010801123760840414
38,1,22,0,S,1.0,0.32,0.32,0.15275368469933925
