,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,1.0,0.0,0.0,0.3532541912106908
1,0,2,0,M,0.0,1.0,1.0,-0.04361122930559154
2,0,2,0,M,2.0,1.0,0.0,0.3286275262262353
3,0,2,0,M,3.0,0.0,1.0,0.2034847968427294
4,0,3,0,M,0.0,1.0,0.5,0.08770173597766068
5,0,3,0,M,1.0,0.0,0.5,0.3311313580533615
6,0,3,0,M,2.0,0.5,0.0,0.5804983684882433
7,0,3,0,M,3.0,0.5,1.0,0.0031204570391977146
8,0,4,0,M,2.0,0.52,0.4,0.2653121975755613
9,0,4,0,M,3.0,0.5,0.5,0.07901126715998362
10,0,5,0,M,3.0,0.24,0.76,0.11813089141308952
11,0,6,0,M,3.0,0.68,0.78,0.0021846058356467047
12,0,7,0,M,0.0,0.8,0.22,0.722136130669849
13,0,7,0,M,1.0,0.22,0.24,0.7928137427953278
14,0,11,0,M,2.0,0.68,0.0,0.25238956016741243
15,0,12,0,M,3.0,0.0,0.76,0.13187870514197228
16,0,14,0,M,0.0,1.0,0.76,0.014414286478613113
17,0,14,0,M,1.0,0.24,0.0,0.8344269608408296
18,0,15,0,M,0.0,0.76,0.52,0.1110717289522552
19,0,16,0,M,3.0,0.76,1.0,0.03275866603810382
20,0,17,0,M,1.0,0.0,0.24,0.5522577097669821
21,0,17,0,M,2.0,0.46,0.2,0.5700623420527138
22,0,17,0,M,3.0,0.24,1.0,0.09150216411206602
23,0,20,0,M,0.0,1.0,0.26,0.32735883986736913
24,0,21,0,M,3.0,0.24,0.5,0.2701246853606463
25,0,28,0,M,1.0,0.32,0.36,0.4477899921369871
26,0,28,0,M,3.0,0.46,0.76,0.032087183855771216
27,0,29,0,M,2.0,0.64,0.24,0.4726838074627127
28,0,37,0,M,0.0,0.84,0.7000000000000001,-0.057906671731656666
29,0,38,0,M,3.0,0.12,0.88,0.14643727857242414
30,0,40,0,M,1.0,0.1,0.38,0.4714985278635762
31,0,43,0,M,2.0,0.6,0.58,0.06409387482630563
32,0,46,0,M,1.0,0.12,0.1,0.8640720998891778
33,0,48,0,M,2.0,0.34,0.1,0.8906353878981018
34,0,51,0,M,1.0,0.0,0.12,0.4759710965055755
35,0,51,0,M,3.0,0.12,0.64,0.21424228422426467
36,0,52,0,M,3.0,0.84,0.92,0.005132875465361161
37,0,54,0,M,0.0,0.84,0.0,0.3830829652355003
38,0,55,0,M,0.0,0.86,0.38,0.35284506807832605
39,0,55,0,M,2.0,0.64,0.12,0.5586918437513577
40,0,59,0,M,3.0,0.36,0.62,0.09758679357564357
41,0,65,0,M,2.0,0.62,0.36,0.27734710896181186
42,0,77,0,M,3.0,0.36,0.9,0.16815512976869507
43,0,95,0,M,3.0,0.62,0.92,0.05354221882509818
44,0,109,0,M,2.0,0.38,0.0,0.7689704389150824
45,1,1,0,M,3.0,1.0,0.0,0.3286275262262353
46,1,2,0,M,2.0,0.0,0.0,0.3532541912106908
47,1,3,0,M,3.0,1.0,1.0,-0.04361122930559154
48,1,4,0,M,0.0,0.5,0.0,0.5804983684882433
49,1,5,0,M,0.0,0.76,0.26,0.7731438607423397
