,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,2,0,S,0.0,1.0,1.0,-0.04361122930559154
1,0,4,0,S,2.0,0.02,0.0,0.42947557506765405
2,0,5,0,S,0.0,1.0,0.0,0.3286275262262353
3,0,8,0,S,0.0,0.72,0.0,0.3427098697450988
4,0,10,0,S,0.0,1.0,0.28,0.3937268974578805
5,0,12,0,S,1.0,0.0,1.0,0.2034847968427294
6,0,29,0,S,2.0,0.32,0.0,0.8201801593356616
7,0,31,0,S,0.0,1.0,0.72,0.05815147320225116
8,0,38,0,S,2.0,0.52,0.0,0.4693347857611858
9,0,48,0,S,1.0,0.28,1.0,0.10184676203621147
10,0,56,0,S,3.0,0.0,0.26,0.5436297782070019
11,0,62,0,S,1.0,0.72,1.0,0.027459999998963626
12,0,62,0,S,3.0,0.0,0.72,0.1996253479590036
13,0,77,0,S,3.0,0.0,0.48,0.2842955547217464
14,0,85,0,S,1.0,0.5,1.0,0.0031204570391977146
15,0,85,0,S,3.0,0.0,0.12,0.4759710965055755
16,0,90,0,S,0.0,1.0,0.5,0.08770173597766068
17,0,99,0,S,0.0,1.0,0.14,0.45312266130708
18,0,116,0,S,0.0,0.86,0.0,0.3742366844294743
19,0,118,0,S,2.0,0.16,0.0,0.7557345374680061
20,1,3,0,S,2.0,1.0,0.0,0.3286275262262353
21,1,6,0,S,1.0,1.0,1.0,-0.04361122930559154
22,1,7,0,S,1.0,1.0,0.72,0.05815147320225116
23,1,14,0,S,3.0,0.0,0.0,0.3532541912106908
24,1,16,0,S,0.0,0.0,1.0,0.2034847968427294
25,1,16,0,S,1.0,0.72,1.0,0.027459999998963626
26,1,22,0,S,2.0,0.72,0.0,0.3427098697450988
27,1,25,0,S,3.0,0.0,0.28,0.3935745077934972
28,1,31,0,S,0.0,0.0,0.72,0.1996253479590036
29,1,34,0,S,0.0,0.28,1.0,0.10184676203621147
30,1,38,0,S,1.0,1.0,0.46,-0.034650888257140515
31,1,42,0,S,2.0,1.0,0.2,0.4470962129980319
32,1,44,0,S,3.0,0.28,0.0,0.8573834504196145
33,1,47,0,S,1.0,0.5,1.0,0.0031204570391977146
34,1,50,0,S,2.0,0.5,0.0,0.5804983684882433
35,1,62,0,S,0.0,0.0,0.5,0.3311313580533615
36,1,67,0,S,0.0,0.14,1.0,0.12452608070315395
37,1,73,0,S,2.0,0.86,0.0,0.3742366844294743
38,1,82,0,S,0.0,0.0,0.86,0.06761740014555292
39,1,112,0,S,1.0,1.0,0.86,0.033071601344835035
40,1,116,0,S,2.0,1.0,0.32,0.2570022056963543
41,1,118,0,S,1.0,0.86,1.0,-0.05733504123948779
42,1,119,0,S,2.0,1.0,0.0,0.3286275262262353
43,2,1,0,S,0.0,1.0,1.0,-0.04361122930559154
44,2,1,0,S,1.0,0.0,0.0,0.3532541912106908
45,2,5,0,S,2.0,1.0,0.0,0.3286275262262353
46,2,5,0,S,3.0,0.0,1.0,0.2034847968427294
47,2,10,0,S,0.0,1.0,0.72,0.05815147320225116
48,2,10,0,S,1.0,0.0,0.28,0.3935745077934972
49,2,10,0,S,3.0,0.0,0.72,0.1996253479590036
50,2,16,0,S,1.0,0.28,0.0,0.8573834504196145
51,2,20,0,S,3.0,0.28,1.0,0.10184676203621147
52,2,26,0,S,0.0,0.72,1.0,0.027459999998963626
53,2,26,0,S,3.0,0.0,0.5,0.3311313580533615
54,2,27,0,S,0.0,1.0,0.46,-0.034650888257140515
55,2,27,0,S,2.0,1.0,0.28,0.3937268974578805
56,2,34,0,S,3.0,0.44,1.0,0.06571799183094783
57,2,39,0,S,1.0,0.48,0.0,0.5413838539640083
58,2,40,0,S,2.0,0.76,0.0,0.3264387308557201
59,2,41,0,S,3.0,0.0,0.86,0.06761740014555292
60,2,51,0,S,2.0,1.0,0.14,0.45312266130708
61,2,52,0,S,0.0,0.86,1.0,-0.05733504123948779
62,2,59,0,S,0.0,1.0,0.86,0.033071601344835035
63,2,91,0,S,0.0,0.58,1.0,0.08649599468943811
64,2,92,0,S,3.0,0.14,1.0,0.12452608070315395
65,2,93,0,S,2.0,0.62,0.0,0.4231064903883496
66,2,118,0,S,0.0,1.0,0.6,0.09313725898175368
67,3,2,0,S,0.0,0.0,0.0,0.3532541912106908
68,3,3,0,S,2.0,0.0,1.0,0.2034847968427294
69,3,3,0,S,3.0,1.0,1.0,-0.04361122930559154
70,3,7,0,S,3.0,0.72,1.0,0.027459999998963626
71,3,9,0,S,2.0,0.0,0.72,0.1996253479590036
72,3,10,0,S,1.0,1.0,0.0,0.3286275262262353
73,3,19,0,S,0.0,0.28,0.0,0.8573834504196145
74,3,22,0,S,0.0,0.0,0.28,0.3935745077934972
75,3,27,0,S,3.0,1.0,0.72,0.05815147320225116
76,3,28,0,S,0.0,0.48,0.0,0.5413838539640083
77,3,36,0,S,2.0,0.28,1.0,0.10184676203621147
78,3,36,0,S,3.0,1.0,0.46,-0.034650888257140515
79,3,38,0,S,0.0,0.0,0.4,0.3669873422326579
80,3,42,0,S,1.0,0.78,0.0,0.3185004750039245
81,3,42,0,S,2.0,0.44,1.0,0.06571799183094783
82,3,49,0,S,0.0,0.0,0.14,0.5290350873337089
83,3,58,0,S,1.0,1.0,0.22,0.4640879087080794
84,3,58,0,S,3.0,0.86,1.0,-0.05733504123948779
85,3,59,0,S,0.0,0.14,0.0,0.7102211803382891
86,3,63,0,S,1.0,0.64,0.0,0.4203385006886817
87,3,79,0,S,2.0,0.0,0.86,0.06761740014555292
88,3,82,0,S,2.0,0.0,0.56,0.24388455115851398
89,3,98,0,S,0.0,0.0,0.0,0.3532541912106908
90,3,105,0,S,2.0,0.14,1.0,0.12452608070315395
91,3,106,0,S,1.0,1.0,0.0,0.3286275262262353
92,4,1,0,S,0.0,1.0,0.0,0.3286275262262353
93,4,1,0,S,1.0,0.0,0.0,0.3532541912106908
94,4,2,0,S,2.0,1.0,0.28,0.3937268974578805
95,4,3,0,S,3.0,1.0,1.0,-0.04361122930559154
96,4,17,0,S,0.0,0.28,0.0,0.8573834504196145
97,4,17,0,S,2.0,0.72,0.0,0.3427098697450988
