X,Y,f_H
0.0,0.0,0.42148041054216207
0.0,0.02,0.4547825345058732
0.0,0.04,0.35408406876368226
0.0,0.06,0.3434754015726908
0.0,0.08,0.47449650974127466
0.0,0.1,0.4580402870327639
0.0,0.12,0.485806680223068
0.0,0.14,0.3473238707745122
0.0,0.16,0.6510132444332222
0.0,0.18,0.6633384896693195
0.0,0.2,0.5770056321915686
0.0,0.22,0.5731924712423637
0.0,0.24,0.4501682814053537
0.0,0.26,0.42238001506407824
0.0,0.28,0.3983998191414093
0.0,0.3,0.5702904487717815
0.0,0.32,0.3792286306653993
0.0,0.34,0.564655192139997
0.0,0.36,0.3186990206028613
0.0,0.38,0.510791110387303
0.0,0.4,0.29750443525551873
0.0,0.42,0.3354683833663816
0.0,0.44,0.3533568786990958
0.0,0.46,0.31140662872419667
0.0,0.48,0.20672730277264945
0.0,0.5,0.2799004225652901
0.0,0.52,0.29577863404627186
0.0,0.54,0.08557234748124262
0.0,0.56,0.3094450170073739
0.0,0.58,0.28367307533458347
0.0,0.6,0.08736565998288545
0.0,0.62,0.18599022401191867
0.0,0.64,0.1996250004888821
0.0,0.66,0.1877932378513884
0.0,0.68,0.08945243897912811
0.0,0.7000000000000001,0.036300747329823885
0.0,0.72,0.2982377644494131
0.0,0.74,0.2201865944839917
0.0,0.76,0.15807862554070318
0.0,0.78,0.18859573617277542
0.0,0.8,0.2627257987822995
0.0,0.8200000000000001,0.2712125228987041
0.0,0.84,0.12414214867883383
0.0,0.86,0.23124474899176178
0.0,0.88,0.1372319347825517
0.0,0.9,0.11268360506558592
0.0,0.92,0.12021896163432809
0.0,0.9400000000000001,0.24768797134751452
0.0,0.96,0.04004437964179269
0.0,0.98,0.032281409624421636
0.0,1.0,-0.026940235755637282
0.02,0.0,0.343285764681225
0.02,0.02,0.42701147363925257
0.02,0.04,0.5467756291401935
0.02,0.06,0.4160758981659853
0.02,0.08,0.6414372343449426
0.02,0.1,0.5928591848606347
0.02,0.12,0.5591842272072403
0.02,0.14,0.5088323197568715
0.02,0.16,0.6846919189242388
0.02,0.18,0.5870883189319269
0.02,0.2,0.4884122728200012
0.02,0.22,0.4494017864322437
0.02,0.24,0.3753889522187239
0.02,0.26,0.7207236404001371
0.02,0.28,0.5162060919681151
0.02,0.3,0.5404574331135397
0.02,0.32,0.3982645433650729
0.02,0.34,0.4177738393840167
0.02,0.36,0.5242746609498289
0.02,0.38,0.5428731664331818
0.02,0.4,0.43834936314082185
0.02,0.42,0.2790921288753921
0.02,0.44,0.18559947000555188
0.02,0.46,0.2866244827774532
0.02,0.48,0.32622072728943396
0.02,0.5,0.14672802185971798
0.02,0.52,0.246974106441721
0.02,0.54,0.36775909382596944
0.02,0.56,0.10972059317647426
0.02,0.58,0.30290848102693263
0.02,0.6,0.4195968868767137
0.02,0.62,-0.017513056927231596
0.02,0.64,0.1980230847515035
0.02,0.66,0.23554174851148196
0.02,0.68,0.18716551248875146
0.02,0.7000000000000001,0.3551602753559546
0.02,0.72,0.15088573693094265
0.02,0.74,0.15204574534057683
0.02,0.76,0.09718021509149305
0.02,0.78,-0.11940793175427059
0.02,0.8,0.09096520821045276
0.02,0.8200000000000001,0.07001110095440173
0.02,0.84,0.25349822669211464
0.02,0.86,0.21863524371959256
0.02,0.88,-0.0033026633024318963
0.02,0.9,0.14905991199585825
0.02,0.92,0.11653944145897402
0.02,0.9400000000000001,-0.043156162937113385
0.02,0.96,0.20476136562233144
0.02,0.98,0.059729515273934136
0.02,1.0,0.23141213722873316
0.04,0.0,0.32668813873405345
0.04,0.02,0.6701150266120675
0.04,0.04,0.5533573988938447
0.04,0.06,0.34677445981879873
0.04,0.08,0.4195660718963025
0.04,0.1,0.604369459864252
0.04,0.12,0.5833317584496052
0.04,0.14,0.6366683597656418
0.04,0.16,0.6283414265205092
0.04,0.18,0.5508208848255716
0.04,0.2,0.6013791044480162
0.04,0.22,0.5943251761037869
0.04,0.24,0.6118899722974649
0.04,0.26,0.5471375284447197
0.04,0.28,0.4616101096257824
0.04,0.3,0.671461559667336
0.04,0.32,0.6011746617859008
0.04,0.34,0.4889695603785111
0.04,0.36,0.37862440416038673
0.04,0.38,0.42278240782613025
0.04,0.4,0.5079152023975357
0.04,0.42,0.3793351996617576
0.04,0.44,0.29486591446511473
0.04,0.46,0.3704318147465639
0.04,0.48,0.4240447370433663
0.04,0.5,0.29769230375626304
0.04,0.52,0.22970124333366543
0.04,0.54,0.31919032229271843
0.04,0.56,0.20551009178127216
0.04,0.58,0.13334869148876063
0.04,0.6,0.3176980789533944
0.04,0.62,0.2310090540056076
0.04,0.64,0.21886232034762163
0.04,0.66,0.25727017846842354
0.04,0.68,0.0892131649293796
0.04,0.7000000000000001,0.17752073837563276
0.04,0.72,0.19715741593695885
0.04,0.74,0.26608899828455335
0.04,0.76,0.1024573991275178
0.04,0.78,0.17863755535385636
0.04,0.8,0.19987029318615973
0.04,0.8200000000000001,0.10814871710671697
0.04,0.84,0.24389694484144236
0.04,0.86,0.17171930499461166
0.04,0.88,0.26491989103248625
0.04,0.9,0.219348365820481
0.04,0.92,0.18999394305242095
0.04,0.9400000000000001,0.3653603477133869
0.04,0.96,0.23731305455860474
0.04,0.98,0.3444737021217433
0.04,1.0,0.15721603979789384
0.06,0.0,0.41405417279727386
0.06,0.02,0.5669145690684322
0.06,0.04,0.5356007829369297
0.06,0.06,0.6595817637344313
0.06,0.08,0.7014520772980394
0.06,0.1,0.6761754092971488
0.06,0.12,0.752265579523998
0.06,0.14,0.6643812770675583
0.06,0.16,0.7278519266626086
0.06,0.18,0.9644860926037965
0.06,0.2,0.7007344348021896
0.06,0.22,0.5255652316361964
0.06,0.24,0.594704665773839
0.06,0.26,0.6034193941070868
0.06,0.28,0.5888055314704178
0.06,0.3,0.5700099342201334
0.06,0.32,0.4044324562445504
0.06,0.34,0.5137026777276866
0.06,0.36,0.4568926487892076
0.06,0.38,0.6703336229856949
0.06,0.4,0.4046886832307618
0.06,0.42,0.44947939136418025
0.06,0.44,0.42695934616955145
0.06,0.46,0.3135858792299606
0.06,0.48,0.3065907120175797
0.06,0.5,0.28540430522762184
0.06,0.52,0.21622095558791904
0.06,0.54,0.34899232367462873
0.06,0.56,0.23148692932512804
0.06,0.58,0.5224766876201802
0.06,0.6,0.16593146307705708
0.06,0.62,0.06394365183454453
0.06,0.64,0.04016997378628076
0.06,0.66,0.13122356044222255
0.06,0.68,0.2916658327549768
0.06,0.7000000000000001,0.2627982575790857
0.06,0.72,0.333108839711223
0.06,0.74,0.07657728574303779
0.06,0.76,0.17104630293293488
0.06,0.78,0.202670932441209
0.06,0.8,0.09638606144347796
0.06,0.8200000000000001,0.07975393284984439
0.06,0.84,0.23473200435202257
0.06,0.86,0.23250309650633277
0.06,0.88,0.181348384722962
0.06,0.9,0.16349005807760728
0.06,0.92,0.1670419524974357
0.06,0.9400000000000001,0.31071121093866627
0.06,0.96,0.1404281165927167
0.06,0.98,0.26200753395939985
0.06,1.0,0.024471456410082942
0.08,0.0,0.4933891759307188
0.08,0.02,0.6090858560986985
0.08,0.04,0.6305424881475343
0.08,0.06,0.7194995737241242
0.08,0.08,0.860100233186101
0.08,0.1,0.6006527434283615
0.08,0.12,0.5175372288796574
0.08,0.14,0.6367424755017709
0.08,0.16,0.7880682817425742
0.08,0.18,0.7399338749350326
0.08,0.2,0.5515890710428957
0.08,0.22,0.7408393410484061
0.08,0.24,0.7171969286365589
0.08,0.26,0.6632418678877844
0.08,0.28,0.6842460913833206
0.08,0.3,0.5867398748693498
0.08,0.32,0.5824751173700751
0.08,0.34,0.5524015650347113
0.08,0.36,0.5865883595143877
0.08,0.38,0.39404787432761657
0.08,0.4,0.4150039481134709
0.08,0.42,0.4955908270140038
0.08,0.44,0.4452668147512414
0.08,0.46,0.2944963714812672
0.08,0.48,0.21419992865264564
0.08,0.5,0.23026929093148277
0.08,0.52,0.3581518702733699
0.08,0.54,0.3330660105324658
0.08,0.56,0.36274552988372405
0.08,0.58,0.1661568799551874
0.08,0.6,-0.01287177323586644
0.08,0.62,0.457068883184955
0.08,0.64,0.3415859337553389
0.08,0.66,0.1623826566332623
0.08,0.68,0.2632099217791102
0.08,0.7000000000000001,0.23022288264154098
0.08,0.72,0.3128220065382421
