X,Y,f_L
0.0,0.0,0.7507293507296944
0.0,0.02,0.3613785001316411
0.0,0.04,0.4502762586996772
0.0,0.06,0.6915155889722264
0.0,0.08,0.6000364557322689
0.0,0.1,0.06382521798215413
0.0,0.12,0.5585571559661822
0.0,0.14,0.7044777403744733
0.0,0.16,0.7795349188542704
0.0,0.18,1.11157199269905
0.0,0.2,0.699494194917118
0.0,0.22,0.6828895678298329
0.0,0.24,0.4203278826672307
0.0,0.26,0.5788712250179919
0.0,0.28,0.9889177792396594
0.0,0.3,0.4740008506963942
0.0,0.32,0.7396766851885856
0.0,0.34,0.6108379242787129
0.0,0.36,1.0160941181075251
0.0,0.38,0.6660506895083533
0.0,0.4,0.42640780000252404
0.0,0.42,0.3777296027925664
0.0,0.44,0.7135491904625415
0.0,0.46,1.0342560751159695
0.0,0.48,1.0806965070226808
0.0,0.5,0.5970392275142019
0.0,0.52,0.45919392980935786
0.0,0.54,0.3248185168141187
0.0,0.56,0.4535850777182353
0.0,0.58,0.6426112158404899
0.0,0.6,-0.0849039536705184
0.0,0.62,0.46070707667772237
0.0,0.64,0.7003436167861559
0.0,0.66,0.3217220808327453
0.0,0.68,0.2666338225867467
0.0,0.7000000000000001,0.2868818299910417
0.0,0.72,0.4332546128777367
0.0,0.74,0.30797222632762056
0.0,0.76,0.4434258294909777
0.0,0.78,0.32334554777575847
0.0,0.8,0.8190443020363272
0.0,0.8200000000000001,0.37510080432517107
0.0,0.84,0.51010254685518
0.0,0.86,0.5783790135346911
0.0,0.88,0.2661042286234669
0.0,0.9,0.004334423335318138
0.0,0.92,0.0978739235682157
0.0,0.9400000000000001,0.017444767136720857
0.0,0.96,0.3123934052086735
0.0,0.98,0.14140973833327258
0.0,1.0,0.5608134232769147
0.02,0.0,0.5288063869008734
0.02,0.02,0.4476865566244008
0.02,0.04,0.5626372002034676
0.02,0.06,0.923675918451203
0.02,0.08,0.6190914944695902
0.02,0.1,1.0428087594130804
0.02,0.12,0.74422174078052
0.02,0.14,0.9943212690180028
0.02,0.16,0.7967582416668044
0.02,0.18,0.3541742811818162
0.02,0.2,0.9579704682049175
0.02,0.22,0.4762928304159142
0.02,0.24,0.8837217792318826
0.02,0.26,0.8710306487090095
0.02,0.28,0.49936694161425704
0.02,0.3,1.2653516022070737
0.02,0.32,0.5312551122748941
0.02,0.34,0.7244845621679141
0.02,0.36,0.7443114957770608
0.02,0.38,0.7875021479116487
0.02,0.4,0.5031973553060503
0.02,0.42,0.7141299862999521
0.02,0.44,0.49638242989496145
0.02,0.46,0.7781901674428096
0.02,0.48,0.7596669117670414
0.02,0.5,0.26004793302119555
0.02,0.52,0.7569757827473625
0.02,0.54,0.7076971791849153
0.02,0.56,0.6593563669307921
0.02,0.58,0.27233720729555966
0.02,0.6,0.5769955385768654
0.02,0.62,0.8438053864658652
0.02,0.64,0.2774205259130947
0.02,0.66,0.5683551367350472
0.02,0.68,0.28425938062040235
0.02,0.7000000000000001,0.6398138653426799
0.02,0.72,0.3677175114058272
0.02,0.74,0.25142618426305713
0.02,0.76,-0.11979697470763778
0.02,0.78,0.39127259396899217
0.02,0.8,0.21886464251942553
0.02,0.8200000000000001,0.35048403119135807
0.02,0.84,0.6487075819723664
0.02,0.86,0.4795024093721427
0.02,0.88,-0.06886996221254532
0.02,0.9,0.029513050198694046
0.02,0.92,0.3702967753973575
0.02,0.9400000000000001,0.23718510686113517
0.02,0.96,-0.2279907005707061
0.02,0.98,0.23196358398738845
0.02,1.0,0.055094586003585105
0.04,0.0,0.8004719182522158
0.04,0.02,0.949035441497292
0.04,0.04,0.9307600610344786
0.04,0.06,0.4527387747179815
0.04,0.08,0.5500296467327759
0.04,0.1,0.29484055815962484
0.04,0.12,0.702856403987546
0.04,0.14,0.6352979517419883
0.04,0.16,0.8638174141499357
0.04,0.18,0.8567257538376687
0.04,0.2,1.0142879085637884
0.04,0.22,1.0006284683426703
0.04,0.24,0.6336190874806759
0.04,0.26,0.3404117408610637
0.04,0.28,0.9170075708785235
0.04,0.3,0.48959404716597565
0.04,0.32,0.8948067940621995
0.04,0.34,0.6089686503407821
0.04,0.36,1.2578765678045132
0.04,0.38,0.8892269209957222
0.04,0.4,0.8738471728543287
0.04,0.42,0.9575904020988124
0.04,0.44,0.8427926654501636
0.04,0.46,0.8020954750160554
0.04,0.48,0.8944103815043065
0.04,0.5,0.8872293978949818
0.04,0.52,0.7143633503374089
0.04,0.54,0.8595843268766684
0.04,0.56,0.3875306945770463
0.04,0.58,0.5529560828006238
0.04,0.6,0.512031776319807
0.04,0.62,0.7756428178457305
0.04,0.64,0.6652314777801044
0.04,0.66,0.3547960823182863
0.04,0.68,0.2645761386790956
0.04,0.7000000000000001,0.5206601839730163
0.04,0.72,0.5670750501754516
0.04,0.74,0.40622837930443845
0.04,0.76,0.5751327484664056
0.04,0.78,0.35547236877178434
0.04,0.8,0.17694165039166027
0.04,0.8200000000000001,0.3262605038027205
0.04,0.84,0.321818149941088
0.04,0.86,-0.5650981424319544
0.04,0.88,0.46656154142943784
0.04,0.9,-0.06051396047364488
0.04,0.92,-0.08058194162268761
0.04,0.9400000000000001,0.4644710277216111
0.04,0.96,0.35467173614095304
0.04,0.98,0.39423265874137153
0.04,1.0,0.25124301796880066
0.06,0.0,0.9760151896570715
0.06,0.02,0.8300823963934503
0.06,0.04,0.35326601946055647
0.06,0.06,0.6766995664787525
0.06,0.08,0.48288541437530275
0.06,0.1,0.5059899528372891
0.06,0.12,0.9540150154933508
0.06,0.14,0.6473696245622943
0.06,0.16,0.5142970142859944
0.06,0.18,0.641855153050991
0.06,0.2,0.5347392001657281
0.06,0.22,0.5857880725258465
0.06,0.24,0.8728952311019866
0.06,0.26,0.9949702004277854
0.06,0.28,0.8494045633463531
0.06,0.3,0.8547092983678195
0.06,0.32,0.8643602782693721
0.06,0.34,1.2287231742292182
0.06,0.36,0.4009862292838575
0.06,0.38,0.4759655282182064
0.06,0.4,1.0025970779993243
0.06,0.42,0.2854881603488007
0.06,0.44,0.3597513882647695
0.06,0.46,0.712582799278045
0.06,0.48,0.9412474762498543
0.06,0.5,0.7737833945353961
0.06,0.52,0.8719193664256717
0.06,0.54,0.7922889641829949
0.06,0.56,0.6775855552321944
0.06,0.58,0.48229919898657364
0.06,0.6,0.8973155987956162
0.06,0.62,0.49592319888452185
0.06,0.64,-0.021355682728589453
0.06,0.66,0.4793817262216982
0.06,0.68,0.9169974187264613
0.06,0.7000000000000001,0.6458563357942548
0.06,0.72,0.7240443474396713
0.06,0.74,0.7799138680352171
0.06,0.76,0.30277483239045344
0.06,0.78,0.5307166894943428
0.06,0.8,-0.06081616645104021
0.06,0.8200000000000001,0.20021969107814597
0.06,0.84,-0.0026824160394656182
0.06,0.86,0.24790209881114245
0.06,0.88,-0.42561758283023965
0.06,0.9,0.2953426640531238
0.06,0.92,0.3712845720718798
0.06,0.9400000000000001,0.32964267543986603
0.06,0.96,0.022874765170640438
0.06,0.98,-0.15213301328536774
0.06,1.0,-0.3491244011589374
0.08,0.0,0.9399901186873849
0.08,0.02,0.441576082386746
0.08,0.04,0.9357175471559427
0.08,0.06,0.41100462051335057
0.08,0.08,0.8061567659151774
0.08,0.1,0.44358207034922453
0.08,0.12,0.8314130669594301
0.08,0.14,0.7541493954942321
0.08,0.16,0.6873200525133745
0.08,0.18,0.9704469186430366
0.08,0.2,0.8024038385524079
0.08,0.22,0.9803592818058224
0.08,0.24,0.8834268514329716
0.08,0.26,1.059231299453031
0.08,0.28,0.680084232534949
0.08,0.3,0.6783081350834419
0.08,0.32,0.9439363677336169
0.08,0.34,0.7254822452578419
0.08,0.36,1.002875422341109
0.08,0.38,0.6627708065767043
0.08,0.4,0.9583445847636022
0.08,0.42,0.39301625078297975
0.08,0.44,0.7849833306589888
0.08,0.46,0.6308546348208639
0.08,0.48,0.1937050296515897
0.08,0.5,0.46891261438670917
0.08,0.52,0.4669405090387543
0.08,0.54,0.7154824059354694
0.08,0.56,0.5038983710752106
0.08,0.58,0.613529614642707
0.08,0.6,0.28947429604520253
0.08,0.62,0.7935490518190226
0.08,0.64,0.4780928186279857
0.08,0.66,0.43704233710636503
0.08,0.68,0.3401860103690527
0.08,0.7000000000000001,0.4465304088182501
0.08,0.72,0.4299275462376231
0.08,0.74,0.29266478555182657
0.08,0.76,-0.07555875946598029
0.08,0.78,0.04047230521881379
0.08,0.8,0.40077603279419904
0.08,0.8200000000000001,0.21832137421814152
0.08,0.84,0.46525650343633823
0.08,0.86,0.38276930693743416
0.08,0.88,0.3161255908472418
0.08,0.9,0.27444887299828175
0.08,0.92,0.4085389596312271
0.08,0.9400000000000001,0.3703018864376012
0.08,0.96,0.2985236094371513
0.08,0.98,0.41468880019754917
0.08,1.0,0.4661523293245793
0.1,0.0,0.784345834399219
0.1,0.02,0.9242022786821892
0.1,0.04,0.4487558600499063
0.1,0.06,0.7688585645177952
0.1,0.08,0.9440429897919842
0.1,0.1,0.5155283195881384
0.1,0.12,0.9130148247357566
0.1,0.14,0.9754002316506805
0.1,0.16,0.605443406674464
0.1,0.18,1.4231571098724334
0.1,0.2,1.0293862990828144
0.1,0.22,0.7047339966363021
0.1,0.24,1.167124157345141
0.1,0.26,0.8650132697345903
0.1,0.28,0.489934693377619
0.1,0.3,0.8675299379291461
0.1,0.32,1.1336726155946808
0.1,0.34,0.6255346603819343
0.1,0.36,1.0787625954659439
0.1,0.38,0.6911250867913185
0.1,0.4,0.7560964047810708
0.1,0.42,0.5158087407930019
0.1,0.44,0.34158475613384287
0.1,0.46,0.7685458428122324
0.1,0.48,0.5577779847597926
0.1,0.5,0.3446016366594277
0.1,0.52,0.9468607318267401
0.1,0.54,0.19169386323075865
0.1,0.56,0.7957808663528614
0.1,0.58,0.5849928122462321
0.1,0.6,0.09700597662418159
0.1,0.62,0.3082435927518249
0.1,0.64,-0.07099209194557471
0.1,0.66,-0.09571562195060246
0.1,0.68,0.7667491178345639
0.1,0.7000000000000001,0.35231596500701834
0.1,0.72,0.6840555289436392
0.1,0.74,0.20640360271727792
0.1,0.76,0.7040711942980302
0.1,0.78,0.23598773766043354
0.1,0.8,0.665330451233779
0.1,0.8200000000000001,0.28210290922865805
0.1,0.84,0.3197305498156965
0.1,0.86,0.40023740152183984
0.1,0.88,0.2810330170947884
0.1,0.9,0.07068834767015467
0.1,0.92,0.1848878355455031
0.1,0.9400000000000001,0.3187575878786073
0.1,0.96,0.508248913601485
0.1,0.98,0.5798115926951221
0.1,1.0,0.13628282687870424
0.12,0.0,0.8463221528372173
0.12,0.02,0.5563871064230949
0.12,0.04,0.8155058771301684
0.12,0.06,0.6942703761276753
0.12,0.08,0.8375555142740775
0.12,0.1,0.6882663382243857
0.12,0.12,0.4757172864799043
0.12,0.14,1.4508812258640762
0.12,0.16,0.5544990545032845
0.12,0.18,0.7897241966646811
0.12,0.2,0.861968816395023
0.12,0.22,1.1567850987300097
0.12,0.24,0.6036383771050389
0.12,0.26,0.9020204841511565
0.12,0.28,0.7859692421038666
0.12,0.3,0.766706700156601
0.12,0.32,0.42742233848274447
0.12,0.34,0.8640264156912687
0.12,0.36,0.6971562047241237
0.12,0.38,0.34892083595127404
0.12,0.4,0.6452096907351768
0.12,0.42,0.42000068144202723
0.12,0.44,0.7981864246957227
0.12,0.46,1.3271237060810601
0.12,0.48,0.3292312912570199
0.12,0.5,0.8905870267708125
0.12,0.52,0.6561022851882921
0.12,0.54,0.4796792765957307
0.12,0.56,0.354663967913574
0.12,0.58,0.7956027684188796
0.12,0.6,0.2639229970488487
0.12,0.62,0.13496750612282676
0.12,0.64,0.47943656013517283
0.12,0.66,0.14515065181836262
0.12,0.68,0.7860873316729635
0.12,0.7000000000000001,0.3946129495887387
0.12,0.72,0.5042123917430388
0.12,0.74,0.22532630744676163
0.12,0.76,0.628908629846693
0.12,0.78,0.26748421622536944
0.12,0.8,0.26991390063677856
0.12,0.8200000000000001,-0.11546157384402245
0.12,0.84,0.52699488269133
0.12,0.86,0.15299418009736224
0.12,0.88,0.4306080111453926
0.12,0.9,0.2492999946495029
0.12,0.92,0.02382283353771425
0.12,0.9400000000000001,0.49584465628056873
0.12,0.96,0.4400461737734256
0.12,0.98,0.040366857764281505
0.12,1.0,0.07311209931263346
0.14,0.0,0.7313477583510665
0.14,0.02,0.8709281448388774
0.14,0.04,0.719285705183784
0.14,0.06,1.0017672475378105
0.14,0.08,0.8110774377970538
0.14,0.1,0.7739806075345814
0.14,0.12,0.9534853983594348
0.14,0.14,0.8476758504967481
0.14,0.16,1.0703848621654295
0.14,0.18,1.0251067170588333
0.14,0.2,1.156644623518474
0.14,0.22,0.9512520815410365
0.14,0.24,1.2874298068666674
0.14,0.26,0.9817594274202809
0.14,0.28,0.6381384277773656
0.14,0.3,0.9959841194240409
0.14,0.32,0.44729203672317186
0.14,0.34,0.7450574241668938
0.14,0.36,0.7549171747269794
0.14,0.38,0.8663275791147026
0.14,0.4,1.1199899117994947
0.14,0.42,0.6637178754096646
0.14,0.44,0.5332029705225068
0.14,0.46,1.6008745413142635
0.14,0.48,1.1329126119688901
0.14,0.5,0.7017224406356228
0.14,0.52,0.6591222002100583
0.14,0.54,0.8243443197558016
0.14,0.56,0.7632891007180428
0.14,0.58,0.5296345213773082
0.14,0.6,1.0248408806836704
0.14,0.62,0.19651658589625243
0.14,0.64,0.5680688171675007
0.14,0.66,0.4532493320125863
0.14,0.68,0.1103151284117262
0.14,0.7000000000000001,0.3019724877834885
0.14,0.72,0.32121418346625574
0.14,0.74,0.18327077500985514
0.14,0.76,0.03407564178893663
0.14,0.78,0.2961033408250873
0.14,0.8,0.5773081863254679
0.14,0.8200000000000001,0.1617475905164887
0.14,0.84,0.4907165417652394
0.14,0.86,0.3065167747579143
0.14,0.88,-0.0005320842671915349
0.14,0.9,0.27299083431365456
0.14,0.92,0.3064834546297411
0.14,0.9400000000000001,-0.13632104044764795
0.14,0.96,0.3541246267833593
0.14,0.98,0.09099809666021683
0.14,1.0,0.5376363856862405
0.16,0.0,0.5047021371725471
0.16,0.02,0.8181648914561719
0.16,0.04,0.9456055255390293
0.16,0.06,0.7284474464265769
0.16,0.08,0.4250066339462493
0.16,0.1,1.126619559861104
0.16,0.12,0.7688209157684156
0.16,0.14,0.9349494238228291
0.16,0.16,0.5976481170182872
0.16,0.18,1.1755188956804223
0.16,0.2,1.1641622908656233
0.16,0.22,0.3853938194047698
0.16,0.24,0.7271267292794026
0.16,0.26,0.7638617422519516
0.16,0.28,1.0412312516637552
0.16,0.3,0.07699291998835156
0.16,0.32,0.8159867073232051
0.16,0.34,1.2162879355260336
0.16,0.36,0.7458329930071701
0.16,0.38,0.806266186511988
0.16,0.4,0.6710052107178902
0.16,0.42,1.0490146716868152
0.16,0.44,0.4360694716509287
0.16,0.46,0.6262628441737955
0.16,0.48,-0.07490889492204189
0.16,0.5,0.7020477014721008
0.16,0.52,0.815008439833985
0.16,0.54,0.5858692265284804
0.16,0.56,0.22453366556280385
0.16,0.58,0.7720943227154285
0.16,0.6,0.49413830146996557
0.16,0.62,0.23221764172536385
0.16,0.64,0.7068190180852648
0.16,0.66,0.45954993168685304
0.16,0.68,0.4357226040979083
0.16,0.7000000000000001,0.026770766052765238
0.16,0.72,1.1381448108486016
0.16,0.74,0.01566958873244656
0.16,0.76,0.7182146762010984
0.16,0.78,-0.04486450863859537
0.16,0.8,0.8130165273753478
0.16,0.8200000000000001,0.3363001248632683
0.16,0.84,-0.004865540146786307
0.16,0.86,-0.042375271464082265
0.16,0.88,0.23029750008522082
0.16,0.9,0.47312471062317507
0.16,0.92,-0.3721587765767881
0.16,0.9400000000000001,-0.13389041434139565
0.16,0.96,-0.0938472136804405
0.16,0.98,0.3385391435901449
0.16,1.0,0.19595523908692677
0.18,0.0,1.0045703387144755
0.18,0.02,0.7307429007833406
0.18,0.04,0.7910322064295767
0.18,0.06,0.7322955627271215
0.18,0.08,1.2340455276832398
0.18,0.1,0.43533210991924765
0.18,0.12,1.2798182998542333
0.18,0.14,1.3400582476283054
0.18,0.16,0.5117783342280138
0.18,0.18,0.8319881597250874
0.18,0.2,0.7592940982835584
0.18,0.22,0.7061729957372868
0.18,0.24,0.5763809684616774
0.18,0.26,1.1114075144540305
0.18,0.28,0.8170996916970231
0.18,0.3,0.9432024896131521
0.18,0.32,1.088227412972766
0.18,0.34,0.6814223467047915
0.18,0.36,0.521014394949739
0.18,0.38,0.5346704581969299
0.18,0.4,1.161778328651072
0.18,0.42,0.623332708038067
0.18,0.44,0.23660606461784117
0.18,0.46,1.0257268807612159
0.18,0.48,0.38752202468440294
0.18,0.5,0.4938963642271079
0.18,0.52,0.5300956758151937
0.18,0.54,0.507206100926692
0.18,0.56,0.7260897311327238
0.18,0.58,0.5667560705149487
0.18,0.6,0.3031737508215276
0.18,0.62,0.28549275152172804
0.18,0.64,0.42071043864360685
0.18,0.66,0.051438622652964006
0.18,0.68,0.6113412882327689
0.18,0.7000000000000001,0.04755069256780314
0.18,0.72,0.22597955949114412
0.18,0.74,0.36379545723261963
0.18,0.76,0.23071129268168875
