,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.0,0.0,0.4214804105421621
1,0,1,0,S,1.0,0.46,0.9,0.1218982165144539
2,0,1,0,S,2.0,0.62,0.0,0.3470491004365643
3,0,1,0,S,3.0,0.1,0.0,0.4843852086229754
4,0,2,0,S,0.0,0.0,0.6,0.08736565998288545
5,0,2,0,S,1.0,1.0,0.54,0.07833164147704724
6,0,2,0,S,2.0,1.0,0.44,0.003392378048228034
7,0,2,0,S,3.0,0.38,0.42,0.22283048645995146
8,0,3,0,S,0.0,0.0,1.0,-0.026940235755637282
9,0,3,0,S,1.0,1.0,1.0,0.07627112860411163
10,0,3,0,S,2.0,1.0,0.0,0.4712929381824774
11,0,3,0,S,3.0,0.02,0.28,0.5162060919681151
12,0,4,0,S,1.0,0.68,0.62,-0.02118963330909044
13,0,4,0,S,3.0,0.36,0.12,0.7686868494338692
14,0,5,0,S,2.0,0.72,0.28,0.5941114217724701
15,0,7,0,S,0.0,0.24,0.74,0.27428404187633737
16,0,8,0,S,1.0,0.72,1.0,0.04570882179777047
17,0,8,0,S,2.0,1.0,0.22,0.5273467387022357
18,0,10,0,S,0.0,0.18,0.44,0.3646565599837265
19,0,11,0,S,2.0,1.0,0.78,0.18474939093780526
20,0,12,0,S,3.0,0.36,0.0,0.7061121782545199
21,0,18,0,S,3.0,0.5,0.26,0.5735413723015451
22,0,19,0,S,1.0,0.26,1.0,0.3376907582727241
23,0,19,0,S,2.0,0.8200000000000001,0.0,0.4578276537662593
24,0,20,0,S,2.0,0.56,0.5,0.24546592776122764
25,0,22,0,S,3.0,0.2,0.2,0.959977102312897
26,0,23,0,S,0.0,0.0,0.78,0.18859573617277545
27,0,26,0,S,2.0,0.84,0.72,0.07042313157074011
28,0,28,0,S,1.0,0.46,0.7000000000000001,0.06460393239536155
29,0,31,0,S,1.0,0.5,1.0,0.03434377413281647
30,0,33,0,S,1.0,0.7000000000000001,0.84,0.1290056589211763
31,0,34,0,S,0.0,0.0,0.42,0.3354683833663816
32,0,34,0,S,2.0,0.8,0.44,0.3016469422384234
33,0,35,0,S,2.0,0.8200000000000001,0.16,0.5843411700399896
34,0,36,0,S,0.0,0.0,0.2,0.5770056321915686
35,0,36,0,S,3.0,0.0,0.16,0.6510132444332222
36,0,37,0,S,2.0,1.0,0.0,0.4712929381824774
37,0,38,0,S,3.0,0.54,0.0,0.4312127617212427
38,0,51,0,S,3.0,0.22,0.0,0.8984628871551839
39,0,53,0,S,1.0,0.86,1.0,-0.15581036830334508
40,0,54,0,S,0.0,0.24,0.6,0.3699561896988096
41,0,57,0,S,0.0,0.0,0.7000000000000001,0.036300747329823885
42,0,61,0,S,0.0,0.26,0.3,0.8429849469376223
43,0,67,0,S,3.0,0.0,0.0,0.4214804105421621
44,0,76,0,S,0.0,0.42,0.56,0.2784703401798681
45,0,84,0,S,3.0,0.52,0.18,0.4459015602983847
46,0,97,0,S,2.0,1.0,0.8200000000000001,0.0620186511205051
47,0,119,0,S,2.0,1.0,0.24,0.4252334677624195
48,1,1,0,S,0.0,0.0,0.0,0.4214804105421621
49,1,1,0,S,1.0,0.0,0.76,0.15807862554070318
50,1,1,0,S,2.0,0.62,0.4,0.09926511770163382
51,1,1,0,S,3.0,0.58,0.3,0.454345375674205
52,1,2,0,S,1.0,0.64,1.0,-0.08589945018835472
53,1,2,0,S,2.0,1.0,1.0,0.07627112860411163
54,1,2,0,S,3.0,1.0,0.0,0.4712929381824774
55,1,3,0,S,0.0,0.16,0.38,0.3609776058166003
56,1,3,0,S,1.0,0.22,0.48,0.3433559678972693
57,1,3,0,S,2.0,1.0,0.52,-0.10458758501134112
58,1,3,0,S,3.0,1.0,0.38,0.3003417103435191
59,1,4,0,S,0.0,0.4,0.0,0.8500454046349019
60,1,4,0,S,1.0,0.24,1.0,0.1386138870831377
61,1,4,0,S,3.0,0.48,0.0,0.6085298012867383
62,1,5,0,S,0.0,0.0,0.36,0.3186990206028613
63,1,5,0,S,1.0,0.46,0.7000000000000001,0.06460393239536155
64,1,5,0,S,2.0,0.5,0.72,-0.050650209294736265
65,1,5,0,S,3.0,0.74,0.0,0.2956986579914835
66,1,6,0,S,0.0,0.22,0.16,0.9624105056783248
67,1,6,0,S,2.0,0.8200000000000001,0.74,0.015475650510262812
