X,Y,f_S_train
0.72,0.16,0.5320223421638477
0.24,0.2,1.0875255354313025
0.8200000000000001,0.68,0.07415600858894933
0.34,0.72,0.05755357557361948
0.24,0.78,0.10247038315139284
0.16,0.12,0.8224614116359206
0.96,0.32,0.1497647801799511
0.44,0.44,0.3059553199711387
0.96,0.1,0.737095131143487
0.5,0.12,0.6975823994792981
0.08,0.7000000000000001,0.23022288264154098
0.26,0.32,0.7835576611327421
0.08,0.22,0.7408393410484061
0.9,0.54,0.03681522662125351
0.08,0.8,0.22904520386722838
0.04,0.68,0.0892131649293796
0.92,0.88,0.006343943466546876
0.92,0.8200000000000001,0.027917151794871968
0.92,0.38,0.29771180805183206
0.6,0.9400000000000001,0.0818832537878313
0.66,0.06,0.2633979349185845
0.5,0.74,0.008700636618279009
0.68,0.32,0.416057755307802
0.48,0.58,0.059142354142585736
0.36,0.3,0.7026079791494091
0.9,0.8200000000000001,0.05939257504077516
0.02,0.08,0.6414372343449426
0.92,0.72,0.18435306055110104
0.88,0.28,0.5291895203497154
0.64,0.46,0.1993777072296766
0.26,0.02,0.8876164260877665
0.0,0.02,0.4547825345058732
0.62,0.5,-0.020224468480677812
1.0,0.66,-0.15131005735074415
0.46,0.92,0.1329046339954224
0.46,0.92,0.1329046339954224
0.88,0.9400000000000001,0.15485485318222486
0.2,0.74,0.19453904401386063
0.56,0.54,0.23393361262520143
0.36,0.32,0.3592836722026102
0.28,0.88,0.08969861149962054
0.62,0.08,0.3874724948213949
0.66,0.74,-0.06218027262703995
0.44,0.4,0.18905463982811996
0.32,0.42,0.26791968532104704
1.0,0.34,0.20374969915728802
0.84,0.18,0.6104759153172342
0.08,0.66,0.1623826566332623
0.24,0.44,0.5472828427730299
0.8200000000000001,0.9400000000000001,-0.03432301663512635
0.22,0.16,0.9624105056783249
0.16,0.5,0.4349413609054685
0.58,0.12,0.48958231291379123
0.26,0.62,0.2559888427027034
0.3,0.1,1.0408242926379512
0.72,0.58,-0.013110888587879357
0.68,0.72,0.210627719980037
0.5,0.58,-0.12169212976812405
0.76,0.9,0.2669306162599254
0.78,0.3,0.624010447573314
0.16,0.16,1.013109839445904
0.02,0.9400000000000001,-0.043156162937113385
0.02,0.2,0.4884122728200012
0.2,0.1,0.918608740408518
0.7000000000000001,0.96,-0.013580619487399099
0.98,0.34,0.2036826116329026
0.16,0.66,0.18308929684157824
0.62,0.22,0.5904870050287635
0.64,0.68,-0.05901930801782178
0.74,0.7000000000000001,-0.022401363009129836
0.64,0.16,0.49620206194424116
0.3,0.7000000000000001,0.3100934281745969
0.44,0.0,0.5084619769006479
0.2,0.54,0.326471675969485
0.0,0.1,0.4580402870327639
0.2,0.46,0.5218775662229838
0.24,0.14,0.8982348896954007
0.84,0.18,0.6104759153172342
0.18,0.26,0.6883655953033654
0.34,0.22,0.8580959530150865
0.9400000000000001,0.04,0.4090523785701866
0.42,0.44,0.24801689800153612
0.88,0.3,0.5379348207123307
0.34,0.32,0.5646421910602633
0.76,0.72,0.01688520442522268
0.44,0.12,0.7387161840806346
0.7000000000000001,0.74,-0.009589028124063169
0.16,0.6,0.30558444749669367
0.22,0.8200000000000001,0.14419800569017344
0.54,0.18,0.40841174339945174
0.92,0.04,0.3547613444204514
0.04,0.24,0.6118899722974649
0.48,0.56,-0.043948972308702566
0.0,0.66,0.1877932378513884
0.9400000000000001,0.5,-0.0034478780243321766
0.58,0.0,0.5799136804309815
0.32,0.24,0.8841158964157421
0.34,0.6,0.07087740645474691
0.32,0.66,0.07055470230868804
0.02,0.14,0.5088323197568715
0.98,0.62,0.05334143456401903
0.56,0.14,0.50887574902866
0.5,0.18,0.5219514652239743
0.44,0.88,0.17083162968903604
0.52,0.74,0.10533784046979353
0.48,0.46,0.3439500881839031
0.3,0.56,0.2521633598491359
0.24,0.84,0.22296719418547173
0.8200000000000001,0.3,0.5154614582547801
0.54,0.86,0.03951213645408847
0.66,0.98,0.022352549103469902
0.42,0.76,0.19684510852839585
0.92,0.74,-0.11317438020102569
0.32,0.3,0.574760856287069
0.24,1.0,0.1386138870831377
0.64,0.38,0.23752128905975556
0.72,0.8,-0.062009709366096545
0.42,0.78,0.1442875090975259
0.84,0.14,0.6027806578924116
0.56,0.18,0.47983100451329147
0.76,0.72,0.01688520442522268
0.34,0.9,0.26400809306066747
0.24,0.14,0.8982348896954007
0.84,0.74,-0.05783598979255752
0.68,0.64,0.04823630636772977
0.88,0.34,0.3404029548583388
0.74,0.52,0.0427008530645327
0.88,0.9400000000000001,0.15485485318222486
0.5,0.9,0.0351588507748635
0.68,0.88,0.06001392012988507
0.9400000000000001,0.22,0.6191712225873351
0.52,0.6,-0.17352183237759494
0.04,0.66,0.25727017846842354
0.08,0.64,0.3415859337553389
0.16,0.24,0.6376241460229511
0.46,0.52,0.17477682433473168
0.8,0.26,0.5848237766404123
0.8,0.7000000000000001,0.0861728683763605
0.8200000000000001,0.5,0.039191669763432024
0.48,0.56,-0.043948972308702566
0.72,0.08,0.4585344538985471
0.48,0.5,0.09086479392568127
0.46,0.38,0.24035126296121864
0.0,0.04,0.35408406876368226
0.28,0.76,0.17379398962225062
0.42,0.7000000000000001,0.020858347873166656
0.4,0.92,-0.008923838973750098
0.88,0.24,0.605558439267318
0.9,0.04,0.3818219998675927
0.1,0.8,0.2521948218336406
0.68,0.52,0.11056068899016522
0.8,0.4,0.29049529786701433
0.52,0.32,0.3177181339305685
0.44,0.06,0.7733073804545105
0.7000000000000001,0.02,0.33041211470044474
0.02,0.24,0.3753889522187239
0.1,0.9400000000000001,0.3272507092294987
0.56,0.9400000000000001,-0.1526619292488578
0.18,0.4,0.528053145175067
0.08,0.22,0.7408393410484061
0.8,0.46,0.014452038139354584
0.14,0.38,0.5206064426521867
0.38,0.84,0.06799058249224103
0.48,0.5,0.09086479392568127
0.78,0.02,0.2511150711784436
0.16,0.7000000000000001,0.19134907974121718
0.28,0.14,1.056677096545257
0.74,0.46,0.20125009841088792
0.62,0.12,0.6576179866464651
0.7000000000000001,0.9,0.057076182161045784
0.06,0.38,0.6703336229856949
0.4,0.9,0.041885876885195246
0.56,0.96,-0.013454839491867064
0.64,0.52,0.11350183493384725
0.08,0.9,0.10925493304191111
0.08,0.52,0.3581518702733699
0.64,0.96,-0.211697476208961
0.44,0.98,-0.20727676818311255
0.4,0.9,0.041885876885195246
0.76,0.0,0.49074607492459565
0.7000000000000001,0.9,0.057076182161045784
0.08,0.68,0.2632099217791102
0.4,0.34,0.33798929447833087
0.8200000000000001,0.66,0.03317758827468101
0.16,0.76,0.18047197110121038
0.86,0.06,0.6200579712026894
0.22,0.68,0.230549582615566
0.56,0.0,0.5238062054306775
0.48,0.16,0.6669878494507127
0.0,0.06,0.3434754015726908
0.08,0.12,0.5175372288796574
0.64,0.56,-0.041863840823498484
0.36,0.54,-0.18658779009408294
0.06,0.86,0.23250309650633277
0.8,0.46,0.014452038139354584
0.06,0.98,0.26200753395939985
0.14,0.2,0.8564079834848511
0.46,0.46,0.34986075848608056
0.76,0.52,0.10969403999347395
0.2,0.74,0.19453904401386063
0.34,0.8,0.03764263308967698
0.72,0.1,0.5303419355726385
0.2,0.16,1.0091807556689503
0.8200000000000001,0.24,0.764532266705321
0.2,0.9400000000000001,0.14188926682100153
0.8,0.5,0.12833609694879086
0.54,0.66,-0.10230798569539376
0.98,0.4,0.09557260035629764
0.44,0.74,0.18357459259179304
0.98,0.42,0.027441865248463926
0.26,0.24,0.8671182361200112
0.88,0.5,0.10345028426577847
0.5,0.24,0.48694288989211476
0.54,0.52,0.16736274782693888
0.34,0.86,0.1566935065916122
0.1,0.74,0.2311358863286247
0.58,0.7000000000000001,0.04269263215419726
0.22,0.16,0.9624105056783249
0.88,0.4,0.3120061897661021
0.72,0.74,0.13601168073897865
0.78,0.5,0.2699661930607798
0.04,0.7000000000000001,0.17752073837563276
0.78,0.9,0.19727140473473842
0.68,0.96,0.19329015636155555
0.84,0.06,0.5746805753892739
0.98,0.38,0.2534014995864467
0.98,0.34,0.2036826116329026
0.9400000000000001,0.58,0.1353500904720368
0.76,0.32,0.5981214454538157
0.58,1.0,0.07421902947040288
0.36,0.42,0.4837856346929752
0.74,0.4,0.32735263118507013
0.08,0.8,0.22904520386722838
0.02,1.0,0.23141213722873316
0.98,0.24,0.45668968218107686
0.22,0.92,0.14573180994734558
0.7000000000000001,0.52,-0.02996036539587442
0.46,0.1,0.6461897956029962
0.14,0.6,0.425532497830289
0.98,0.14,0.6699110997507733
0.2,0.96,0.16319698834630342
0.62,0.76,0.0996306249498978
0.6,0.22,0.37090416695761347
0.98,0.06,0.1594575441683081
0.38,0.18,0.7867303751858538
0.22,0.14,0.9252655717910835
0.02,0.54,0.36775909382596944
0.6,0.44,0.3039368480940149
0.34,0.9,0.26400809306066747
0.9,0.62,-0.010304985025703964
0.22,0.54,0.3060552407083302
0.62,0.46,0.11086625219633012
0.72,0.58,-0.013110888587879357
0.4,0.0,0.8500454046349019
0.72,0.74,0.13601168073897865
0.1,0.88,0.24591251429447306
0.86,0.7000000000000001,0.0066439532598784904
0.08,0.6,-0.01287177323586644
0.6,0.98,0.15796112909954987
0.24,0.8200000000000001,0.0736547352312075
