,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,0.0,0.24,1.0,0.12843272451973084
1,0,1,0,M,1.0,0.74,0.0,0.5098789817557108
2,0,1,0,M,2.0,1.0,0.24,0.567139377868893
3,0,1,0,M,3.0,1.0,0.76,-0.06908825973661523
4,0,1,0,M,4.0,0.76,0.76,0.10075431560991979
5,0,1,0,M,5.0,0.74,1.0,-0.06841476739364069
6,0,1,0,M,7.0,0.0,0.74,0.12163194322886543
7,0,2,0,M,0.0,0.24,0.76,0.14921284966712478
8,0,2,0,M,1.0,0.5,0.0,0.5882246668309156
9,0,2,0,M,2.0,1.0,0.0,0.18796734967815304
10,0,2,0,M,3.0,1.0,0.5,0.1530105449764491
11,0,2,0,M,5.0,1.0,1.0,-0.05446890790811156
12,0,2,0,M,7.0,0.0,0.24,0.4072147953479451
13,0,3,0,M,0.0,0.5,1.0,-0.062407210494603724
14,0,3,0,M,1.0,0.24,0.0,0.9555434925069562
15,0,3,0,M,2.0,0.76,0.24,0.7394214508687151
16,0,3,0,M,7.0,0.0,0.5,0.04968383236321747
17,0,4,0,M,1.0,0.0,0.0,0.4823770048719726
18,0,4,0,M,2.0,0.5,0.5,0.229202317700314
19,0,4,0,M,7.0,0.0,1.0,0.1916752287835982
20,0,5,0,M,1.0,0.24,0.24,0.8392396398770461
21,0,17,1,M,4.0,0.5,0.24,0.5857594296032131
22,0,17,1,M,5.0,0.5,0.76,0.004649758923266235
23,0,17,1,M,6.0,0.76,0.5,0.07021867885474811
24,0,18,1,M,5.0,0.24,0.5,0.29888600594885695
25,0,49,2,M,0.0,0.38,1.0,0.1611688577126606
26,0,49,2,M,1.0,0.36,0.0,0.8985609597667656
27,0,49,2,M,2.0,0.54,0.26,0.47721415515386073
28,0,49,2,M,3.0,0.86,0.0,0.45024211990266655
29,0,49,2,M,4.0,0.46,0.48,0.1320587797766385
30,0,49,2,M,5.0,0.22,0.54,0.20952133989195837
31,0,49,2,M,6.0,1.0,1.0,0.23428013960554583
32,0,49,2,M,7.0,0.12,0.12,0.9335064386435601
33,0,50,2,M,0.0,0.62,1.0,-0.04494004705229554
34,0,50,2,M,1.0,0.38,0.12,0.9070811239596689
35,0,50,2,M,2.0,0.6,0.0,0.3884436311263739
36,0,50,2,M,3.0,1.0,0.0,0.0639344729256672
37,0,50,2,M,4.0,0.64,0.64,0.04736989174370598
38,0,50,2,M,5.0,0.0,0.36,0.23549835189555962
39,0,50,2,M,6.0,0.86,1.0,-0.10084119292792341
40,0,50,2,M,7.0,0.16,0.0,0.8302061733429543
41,0,51,2,M,0.0,0.64,0.88,0.21289009072194343
42,0,51,2,M,2.0,0.64,0.12,0.5954531774893084
43,0,51,2,M,3.0,1.0,0.14,0.26567901356615686
44,0,51,2,M,4.0,0.52,0.7000000000000001,-0.03496815944064423
45,0,51,2,M,5.0,0.12,0.38,0.4240293517672283
46,0,51,2,M,6.0,0.84,0.84,-0.031244650822900254
47,0,51,2,M,7.0,0.0,0.0,0.4254544448545363
48,0,52,2,M,0.0,0.38,0.88,0.21735687738319415
49,0,52,2,M,3.0,0.84,0.16,0.6406774523454793
50,0,52,2,M,4.0,0.36,0.64,-0.04698501427935306
51,0,52,2,M,6.0,1.0,0.4,-0.06449226315912943
52,0,52,2,M,7.0,0.0,0.16,0.5462354109871193
53,0,53,2,M,0.0,0.12,0.64,0.3014524140815961
54,0,53,2,M,4.0,0.36,0.36,0.19558944147104373
55,0,53,2,M,6.0,0.88,0.36,0.4143341311649996
56,0,53,2,M,7.0,0.24,0.24,0.8365826487392876
57,0,54,2,M,0.0,0.0,0.6,0.21000626077593015
58,0,54,2,M,6.0,0.64,0.36,0.08408721277533848
59,0,55,2,M,0.0,0.16,0.84,0.27958486857688525
60,0,55,2,M,6.0,0.68,0.5,0.01469252958225066
61,0,56,2,M,0.0,0.0,0.86,0.21177189836653515
62,0,56,2,M,6.0,0.88,0.62,0.06490660370575618
63,0,57,2,M,0.0,0.0,1.0,0.35901834920709114
64,0,57,2,M,6.0,1.0,0.64,-0.042363277707472446
65,0,58,2,M,0.0,0.14,1.0,0.27919391022683093
66,0,58,2,M,6.0,1.0,0.86,-0.050557824962618986
