X,Y,f_L_train
0.06,0.78,0.4413688973699652
0.78,0.92,0.3294037753938737
0.76,0.7000000000000001,0.7171333302925065
0.66,0.42,0.700905146118378
0.8200000000000001,0.28,0.7253305091536807
0.58,0.38,1.0260037790104797
0.9,0.4,0.6639649831184458
0.02,0.92,0.3389772486653546
0.48,1.0,0.3851824720854631
0.24,0.28,1.0816811763054128
0.64,0.48,0.6712519075649855
0.9400000000000001,0.52,0.7236199993152818
0.8200000000000001,0.84,0.4425950985994922
0.46,0.9400000000000001,0.3969126343202215
0.06,0.56,0.9265877718415997
0.58,0.08,0.9468515994283794
0.14,0.18,0.9316149599650959
0.96,0.78,0.3817859544279146
0.22,0.36,0.9798736274099316
0.76,0.52,0.832195019449396
0.2,0.7000000000000001,0.7655497151794458
0.48,0.16,1.0045102114720796
0.14,0.34,0.8560293459272337
0.5,0.66,0.7409355512043916
0.86,0.48,0.6738832931295078
0.56,0.56,0.7774057216151254
0.9,0.46,0.5839313048082941
0.26,0.38,1.034895139442431
0.22,0.54,0.9216084879790395
0.44,0.0,0.856531060290153
0.4,0.62,0.8434296650699884
0.88,0.14,0.7398069615278429
1.0,0.98,0.07721075675694135
0.44,0.7000000000000001,0.7180063095307586
0.38,0.8200000000000001,0.5788242245833589
0.24,0.8200000000000001,0.5665466011559193
0.56,0.34,0.8827808731604092
0.62,0.48,0.819697529427789
0.72,0.64,0.7672267649363287
0.8200000000000001,0.4,0.748419401931326
0.58,0.26,0.8317714786976863
0.32,0.22,1.1670365958397264
0.18,0.76,0.5970324842676585
0.08,0.44,0.8969106534128582
0.88,0.8,0.3401056765883049
0.36,0.04,0.9219533342971072
0.54,0.9400000000000001,0.2669310046116162
0.3,0.92,0.3798302725833302
0.8200000000000001,1.0,0.11625563836001729
0.4,0.86,0.436279595418017
0.74,0.8,0.42130799033792043
0.06,0.84,0.5256439890307667
0.1,0.12,0.9342558972878658
0.84,0.56,0.5668035029266665
0.04,0.8200000000000001,0.5169100776858405
0.66,0.3,0.8942274608894223
0.56,0.12,0.8635023414257965
0.22,0.56,0.7091880497207658
0.36,0.84,0.5289422974985143
0.2,0.58,0.7396860819718893
0.88,0.04,0.6750939798018547
0.8200000000000001,0.54,0.6137120204958277
0.5,0.1,1.0172314492989054
0.4,0.88,0.34153394103893886
0.54,0.08,0.8784152199804252
0.12,0.14,0.939500990292948
0.32,0.76,0.4850628157022173
0.92,0.38,0.803170341728099
0.32,0.58,0.7890187289147328
0.18,0.58,1.0000578611547413
0.3,0.46,0.944939036352204
0.7000000000000001,0.86,0.4579138109051664
0.76,0.3,0.9025076845801897
0.8,0.8,0.34564023642151853
0.9,0.16,0.7558111274930213
0.22,0.28,1.1186951410996488
0.28,0.14,0.7443221743145506
0.44,0.28,0.8626251049645983
0.6,0.5,0.5777012373511962
0.34,0.12,0.9376701865175262
0.66,0.9400000000000001,0.2372795735057438
0.76,0.92,0.3238084678314754
0.8,1.0,0.14136595200168495
0.14,0.8,0.5566169854783871
0.36,0.04,0.8102646088117356
0.38,0.08,1.1568564252889169
0.52,0.24,0.998404072044485
0.52,0.64,0.8327692631605385
0.92,0.98,0.2529413110079868
0.88,0.74,0.348944300224828
0.2,0.34,1.0390085722453823
0.54,0.56,0.7074937111558711
0.08,0.44,0.8001427392509554
0.26,0.0,0.9191257139017824
0.9,0.78,0.29303629227499245
0.66,0.68,0.7288014405276194
0.52,0.52,1.0692329739516546
0.1,0.74,0.6081708482416155
0.48,0.28,1.1569054165849648
0.56,0.56,0.7126421083152865
0.3,0.24,1.0628746472231643
0.08,0.5,0.9457303163768515
0.24,0.02,0.7848973269003261
0.48,0.9400000000000001,0.38714943997093004
0.42,0.74,0.6027302037656976
0.06,0.08,0.8718758002340041
0.14,0.9,0.4608886706076465
0.66,0.74,0.734881942627768
0.0,0.54,0.6561638218975708
0.04,0.02,0.7873259999938252
0.72,0.2,0.825795700660854
0.64,0.42,0.9354884003246586
0.62,0.8,0.5077551765264557
0.3,0.1,0.8964022904437816
0.44,0.74,0.6825249939227473
0.76,0.88,0.19007656714810967
0.18,0.22,1.0079385700818053
1.0,0.54,0.5344224791478385
0.7000000000000001,0.84,0.3608959263677672
0.66,0.2,0.8966866038636003
0.98,0.74,0.006316449164464333
0.14,0.76,0.662580602669885
0.5,0.92,0.45105121091784295
0.38,0.28,0.8581302742021155
0.18,0.04,0.9168748443248209
0.42,0.34,1.0336536424631535
0.52,0.16,0.9883982202558764
0.28,0.28,1.0255740823627342
0.92,0.72,0.35826346845808044
0.5,0.32,1.0643230594115098
0.12,0.1,0.7441420129981268
0.62,0.08,0.7881880244927559
0.38,0.06,0.9547973481169061
0.96,0.98,0.0805293744210258
0.56,0.88,0.5004690435475777
0.6,0.54,0.8990775940302942
0.6,0.14,1.077405326559311
0.7000000000000001,0.44,0.8903543864958992
0.44,0.72,0.6283719879305577
0.4,0.74,0.6940842728754946
0.5,0.8,0.5313971451908678
0.24,0.36,1.0922959681309872
0.88,0.8,0.42257594717760405
0.7000000000000001,0.08,0.9708427824424237
0.54,0.56,0.8258534205158655
0.86,0.06,0.955016196882225
0.44,0.92,0.5511512689698145
0.26,1.0,0.2810897485273245
0.3,0.3,1.0501735441657118
0.48,0.42,0.7838026608175729
0.56,1.0,0.3936606811278932
0.8200000000000001,0.88,0.2195677789476621
0.34,0.46,0.9072884063292511
0.28,0.88,0.625773521240885
0.72,0.54,0.639739518985291
0.84,0.36,0.6163692936324193
0.6,0.78,0.566698595286081
0.9,0.22,0.7311942271996531
0.78,0.52,0.6503210872109637
0.0,0.56,0.7083035483827183
0.62,0.12,1.1215318532117382
0.04,0.74,0.7429229989281526
0.5,0.84,0.3996871191336898
0.06,0.2,0.7529408408450695
0.64,0.3,1.0537254366464819
0.38,0.04,0.9936741499302139
0.54,0.48,0.8538213666873274
0.1,0.98,0.2763950331995636
0.98,0.72,0.2918081450835015
0.98,0.26,0.7719351144835997
0.28,0.78,0.7326212834593098
0.64,0.9400000000000001,0.3054983076095331
0.92,0.08,0.6544113999591448
0.84,0.8,0.35474853316042254
0.68,0.62,0.8793977494177843
0.18,0.98,0.21238661113297086
0.12,0.44,1.0608315626131346
0.18,0.0,0.8270560504463945
0.36,0.7000000000000001,0.9079973631636538
0.9400000000000001,0.6,0.5324111164711126
0.6,0.8200000000000001,0.49956857252270637
0.16,0.32,0.9266570950962679
0.22,0.24,0.9942705064038331
0.3,0.32,0.9536030720297548
0.24,0.1,0.8620736309912067
0.22,0.9,0.43871048662838963
0.8,0.52,0.6434160379611854
0.0,0.8,0.7025789693334037
0.96,0.62,0.364645238917309
0.38,0.04,0.9794956376956719
0.16,0.9400000000000001,0.27751351920469036
0.38,0.58,0.9126499492431164
0.46,0.68,0.7390439824167843
