,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.74,0.74,-0.30155489695818194
1,0,1,0,S,1.0,0.2,0.64,-0.6476048797156104
2,0,1,0,S,2.0,0.26,0.74,-0.09834700095734869
3,0,1,0,S,3.0,0.26,0.26,1.3191870737578504
4,0,1,0,S,4.0,0.12,0.28,0.2703956467756332
5,0,1,0,S,5.0,0.24,0.26,1.4387439165792557
6,0,1,0,S,6.0,0.76,0.26,0.2307591340545726
7,0,1,0,S,7.0,0.8,0.84,0.7027020217331592
8,0,2,0,S,0.0,1.0,0.66,0.5900540884164411
9,0,2,0,S,1.0,0.0,0.8,-0.32905852301447147
10,0,2,0,S,2.0,0.26,1.0,1.2949788271993048
11,0,2,0,S,3.0,0.62,0.0,-0.04181862733851077
12,0,2,0,S,4.0,0.14,0.0,0.8838448117489417
13,0,2,0,S,5.0,0.52,0.42,-0.09251015311917629
14,0,2,0,S,6.0,0.74,0.0,0.16791031860853017
15,0,2,0,S,7.0,1.0,0.7000000000000001,0.010037341195871264
16,0,3,0,S,0.0,1.0,0.42,0.3754434060758821
17,0,3,0,S,1.0,0.0,0.44,0.5034740954032431
18,0,3,0,S,2.0,0.54,1.0,-0.41817653410423544
19,0,3,0,S,3.0,0.34,0.0,0.9172138725008014
20,0,3,0,S,4.0,0.0,0.28,-0.21122516039010447
21,0,3,0,S,5.0,0.48,0.64,0.5898913963145084
22,0,3,0,S,6.0,1.0,0.24,0.4674506660428484
23,0,3,0,S,7.0,0.7000000000000001,1.0,0.08151503816819324
24,0,4,0,S,0.0,0.74,0.46,-0.7793650558900173
25,0,4,0,S,1.0,0.0,0.94,-0.8224634897086998
26,0,4,0,S,2.0,0.0,1.0,-0.5643460436934387
27,0,4,0,S,3.0,0.62,0.28,-0.5832282930596157
28,0,4,0,S,4.0,0.0,0.0,0.5510447196565054
29,0,4,0,S,5.0,0.56,0.36,0.8020696572856685
30,0,4,0,S,6.0,1.0,0.0,0.3975652783837268
31,0,4,0,S,7.0,1.0,1.0,-0.2530763497683189
32,0,5,0,S,0.0,0.56,0.72,0.37704701537959756
33,0,5,0,S,1.0,0.0,0.66,-0.22436481276698447
34,0,5,0,S,2.0,0.3,1.0,0.22584853416057146
35,0,5,0,S,3.0,0.34,0.0,1.3873147703508242
36,0,5,0,S,4.0,0.26,0.0,0.5015712303252258
37,0,5,0,S,5.0,0.26,0.54,0.6864993332970173
38,0,5,0,S,6.0,1.0,0.0,0.6067212196177612
39,0,5,0,S,7.0,1.0,1.0,-0.6350974248567147
40,0,11,0,S,0.0,1.0,0.34,-0.21265747890989745
41,0,11,0,S,1.0,0.0,0.3,0.6671597690354079
42,0,11,0,S,2.0,0.38,0.8200000000000001,0.3160281532387154
43,0,11,0,S,3.0,0.64,0.0,-0.03523610526414006
44,0,11,0,S,4.0,0.0,0.0,1.5390000112374438
45,0,11,0,S,5.0,0.4,0.28,0.07900014204474437
46,0,11,0,S,6.0,1.0,0.26,0.603321062716426
47,0,11,0,S,7.0,0.74,1.0,0.7762158297199051
48,0,12,0,S,0.0,0.76,0.6,-0.10453360713978
49,0,12,0,S,1.0,0.0,0.7000000000000001,0.4837193446802289
50,0,12,0,S,2.0,0.22,1.0,0.11921542652127201
51,0,12,0,S,3.0,0.64,0.18,-0.3464486716427556
52,0,12,0,S,4.0,0.0,0.0,0.0317810521795191
53,0,12,0,S,5.0,0.62,0.58,0.4465823331171214
54,0,12,0,S,6.0,0.8200000000000001,0.0,0.30775432110355216
55,0,12,0,S,7.0,0.76,0.64,-0.18470069692443253
56,0,13,0,S,0.0,1.0,0.7000000000000001,0.34115484908725124
57,0,13,0,S,1.0,0.28,0.5,1.3517236123015723
58,0,13,0,S,2.0,0.0,1.0,0.21907216451554698
59,0,13,0,S,3.0,0.46,0.0,0.6415221477856942
60,0,13,0,S,4.0,0.0,0.24,0.024749987478372037
61,0,13,0,S,5.0,0.3,0.5,-0.41496109403487086
62,0,13,0,S,6.0,1.0,0.0,0.1727713608415553
63,0,13,0,S,7.0,1.0,0.78,0.29660542203496404
64,0,14,0,S,0.0,0.8,0.32,0.7019084965263576
65,0,14,0,S,1.0,0.0,0.6,-0.7683485454260972
66,0,14,0,S,2.0,0.54,1.0,-0.1567043356085965
67,0,14,0,S,3.0,0.42,0.22,0.864372739437465
68,0,14,0,S,4.0,0.24,0.0,1.4231806550834551
69,0,14,0,S,5.0,0.4,0.3,0.23819354974432366
70,0,14,0,S,6.0,0.8,0.28,0.05241883290782301
71,0,14,0,S,7.0,1.0,1.0,0.4383282299683211
72,0,15,0,S,0.0,1.0,0.5,-0.2095458291786592
73,0,15,0,S,1.0,0.0,0.78,-0.018106308081645706
74,0,15,0,S,2.0,0.42,0.78,-0.1886999899506125
75,0,15,0,S,3.0,0.64,0.0,0.4401841304116032
76,0,15,0,S,4.0,0.0,0.0,-0.5826226381124633
77,0,15,0,S,5.0,0.52,0.66,-0.6657560492090708
78,0,15,0,S,6.0,1.0,0.0,-0.29335195872792325
79,0,15,0,S,7.0,0.76,1.0,-0.7312255913764968
80,0,21,0,S,0.0,1.0,0.3,0.34478304416447964
81,0,21,0,S,1.0,0.0,0.44,0.4534518972909442
82,0,21,0,S,2.0,0.28,1.0,-0.4881641225948383
83,0,21,0,S,3.0,0.44,0.0,0.0806662675304789
84,0,21,0,S,4.0,0.0,0.26,0.27999514957103977
85,0,21,0,S,5.0,0.28,0.62,-0.7115467935958562
86,0,21,0,S,6.0,1.0,0.22,-0.3691212037682712
87,0,21,0,S,7.0,1.0,1.0,-0.42961041104010445
88,0,22,0,S,0.0,1.0,0.66,0.26618405676292034
89,0,22,0,S,1.0,0.0,0.74,0.7438411236966929
90,0,22,0,S,2.0,0.0,1.0,0.2951395694297543
91,0,22,0,S,3.0,0.62,0.22,0.5484468128991888
