X,Y,f_H_train
0.14,0.44,0.5203824230700358
0.4,0.74,0.011811581945906008
0.12,0.8200000000000001,-0.15094356949445284
0.6,0.98,-0.3090819346914016
0.46,0.62,0.15159241796449552
0.62,0.26,0.14602305847316577
0.1,0.38,0.28299578052513963
0.12,0.42,-0.12531614147708703
0.22,0.78,0.05372397031549525
0.9,0.9,0.8047146577816269
0.84,0.96,0.20161778172924216
0.08,0.52,-0.48455114242231917
0.2,0.36,1.135454373652716
0.8,0.4,0.6858771993910222
0.58,0.68,0.1791338637107953
0.22,0.04,0.9782509359924678
0.26,0.54,-0.47504986452916215
0.08,0.92,1.1359151238723135
0.24,0.66,0.4084814210520934
0.2,0.92,-0.3402589235489768
0.4,0.98,0.5542571335078775
0.54,0.26,1.0102929533256981
0.8,0.22,0.1294307637736244
0.56,0.32,0.6325492968502129
0.6,0.66,-0.31776337848051756
0.92,0.26,0.9261462486698562
0.64,0.34,0.5393793839783987
0.3,0.28,0.32216871491494997
0.36,1.0,0.6390128792551607
0.62,0.66,1.0267081027514358
0.46,0.4,0.20912817575754067
0.68,0.46,0.6604536614113088
0.34,0.5,0.07923625247840273
0.28,0.9400000000000001,0.3027775651381119
0.88,0.84,-0.44625608465122124
0.7000000000000001,0.96,0.05878007268498518
0.1,0.68,-0.06732225048807022
0.04,0.54,0.053185831023755265
0.32,0.16,1.4012689236635616
0.6,0.8,0.41084370941069204
0.86,0.24,0.8363377892627637
0.86,0.9,-0.04807212289965066
0.42,0.24,0.850160806048436
0.44,0.24,0.5052612372740779
0.56,0.98,0.8139497723905643
0.86,0.8200000000000001,-0.30952482919240076
0.54,0.86,-0.34842526004499536
0.28,0.14,0.38748177603389145
0.78,0.58,0.4799164793496769
0.34,0.9400000000000001,0.5869197888323352
0.08,0.7000000000000001,-0.462775974569884
0.0,0.98,-0.38026913373087556
0.18,0.34,0.469991593215777
0.48,0.76,0.7272443863492721
0.0,0.02,0.4876669131241859
0.12,0.74,0.3461169360711405
0.0,0.76,0.16228463903057966
0.72,0.62,0.36924857836403013
0.9400000000000001,0.72,-0.24941543429391255
0.42,0.54,0.35753265861345296
0.4,0.62,0.4401970478857925
0.56,0.84,-0.1915403845252583
0.44,0.64,-0.723741633123889
0.68,0.8,0.3778958520468249
0.9400000000000001,0.38,0.40302099900751764
0.48,0.18,0.4688582500111407
0.06,0.96,0.5401105988764111
0.84,0.32,0.38811319057645305
0.8200000000000001,0.48,0.31427842338321244
0.22,0.54,-0.06750519137945166
0.3,0.78,0.30850587896336124
0.78,0.28,0.5601880790084176
0.52,0.78,0.6958074581640298
0.62,0.9400000000000001,0.30146768401529445
0.24,0.08,1.2722333848862166
0.58,0.72,1.152662911117496
0.06,0.64,1.2693752961395715
0.08,0.16,0.8982931907496952
0.6,1.0,-0.3474448901428749
0.98,0.12,2.314462205402335
0.56,0.34,0.8046149647991325
0.98,0.2,0.17722255827604427
0.76,0.96,0.5134307629597346
0.1,0.62,-0.09295071049709344
0.08,0.12,0.2635766351178493
0.18,0.06,1.009720643528004
0.96,0.22,0.11561351073409065
0.9400000000000001,0.84,-0.2997487610037489
0.28,0.64,0.7577283453207218
0.48,0.16,0.9437357076720454
0.2,0.2,1.999091051868597
0.84,0.64,0.7371108372062625
0.3,0.26,0.5175747549944567
0.74,0.78,0.08338696016280173
0.3,0.66,-0.49739002619290534
0.32,0.88,0.4973843344988159
0.78,0.02,0.5680065206099496
0.56,0.6,-0.5264143259347666
0.52,0.68,0.3944928500594775
0.4,0.14,0.6110713841399292
0.24,0.54,-0.36170997617383227
0.68,0.4,-0.20455029178432776
0.64,0.16,0.4015221596026426
0.02,0.78,-0.5024667779149649
0.52,0.04,1.6217451637443094
0.42,0.92,-0.29381529737107287
0.12,0.22,1.204363893160318
0.2,0.18,1.331637019512408
0.0,0.0,1.0982744898333674
0.78,0.98,0.3779880030565142
0.64,0.12,0.6822493444242893
0.54,0.38,0.20793799376279307
0.0,0.8,-0.30320121479714474
0.46,0.58,1.654339360245089
0.28,0.84,-0.47837555821361644
0.4,0.72,1.1013445401559947
0.42,0.98,-0.032129313494650785
0.22,0.32,0.4151911168891678
0.62,0.8,0.3281007299721925
0.48,1.0,-0.0005399666014060667
0.08,0.16,1.0540736802256532
0.38,0.56,-0.3887400082161986
0.5,0.48,0.2905219139852196
0.6,0.46,0.33770294108364485
0.42,0.1,1.1077861562294071
0.92,0.12,0.5538033225788948
0.4,0.9,-0.0030681547731135766
0.52,0.44,0.181004880636581
0.96,0.48,0.23457792170237918
0.66,0.62,1.3106948646599814
0.88,0.8,0.31645239597954644
0.74,0.78,-0.007092513469823135
0.68,0.28,0.8459870648906018
0.1,0.0,1.5000462035252937
0.06,0.98,0.6389952057335537
0.5,0.56,-0.6360023488515694
0.64,0.24,0.6537107650084131
0.16,0.66,0.23189950284731226
0.28,0.3,0.4272543306267941
0.24,0.14,0.3699505787999412
0.02,0.42,0.5485227693348705
0.92,0.3,0.4708180552637056
0.42,0.92,-0.34744876107243455
0.66,0.92,0.12242829355763643
0.44,0.6,-0.624769014839481
0.98,0.58,-0.0011353232658384386
0.8,0.16,0.4000250014481819
0.8200000000000001,0.78,0.3505120302357067
0.22,0.12,0.04924277828624091
0.74,0.9400000000000001,0.4281715616011623
0.06,0.56,0.48924175233022604
0.92,0.32,-0.3066918473028686
0.92,0.9,-0.4181863318380431
0.5,0.54,-0.4885158529070355
0.68,0.72,0.30270166184995434
0.1,0.04,0.9760831921738402
0.12,0.84,0.22479840008091836
0.34,0.8,-0.28872182207655517
0.9400000000000001,0.62,-1.0259014030133455
0.72,0.72,-0.3244983500152645
0.34,0.9400000000000001,0.7511063794050191
0.16,0.4,0.1804502645200255
0.02,0.96,-0.14557073177317703
0.96,0.52,0.8627901424411369
0.66,0.5,-0.7916358535300335
0.92,0.28,0.5421863538634523
0.36,0.76,-0.2803555233839687
0.22,0.3,1.062455595004672
0.68,0.56,0.3851740939843635
0.9400000000000001,0.1,0.3702352011159463
0.36,0.58,0.07395409970291203
0.18,0.76,0.43781898036509825
0.4,0.8200000000000001,0.24511929839642177
0.96,0.22,-0.1317786557863625
0.4,0.72,-0.5937359467542003
0.68,0.96,0.43791344695653833
0.36,0.04,0.5913085961835978
0.28,0.44,-0.08854460962238109
0.4,0.12,0.8891790127689422
0.74,0.16,-0.026557056199358997
0.66,0.9,-0.2408118551528055
0.02,0.5,1.242974454687337
0.14,0.68,0.31746622353370785
0.02,0.74,1.4191112569823994
0.52,0.26,0.32528189013218456
0.5,0.36,0.846000992655837
0.28,0.66,-0.6344140707432541
0.12,0.9400000000000001,-0.0760503318328681
0.9400000000000001,0.28,0.2418008864876302
0.8200000000000001,0.3,-0.3693486527171217
0.9,0.76,-0.19255626273261434
0.44,0.84,0.4855129104240238
0.48,0.04,0.4876083787570876
0.28,0.98,-0.37646642121633356
0.78,1.0,-1.1637234783616037
0.0,0.5,0.5111833430214298
0.32,0.72,-0.21263450386337596
0.32,0.46,0.046500136396598196
0.36,0.9400000000000001,0.1038144467299317
0.5,0.28,0.14840086332040678
0.4,0.22,-0.5324429572216203
0.96,0.38,-0.12115138902250919
0.72,0.18,0.12930971800893626
0.78,0.8,-0.11429988706929604
0.06,0.88,-0.006801289514138914
