,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,9,1,M,0.0,0.16,0.0,0.2469833794208629
1,0,9,1,M,1.0,0.5,0.32,0.052370398225381976
2,0,9,1,M,2.0,1.0,0.48,-0.1824039608658009
3,0,9,1,M,3.0,0.66,0.5,-0.017472633655011845
4,0,9,1,M,4.0,0.0,0.68,-0.06640959047554529
5,0,9,1,M,5.0,0.34,0.5,-0.1726110510941773
6,0,9,1,M,6.0,0.32,0.68,0.04214691233203591
7,0,9,1,M,7.0,0.8200000000000001,0.0,0.029818796986502034
8,0,10,1,M,0.0,0.16,0.16,0.5730095354292164
9,0,10,1,M,1.0,0.5,0.16,-0.060789953700344054
10,0,10,1,M,2.0,1.0,0.66,0.05100521654240308
11,0,10,1,M,3.0,0.5,0.5,-0.08829248048299893
12,0,10,1,M,4.0,0.0,0.84,0.04544753414743795
13,0,10,1,M,5.0,0.16,0.5,0.2845452847971802
14,0,10,1,M,6.0,0.34,1.0,0.0041720263349564815
15,0,10,1,M,7.0,0.66,0.0,0.058291542563363746
16,0,11,1,M,0.0,0.0,0.34,-0.07041002245331919
17,0,11,1,M,1.0,0.48,0.0,0.327699576040061
18,0,11,1,M,2.0,1.0,0.8200000000000001,0.0027842058174478105
19,0,11,1,M,3.0,0.68,0.32,0.009072698791325634
20,0,11,1,M,4.0,0.0,1.0,0.26877983671397493
21,0,11,1,M,5.0,0.32,0.32,0.0009475671951664905
22,0,11,1,M,6.0,0.52,1.0,0.3882210336249904
23,0,11,1,M,7.0,0.84,0.16,0.5479956145687399
24,0,12,1,M,0.0,0.0,0.18,-0.0127248127134158
25,0,12,1,M,1.0,0.32,0.0,0.3107837267051047
26,0,12,1,M,2.0,1.0,1.0,0.24816369712011335
27,0,12,1,M,4.0,0.18,1.0,0.14149276900576366
28,0,12,1,M,6.0,0.68,1.0,0.07376941071520049
29,0,12,1,M,7.0,1.0,0.32,0.09180569283297596
30,0,13,1,M,0.0,0.0,0.0,0.042318300286212494
31,0,13,1,M,2.0,0.84,1.0,-0.00523384794574043
32,0,13,1,M,4.0,0.16,0.84,0.012558898973955734
33,0,13,1,M,6.0,0.5,0.84,0.06509564821434634
34,0,13,1,M,7.0,1.0,0.16,0.32633092167493627
35,0,14,1,M,2.0,0.84,0.84,0.18260435118537222
36,0,14,1,M,4.0,0.0,0.52,0.16328125648616432
