,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,2,0,S,10.0,0.9,0.1,0.30936151462911393
1,0,3,0,S,5.0,0.3,0.7000000000000001,0.025775162758635575
2,0,4,0,S,13.0,0.7000000000000001,0.7000000000000001,0.2228160121323711
3,0,5,0,S,0.0,0.5,0.1,0.21916522533686664
4,0,7,0,S,7.0,0.5,0.9,0.1373411915693812
5,0,8,0,S,4.0,0.9,0.5,-0.01832702263271607
6,0,9,0,S,2.0,0.3,0.3,0.23247662420492382
7,0,9,0,S,5.0,0.3,0.5,0.07345303939646872
8,0,10,0,S,8.0,0.1,0.3,0.09210737012990655
9,0,11,0,S,1.0,0.1,0.9,0.21766930252798647
10,0,11,0,S,9.0,0.3,0.9,0.25014945493931284
11,0,11,0,S,14.0,0.3,0.1,0.5864064242492687
12,0,16,0,S,7.0,0.5,0.7000000000000001,0.00711611735607134
13,0,16,0,S,11.0,0.7000000000000001,0.9,-0.07726191329733757
14,0,17,0,S,10.0,0.9,0.28,0.4240875108576482
15,0,18,0,S,15.0,0.1,0.1,0.3733773984287101
16,0,19,0,S,4.0,0.74,0.44,0.055232570160912105
17,0,20,0,S,5.0,0.48,0.5,0.01502894845140764
18,0,21,0,S,3.0,0.7000000000000001,0.28,-0.1262331247529599
19,0,21,0,S,15.0,0.0,0.1,0.20479804362664358
20,0,22,0,S,4.0,1.0,0.32,0.04369689179799287
21,0,23,0,S,3.0,0.56,0.3,-0.1338416460770598
22,0,26,0,S,12.0,0.9,0.7000000000000001,0.11055688106961563
23,0,27,0,S,8.0,0.1,0.46,0.205564539990418
24,0,27,0,S,10.0,0.74,0.1,0.3783331241621895
25,0,28,0,S,12.0,1.0,0.7000000000000001,0.07685097811385642
26,0,31,0,S,0.0,0.68,0.0,-0.013174541690335544
27,0,32,0,S,9.0,0.3,1.0,0.12413450318789254
28,0,32,0,S,14.0,0.3,0.0,0.2988550089401981
29,0,33,0,S,2.0,0.46,0.3,0.012370412683694144
30,0,33,0,S,9.0,0.2,0.74,0.0894273147416563
31,0,35,0,S,4.0,1.0,0.48,-0.0637013119000795
