,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.9,0.3,0.40618367861466087
1,0,1,0,S,1.0,0.1,0.5,0.21462694516672123
2,0,1,0,S,2.0,0.9,0.1,0.3877394587728004
3,0,1,0,S,3.0,0.1,0.3,0.14919175712014926
4,0,1,0,S,4.0,0.7000000000000001,0.5,-0.037947943519574916
5,0,1,0,S,5.0,0.7000000000000001,0.9,0.09469617730032903
6,0,1,0,S,6.0,0.5,0.3,0.045517065245799855
7,0,1,0,S,8.0,0.7000000000000001,0.1,0.2461375134644024
8,0,1,0,S,9.0,0.1,0.9,0.03845205950040266
9,0,1,0,S,10.0,0.7000000000000001,0.3,0.14733651774963605
10,0,1,0,S,11.0,0.3,0.1,0.5513256951168558
11,0,1,0,S,12.0,0.3,0.5,0.03473442686791972
12,0,1,0,S,14.0,0.3,0.3,0.0011970148048521256
13,0,2,0,S,0.0,0.9,0.5,-0.09409723147228358
14,0,2,0,S,4.0,0.9,0.7000000000000001,-0.06407261649821498
15,0,2,0,S,5.0,0.5,0.9,0.11737456229093852
16,0,2,0,S,6.0,0.5,0.1,0.0070250190945667645
17,0,2,0,S,9.0,0.1,0.7000000000000001,0.2024826651976328
18,0,2,0,S,11.0,0.1,0.1,0.4759250886722797
19,0,2,0,S,12.0,0.5,0.7000000000000001,-0.03358106968444644
20,0,3,0,S,4.0,0.7000000000000001,0.7000000000000001,-0.031739414456366286
21,0,3,0,S,5.0,0.9,0.9,-0.0036219379171969096
22,0,3,0,S,9.0,0.3,0.7000000000000001,-0.12563250711521046
23,0,3,0,S,12.0,0.5,0.5,0.028650469535112702
24,0,4,0,S,9.0,0.3,0.9,0.16168831763788688
25,0,9,1,S,0.0,0.8,0.5,0.006263917035824061
26,0,9,1,S,1.0,0.2,0.5,0.294274639371056
27,0,9,1,S,2.0,1.0,0.3,-0.12730066829827777
28,0,9,1,S,3.0,0.2,0.3,0.20482264947641632
29,0,9,1,S,4.0,1.0,0.88,0.06003244611577008
30,0,9,1,S,5.0,0.7000000000000001,1.0,0.1600015173982675
31,0,9,1,S,7.0,0.8,0.3,0.46685008164638075
32,0,9,1,S,8.0,0.7000000000000001,0.0,-0.02873706119199074
33,0,9,1,S,9.0,0.0,0.9,-0.018166607703158477
34,0,9,1,S,10.0,0.6,0.5,-0.07776549235064004
35,0,9,1,S,11.0,0.12,0.0,0.1445526914938629
36,0,9,1,S,12.0,0.4,0.7000000000000001,-0.1835948821623261
37,0,9,1,S,13.0,0.88,0.0,0.13842723066100393
38,0,9,1,S,14.0,0.4,0.3,-0.06688689054499755
39,0,9,1,S,15.0,0.3,0.0,0.09182106990692954
40,0,10,1,S,0.0,1.0,0.5,-0.20325139270277975
41,0,10,1,S,1.0,0.0,0.7000000000000001,0.08022384699938759
42,0,10,1,S,3.0,0.0,0.3,-0.00045727593116798304
43,0,10,1,S,4.0,0.9,1.0,0.09503644584273006
44,0,10,1,S,5.0,0.5,1.0,-0.049494223647262824
45,0,10,1,S,8.0,0.5,0.0,0.24547549682616066
46,0,10,1,S,9.0,0.12,1.0,0.2644346001661553
47,0,10,1,S,10.0,0.6,0.3,0.07518717465552524
48,0,10,1,S,11.0,0.0,0.1,0.1821508160585969
49,0,10,1,S,12.0,0.6,0.7000000000000001,0.04860234481929982
50,0,10,1,S,13.0,1.0,0.1,0.1293702567913417
51,0,11,1,S,1.0,0.0,0.5,-0.006653018789267745
52,0,11,1,S,4.0,0.8,0.7000000000000001,-0.011588956933017385
53,0,11,1,S,9.0,0.3,1.0,0.18092646636577922
54,0,11,1,S,12.0,0.4,0.5,0.14159134412661473
55,0,12,1,S,4.0,1.0,0.7000000000000001,-0.04037476302952262
56,0,12,1,S,9.0,0.2,0.7000000000000001,0.05026407230216161
57,0,25,2,S,0.0,1.0,0.66,0.030626962526292562
58,0,25,2,S,1.0,0.0,0.66,0.10340852440737701
59,0,25,2,S,2.0,1.0,0.46,-0.08197862091556647
60,0,25,2,S,3.0,0.0,0.34,-0.021784448643982438
61,0,25,2,S,4.0,0.7000000000000001,0.8,0.025155074712660045
62,0,25,2,S,5.0,0.6,1.0,-0.16236447389735087
63,0,25,2,S,6.0,0.5,0.22,-0.15170186822483592
64,0,25,2,S,7.0,0.7000000000000001,0.26,0.14549728147404928
65,0,25,2,S,8.0,0.6,0.0,0.19473485270513602
66,0,25,2,S,9.0,0.0,0.78,-0.01351392072816402
67,0,25,2,S,10.0,0.7000000000000001,0.4,-0.017990676532345623
68,0,25,2,S,11.0,0.0,0.0,0.08315238629310633
69,0,25,2,S,12.0,0.5,0.6,0.0189092819148895
