,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.54,0.66,-0.1325406414862414
1,0,1,0,S,1.0,0.0,0.2,0.15644164293869492
2,0,1,0,S,2.0,0.4,0.2,0.18093053545568513
3,0,1,0,S,3.0,0.88,0.48,-0.01139863962886597
4,0,1,0,S,4.0,0.16,0.0,0.2740455300036837
5,0,1,0,S,5.0,0.48,0.42,-0.07814646672849054
6,0,1,0,S,6.0,0.0,0.54,0.049595600033747536
7,0,1,0,S,7.0,1.0,0.18,0.2271023853166305
8,0,1,0,S,8.0,0.0,0.76,0.01436101524927349
9,0,1,0,S,9.0,0.0,1.0,0.049200268733631106
10,0,1,0,S,10.0,1.0,0.64,0.15644440545415592
11,0,1,0,S,11.0,0.86,0.06,0.20331478609029785
12,0,1,0,S,12.0,0.7000000000000001,0.68,0.18384296015266008
13,0,1,0,S,13.0,0.72,0.34,0.05293867998822187
14,0,1,0,S,14.0,0.18,0.88,0.0860560763899867
15,0,1,0,S,15.0,0.28,0.68,0.22151684282773337
16,0,2,0,S,0.0,0.54,0.78,-0.2690794514636532
17,0,2,0,S,1.0,0.0,0.3,-0.03668664163393609
18,0,2,0,S,2.0,0.56,0.32,0.015534374047146887
19,0,2,0,S,3.0,1.0,0.46,0.011337625022048273
20,0,2,0,S,4.0,0.38,0.0,0.1511423764034188
21,0,2,0,S,5.0,0.54,0.54,-0.15276835251767448
22,0,2,0,S,6.0,0.0,0.66,-0.039214026630132105
23,0,2,0,S,7.0,1.0,0.32,0.04770649761324558
24,0,2,0,S,8.0,0.18,0.76,-0.042558981011012936
25,0,2,0,S,9.0,0.0,0.88,0.22670139925133737
26,0,2,0,S,10.0,1.0,0.8200000000000001,0.2717791034392075
27,0,2,0,S,11.0,0.7000000000000001,0.0,-0.00901345447848258
28,0,2,0,S,12.0,0.84,0.6,-0.011409751418279613
29,0,2,0,S,13.0,0.74,0.2,0.5589974157002565
30,0,2,0,S,14.0,0.38,1.0,-0.06484656738128312
31,0,2,0,S,15.0,0.34,0.86,0.15402595916098022
32,0,3,0,S,0.0,0.38,0.64,-0.19206587193907887
33,0,3,0,S,1.0,0.0,0.42,0.11423686451545656
34,0,3,0,S,4.0,0.52,0.0,0.21891962353722438
35,0,3,0,S,5.0,0.36,0.42,-0.031796915505171275
36,0,3,0,S,7.0,0.9,0.32,0.29322704587493004
37,0,3,0,S,10.0,0.96,1.0,-0.10581513396805807
38,0,3,0,S,12.0,0.66,0.84,0.012238797985518477
39,0,3,0,S,13.0,0.74,0.46,0.09110883856320805
40,0,3,0,S,14.0,0.16,1.0,0.32013397414808126
41,0,4,0,S,1.0,0.18,0.56,0.03509249687506578
42,0,4,0,S,4.0,0.56,0.1,0.08487326078208889
43,0,4,0,S,7.0,1.0,0.0,-0.028001856181839833
44,0,4,0,S,10.0,0.84,1.0,-0.05527058595629169
45,0,4,0,S,12.0,0.56,0.98,-0.10928137836738872
46,0,5,0,S,1.0,0.2,0.44,0.3124895717118836
47,0,5,0,S,10.0,0.72,1.0,-0.08715392526046609
48,0,6,0,S,1.0,0.18,0.32,0.2716448576514862
49,0,6,0,S,10.0,0.78,0.88,0.17809703749909786
50,0,7,0,S,1.0,0.28,0.24,0.14499375746601506
51,0,7,0,S,10.0,0.86,0.76,-0.11548970099083603
52,0,8,1,S,1.0,0.2,0.1,1.0153741258220184
53,0,9,1,S,0.0,0.44,0.54,-0.023164921583233106
54,0,9,1,S,1.0,0.16,0.14,0.5535298651580467
55,0,9,1,S,2.0,0.3,0.36,0.11123360413406645
56,0,9,1,S,3.0,1.0,0.54,-0.025011310850775657
57,0,9,1,S,4.0,0.44,0.12,0.26811102341154847
58,0,9,1,S,5.0,0.76,0.58,-0.05349339075882311
59,0,9,1,S,6.0,0.1,0.44,0.27551256085905057
60,0,9,1,S,7.0,1.0,0.08,-0.040290241810618174
61,0,9,1,S,8.0,0.12,0.66,0.20670874895288202
62,0,9,1,S,9.0,0.1,0.8200000000000001,0.1279236773613635
63,0,9,1,S,10.0,0.88,0.88,-0.10531307902484877
64,0,9,1,S,11.0,0.62,0.0,0.0850419054738179
65,0,9,1,S,12.0,0.62,0.72,0.05801693750599062
66,0,9,1,S,13.0,0.8200000000000001,0.34,0.12214445060501868
67,0,9,1,S,14.0,0.28,0.8,0.016767247498657233
