,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,1.0,0.32,0.010727989915277479
1,0,1,0,S,1.0,0.0,0.76,0.07027075773407346
2,0,1,0,S,2.0,0.4,0.2,0.23599925106593173
3,0,1,0,S,3.0,0.16,0.0,0.6383979017480945
4,0,1,0,S,4.0,0.56,0.32,0.10575379710160955
5,0,1,0,S,5.0,0.56,0.98,-0.03706497853314614
6,0,1,0,S,6.0,1.0,0.8200000000000001,0.08927957808605835
7,0,1,0,S,7.0,0.0,0.88,0.0028902187851893163
8,0,2,0,S,0.0,0.9,0.32,0.04690134847937366
9,0,2,0,S,1.0,0.0,0.66,0.13111665887446686
10,0,2,0,S,2.0,0.28,0.24,0.056067496412755824
11,0,2,0,S,3.0,0.0,0.0,-0.12331107316724382
12,0,2,0,S,4.0,0.36,0.42,0.11542254718189207
13,0,2,0,S,5.0,0.72,1.0,0.13279574830387306
14,0,2,0,S,6.0,1.0,0.64,0.07420301736937839
15,0,2,0,S,7.0,0.18,0.88,0.01379281744678268
16,0,3,0,S,0.0,0.86,0.18,0.5060341028235493
17,0,3,0,S,1.0,0.0,0.54,0.1320235909427647
18,0,3,0,S,2.0,0.28,0.0,0.4679415082642794
19,0,3,0,S,3.0,0.0,0.2,0.03979493504318281
20,0,3,0,S,4.0,0.48,0.42,0.0963178671420601
21,0,3,0,S,5.0,0.84,1.0,0.0344620571540668
22,0,3,0,S,6.0,1.0,0.46,-0.0046606184295409775
23,0,3,0,S,7.0,0.18,0.76,0.25973321579997233
24,0,4,0,S,0.0,0.86,0.06,0.3254984517725582
25,0,4,0,S,1.0,0.0,0.42,-0.09788091070707385
26,0,4,0,S,2.0,0.38,0.0,0.21010835172950793
27,0,4,0,S,3.0,0.0,0.3,-0.01661773638967008
28,0,4,0,S,4.0,0.38,0.64,-0.07380353850276884
29,0,4,0,S,5.0,0.96,1.0,-0.021308206585772184
30,0,4,0,S,6.0,0.88,0.48,-0.0874086844492878
