X,Y,f_H
0.0,0.0,0.07204029276901497
0.0,0.02,0.07663244185110606
0.0,0.04,0.07888086949011822
0.0,0.06,0.07867136763340256
0.0,0.08,0.0761473807980792
0.0,0.1,0.07167047230751561
0.0,0.12,0.06574518071030071
0.0,0.14,0.058928416198399836
0.0,0.16,0.0517452909394947
0.0,0.18,0.04462849547441615
0.0,0.2,0.03788933505605891
0.0,0.22,0.03171880844598656
0.0,0.24,0.026209854196786453
0.0,0.26,0.021388896167746526
0.0,0.28,0.01724605886756175
0.0,0.3,0.013757411322292613
0.0,0.32,0.01089725936890875
0.0,0.34,0.008642076357284624
0.0,0.36,0.006969272565229252
0.0,0.38,0.005853782926445667
0.0,0.4,0.005264215797350505
0.0,0.42,0.005159045627316525
0.0,0.44,0.005482758778559392
0.0,0.46,0.006162150791013533
0.0,0.48,0.0071037847608691595
0.0,0.5,0.008194325638751682
0.0,0.52,0.009305473556323277
0.0,0.54,0.010304269199930844
0.0,0.56,0.011067846589900369
0.0,0.58,0.011499882301098533
0.0,0.6,0.011544808418781853
0.0,0.62,0.011195904580900399
0.0,0.64,0.010494780089665446
0.0,0.66,0.009522069972644539
0.0,0.68,0.008381587176385005
0.0,0.7000000000000001,0.007181844592610238
0.0,0.72,0.006019247108713066
0.0,0.74,0.004966331719097127
0.0,0.76,0.004066657256193631
0.0,0.78,0.003336011310858054
0.0,0.8,0.002768145771353106
0.0,0.8200000000000001,0.002342620469789017
0.0,0.84,0.002032517654383874
0.0,0.86,0.0018105128497898167
0.0,0.88,0.0016526775492430998
0.0,0.9,0.0015401353181342516
0.0,0.92,0.0014591333551685663
0.0,0.9400000000000001,0.0014002168702982691
0.0,0.96,0.0013570940016462798
0.0,0.98,0.0013255759843155523
0.0,1.0,0.0013027717361911227
0.02,0.0,0.08226952722939813
0.02,0.02,0.08733900888807893
0.02,0.04,0.08967863423836747
0.02,0.06,0.08916869294424877
0.02,0.08,0.08599009702849568
0.02,0.1,0.08057744600925258
0.02,0.12,0.07353059380433685
0.02,0.14,0.06550819084511744
0.02,0.16,0.057128724405710624
0.02,0.18,0.04889906399639828
0.02,0.2,0.04118010736445659
0.02,0.22,0.03418783832671804
0.02,0.24,0.02801964765722335
0.02,0.26,0.022692195479531493
0.02,0.28,0.01817837889679379
0.02,0.3,0.014435425978047775
0.02,0.32,0.011421409115189633
0.02,0.34,0.009101558364341721
0.02,0.36,0.007447676457555936
0.02,0.38,0.006433855746988389
0.02,0.4,0.006030488013933922
0.02,0.42,0.006197349828278121
0.02,0.44,0.006876116557243065
0.02,0.46,0.007983167263158657
0.02,0.48,0.009404550277665043
0.02,0.5,0.010995713883161916
0.02,0.52,0.012588361123775765
0.02,0.54,0.014005281764417926
0.02,0.56,0.015081576874121138
0.02,0.58,0.015688176883354128
0.02,0.6,0.015752005135407685
0.02,0.62,0.015267327996965722
0.02,0.64,0.014294885001777204
0.02,0.66,0.012948682710185944
0.02,0.68,0.011373722342955205
0.02,0.7000000000000001,0.009720230631906785
0.02,0.72,0.008120440978537244
0.02,0.74,0.006672615806880606
0.02,0.76,0.005434464551906188
0.02,0.78,0.004425381356320236
0.02,0.8,0.0036348946181573812
0.02,0.8200000000000001,0.003033867479061051
0.02,0.84,0.0025852916050354445
0.02,0.86,0.0022525777227232024
0.02,0.88,0.002004531483315316
0.02,0.9,0.001817268539087959
0.02,0.92,0.0016739385212111563
0.02,0.9400000000000001,0.0015632836812467428
0.02,0.96,0.0014778882130273535
0.02,0.98,0.0014126582823065822
0.02,1.0,0.0013637598081414682
0.04,0.0,0.08985856029014615
0.04,0.02,0.09520884491807313
0.04,0.04,0.09751946683398685
0.04,0.06,0.09667033758764514
0.04,0.08,0.09287714970638226
0.04,0.1,0.08663831129735254
0.04,0.12,0.0786354538295545
0.04,0.14,0.06961367751293507
0.04,0.16,0.060270059993065846
0.04,0.18,0.051172895498178196
0.04,0.2,0.042722598406119174
0.04,0.22,0.03515264802839533
0.04,0.24,0.02855946728688178
0.04,0.26,0.0229460113934276
0.04,0.28,0.01826508311892195
0.04,0.3,0.014453157038570108
0.04,0.32,0.011451218184400066
0.04,0.34,0.009213624033454833
0.04,0.36,0.007708211914237377
0.04,0.38,0.006910947467921574
0.04,0.4,0.0067973265221477125
0.04,0.42,0.0073316889023770345
0.04,0.44,0.008455392401444288
0.04,0.46,0.010075553748633122
0.04,0.48,0.012057246181039885
0.04,0.5,0.014222742477515643
0.04,0.52,0.01636079890997788
0.04,0.54,0.01824681101219399
0.04,0.56,0.019671409220034672
0.04,0.58,0.020471816839042017
0.04,0.6,0.020558394860423906
0.04,0.62,0.01992920886492012
0.04,0.64,0.018668287601653483
0.04,0.66,0.016927644495265952
0.04,0.68,0.014897589000078086
0.04,0.7000000000000001,0.01277281688594848
0.04,0.72,0.010722293942615082
0.04,0.74,0.008869049906011143
0.04,0.76,0.007282566945469669
0.04,0.78,0.005982799007332945
0.04,0.8,0.0049521799069460505
0.04,0.8200000000000001,0.004150900478877823
0.04,0.84,0.003531215948076774
0.04,0.86,0.0030480381049028966
0.04,0.88,0.002664845447918832
0.04,0.9,0.0023554028688596474
0.04,0.92,0.002102606823403536
