X,Y,f_H_train
0.18,0.64,0.04865886487986855
0.74,0.52,0.016817626790543327
0.14,0.9,0.023093481481639783
0.6,0.4,0.0029600452504691135
0.68,0.56,0.02129688153609602
0.9400000000000001,0.4,0.03472901727697635
0.46,0.98,0.678423872276406
0.84,0.52,0.026481572761490692
0.14,0.0,0.07953259033801699
0.8200000000000001,0.12,0.07834740193214901
0.96,0.02,0.07185355594046385
0.54,0.58,0.023294267112599146
0.28,0.28,0.006104289396602103
0.14,0.78,0.03579123016843813
0.84,0.0,0.049214928526587085
0.4,0.48,0.022718033367679278
0.08,0.7000000000000001,0.02023481626921762
0.24,0.02,0.0328177669852553
0.48,0.08,0.001335297770911446
0.58,0.46,0.005149874484565781
0.48,0.02,0.0012875256524973772
0.42,0.24,0.004298885110331021
0.8200000000000001,0.4,0.017205346179150767
0.3,0.14,0.008122317628004378
0.56,0.44,0.004042646573290777
0.48,0.1,0.0013757517387741958
0.22,0.38,0.013652263234409484
0.4,0.76,0.6246298648724906
0.06,0.02,0.09957229632286442
0.56,0.78,0.3201577260702466
0.5,0.16,0.0015625555712350946
0.02,0.2,0.04118010736445659
0.26,0.6,0.05922034214659865
0.8,0.9,0.36245148453379167
0.66,0.88,0.3140966583597761
0.64,0.04,0.0022345045845458995
0.04,0.4,0.0067973265221477125
0.62,0.18,0.0017953938202079868
0.2,0.08,0.049584777161180545
0.9400000000000001,0.22,0.1028401476491559
0.4,0.0,0.001850581677624567
0.22,0.98,0.06170299780811631
0.44,0.74,0.5120150985934158
0.46,0.28,0.004653537050214334
0.68,0.9,0.341594675215603
0.26,0.26,0.005700233349222834
0.36,0.08,0.003497693568301976
0.04,0.74,0.008869049906011143
0.46,0.3,0.0053842560707029405
0.36,0.36,0.015312858500091977
0.76,0.5,0.0149375833591208
0.7000000000000001,0.8,0.2883210680508003
0.58,0.62,0.04119402191902653
0.2,0.08,0.049584777161180545
0.08,0.12,0.07973639840194394
0.72,0.28,0.007454146632659487
0.06,0.42,0.008523401408303453
0.86,0.28,0.059559800497788834
0.06,0.64,0.023330367655357936
0.38,0.76,0.5915494806210931
0.9,0.66,0.05187403368010803
0.86,0.2,0.0968112040441854
0.22,0.56,0.04767819344206099
0.14,0.9,0.023093481481639783
0.3,0.62,0.07809957965018587
0.28,0.02,0.01739490272876789
0.84,0.9,0.25526500172704697
0.08,0.8,0.01019226229881411
0.92,0.0,0.06669590961015484
0.36,0.8200000000000001,0.7487467217764817
0.14,0.3,0.008587416327859851
0.78,0.88,0.40963151540136
0.34,0.02,0.005312683741768572
0.7000000000000001,0.08,0.008828814816099286
0.5,0.32,0.0038767110776407186
0.34,0.68,0.20237730223775663
0.8,0.22,0.04795951123823496
0.04,0.48,0.012057246181039885
0.04,0.0,0.08985856029014615
0.62,0.6,0.030129814792514142
0.78,0.9,0.4001503654575973
0.38,0.8,0.7670672502204429
0.36,0.8200000000000001,0.7487467217764817
0.16,0.34,0.007020653571305773
0.44,0.4,0.011377024404534494
0.22,0.62,0.055893361104325516
0.6,0.54,0.014022571853584374
0.3,0.32,0.009701749018927308
0.8,0.28,0.03184014655732276
0.6,0.9,0.3192502803769361
0.88,0.32,0.049139363674074406
0.08,0.56,0.029168012192646274
0.26,0.46,0.03501450722159648
0.02,0.3,0.014435425978047775
0.72,0.6,0.03643132327065364
0.96,0.72,0.024735170059894503
0.32,0.96,0.3797191810481614
0.92,0.14,0.13137974803401217
0.72,0.34,0.0050851848002103255
0.9,0.86,0.11270488270518826
0.66,0.38,0.0029131231633760754
0.72,0.22,0.011100092707270361
0.56,0.6,0.03142102023070736
0.4,0.62,0.09059918211412768
0.6,0.54,0.014022571853584374
0.38,0.54,0.03463398054062408
0.2,0.58,0.047374900226998334
0.62,0.9,0.2944127258548912
0.38,0.74,0.4940544602980918
0.54,0.96,0.44697460405744627
0.26,0.28,0.005908045663520839
0.9400000000000001,0.24,0.09209438795711905
0.62,0.24,0.001664677379819665
0.18,0.56,0.04364112994989928
0.14,0.06,0.08335835915232005
0.86,0.42,0.023389980898572797
0.48,0.36,0.005988944313179559
0.98,0.26,0.06747315221717497
0.04,0.32,0.011451218184400066
0.74,0.9400000000000001,0.3738974271373594
0.38,0.0,0.0024225290228085095
0.28,0.28,0.006104289396602103
0.16,0.92,0.031402201790679436
0.72,0.36,0.004755105489532432
0.56,0.64,0.06100059837081176
0.78,0.46,0.011892225749304257
0.78,0.52,0.02055550426742854
0.84,0.88,0.2665314450202493
0.44,0.86,0.9918135787763764
0.96,0.16,0.11646259783538997
0.8,0.84,0.3603876502032769
0.98,0.86,0.017571128094652468
0.1,0.42,0.01098187864469396
0.58,0.54,0.012976607743220802
0.24,0.12,0.024529205622141146
0.34,0.9400000000000001,0.5366335379405213
0.84,0.28,0.05073949277860665
0.3,0.46,0.035750870402658314
0.86,0.32,0.04360303209197344
0.76,0.14,0.03296085024330039
0.8,0.1,0.05972049326047186
0.88,0.26,0.07691646484526736
