X,Y,f_L
0.0,0.0,0.07408893193388681
0.0,0.02,0.07593023556897871
0.0,0.04,0.07706002323099177
0.0,0.06,0.07746199467876055
0.0,0.08,0.07714239741973337
0.0,0.1,0.07612991923455861
0.0,0.12,0.07447452635022954
0.0,0.14,0.07224532170241513
0.0,0.16,0.06952755866550914
0.0,0.18,0.0664189951246321
0.0,0.2,0.06302580724536407
0.0,0.22,0.059458299684688756
0.0,0.24,0.055826648806339994
0.0,0.26,0.05223689878243916
0.0,0.28,0.048787399670691955
0.0,0.3,0.04556583503341264
0.0,0.32,0.04264693838971819
0.0,0.34,0.04009094693675487
0.0,0.36,0.03794279153364181
0.0,0.38,0.036231977425213974
0.0,0.4,0.0349730734024908
0.0,0.42,0.034166700030170395
0.0,0.44,0.03380089130881129
0.0,0.46,0.03385269889697794
0.0,0.48,0.03428991319989527
0.0,0.5,0.035072789923456964
0.0,0.52,0.03615569219030454
0.0,0.54,0.037488584665512595
0.0,0.56,0.039018344710800866
0.0,0.58,0.04068988365456522
0.0,0.6,0.042447096221907794
0.0,0.62,0.04423367573543321
0.0,0.64,0.045993845131793526
0.0,0.66,0.047673058113079744
0.0,0.68,0.04921872067662868
0.0,0.7000000000000001,0.05058097153736354
0.0,0.72,0.051713542108644754
0.0,0.74,0.05257469497169141
0.0,0.76,0.05312821683349321
0.0,0.78,0.053344420705428296
0.0,0.8,0.053201095118329905
0.0,0.8200000000000001,0.052684327825005574
0.0,0.84,0.051789129073559946
0.0,0.86,0.05051978567836242
0.0,0.88,0.04888989129236058
0.0,0.9,0.046922019089061136
0.0,0.92,0.044647028340837155
0.0,0.9400000000000001,0.04210302349918129
0.0,0.96,0.03933401055167917
0.0,0.98,0.03638831803187268
0.0,1.0,0.03331686694087105
0.02,0.0,0.07798108905174105
0.02,0.02,0.07989365761357851
0.02,0.04,0.08106245284195673
0.02,0.06,0.08147201953952125
0.02,0.08,0.08113072210170105
0.02,0.1,0.08007059315167955
0.02,0.12,0.07834607148359618
0.02,0.14,0.07603171038600887
0.02,0.16,0.07321900161501413
0.02,0.18,0.07001251220236587
0.02,0.2,0.06652556713940055
0.02,0.22,0.06287572858093693
0.02,0.24,0.059180321082443706
0.02,0.26,0.05555223368058791
0.02,0.28,0.052096195929741136
0.02,0.3,0.048905679960718734
0.02,0.32,0.046060528530648966
0.02,0.34,0.04362535440456972
0.02,0.36,0.04164870359574073
0.02,0.38,0.04016292783299504
0.02,0.4,0.03918467320867813
0.02,0.42,0.038715864470621676
0.02,0.44,0.038745049054268656
0.02,0.46,0.039248961916958765
0.02,0.48,0.04019418080874002
0.02,0.5,0.041538760223699046
0.02,0.52,0.04323375864342324
0.02,0.54,0.045224604988303836
0.02,0.56,0.04745228327221948
0.02,0.58,0.04985434604809465
0.02,0.6,0.052365794232119456
0.02,0.62,0.054919880633301485
0.02,0.64,0.05744890501937005
0.02,0.66,0.05988506876469224
0.02,0.68,0.06216144706176764
0.02,0.7000000000000001,0.06421311745857257
0.02,0.72,0.06597845727150452
0.02,0.74,0.0674005922191841
0.02,0.76,0.06842894795622843
0.02,0.78,0.06902082872741593
0.02,0.8,0.06914292649517656
0.02,0.8200000000000001,0.06877265231145514
0.02,0.84,0.06789918108425258
0.02,0.86,0.0665241116771025
0.02,0.88,0.06466166563736178
0.02,0.9,0.062338377751477866
0.02,0.92,0.059592267108071334
0.02,0.9400000000000001,0.05647151486747117
0.02,0.96,0.053032710783844805
0.02,0.98,0.049338761264464376
0.02,1.0,0.04545657458463996
0.04,0.0,0.08087323064070924
0.04,0.02,0.08283591397260405
0.04,0.04,0.0840322308488482
0.04,0.06,0.08444798814787352
0.04,0.08,0.08409383004196579
0.04,0.1,0.08300504377139736
0.04,0.12,0.0812402116881048
0.04,0.14,0.07887879668098828
0.04,0.16,0.07601781480648098
0.04,0.18,0.07276780263636018
0.04,0.2,0.06924832354806194
0.04,0.22,0.06558327463661164
0.04,0.24,0.06189625363566202
0.04,0.26,0.05830622444674109
0.04,0.28,0.05492368334029086
0.04,0.3,0.051847479500101545
0.04,0.32,0.049162387933444476
0.04,0.34,0.04693747471952524
0.04,0.36,0.04522523881218513
0.04,0.38,0.0440614653210013
0.04,0.4,0.0434656857440577
0.04,0.42,0.043442113409599865
0.04,0.44,0.0439809087122725
0.04,0.46,0.045059628799441365
0.04,0.48,0.04664472929219742
0.04,0.5,0.04869300954244549
0.04,0.52,0.0511529251121034
0.04,0.54,0.05396572823796305
0.04,0.56,0.05706643523188229
0.04,0.58,0.060384655161385095
0.04,0.6,0.06384534307761745
0.04,0.62,0.06736956038637427
0.04,0.64,0.07087533246714897
0.04,0.66,0.07427868827531194
0.04,0.68,0.07749494869743011
0.04,0.7000000000000001,0.08044030154078961
0.04,0.72,0.08303366417379127
0.04,0.74,0.08519879395177589
0.04,0.76,0.08686656622450498
0.04,0.78,0.08797730459123317
0.04,0.8,0.08848302237639497
0.04,0.8200000000000001,0.08834942133272124
0.04,0.84,0.08755749528347863
0.04,0.86,0.08610460314296965
0.04,0.88,0.08400490620758212
0.04,0.9,0.08128910598991997
0.04,0.92,0.07800346720472845
0.04,0.9400000000000001,0.07420816113101016
0.04,0.96,0.06997501263046896
0.04,0.98,0.0653847751407604
0.04,1.0,0.060524088385706575
0.06,0.0,0.08265968493039294
0.06,0.02,0.08465031724125927
0.06,0.04,0.0858626799050299
0.06,0.06,0.08628424081007266
0.06,0.08,0.08592803526945086
0.06,0.1,0.08483243258733544
0.06,0.12,0.08305972103605345
0.06,0.14,0.08069360362522844
0.06,0.16,0.07783576542238603
0.06,0.18,0.07460172791274494
0.06,0.2,0.07111624287894189
0.06,0.22,0.06750849518286912
0.06,0.24,0.06390738015568412
0.06,0.26,0.06043709837346657
0.06,0.28,0.05721327131674277
0.06,0.3,0.05433972989480805
0.06,0.32,0.05190606894009915
0.06,0.34,0.049985999723301144
0.06,0.36,0.04863647434232018
0.06,0.38,0.04789750500501685
0.06,0.4,0.04779256142925554
0.06,0.42,0.048329403441731776
0.06,0.44,0.049501194794690215
0.06,0.46,0.05128774841112641
0.06,0.48,0.05365677164872834
0.06,0.5,0.056565010515287034
0.06,0.52,0.05995923083822114
0.06,0.54,0.0637770181652301
0.06,0.56,0.06794742213746988
0.06,0.58,0.07239151058881747
0.06,0.6,0.07702292932891837
0.06,0.62,0.08174858182797594
0.06,0.64,0.08646954633230264
0.06,0.66,0.09108233526232551
0.06,0.68,0.09548057371570282
0.06,0.7000000000000001,0.09955713286990513
0.06,0.72,0.10320670396418762
0.06,0.74,0.10632874446265732
0.06,0.76,0.10883067576959321
0.06,0.78,0.11063116735118791
0.06,0.8,0.11166331056138455
0.06,0.8200000000000001,0.11187747087512406
0.06,0.84,0.11124361186182065
0.06,0.86,0.10975290831268526
0.06,0.88,0.10741850760994814
0.06,0.9,0.1042753539529319
0.06,0.92,0.10037905423928924
0.06,0.9400000000000001,0.09580383118688617
0.06,0.96,0.09063967245154037
0.06,0.98,0.08498883834609962
0.06,1.0,0.07896193071476808
0.08,0.0,0.08327732342679645
0.08,0.02,0.08527362135721764
0.08,0.04,0.08649105160086056
0.08,0.06,0.08691910639754567
0.08,0.08,0.08657326559879004
0.08,0.1,0.08549473042633549
0.08,0.12,0.08374896432749436
0.08,0.14,0.08142313765728483
0.08,0.16,0.07862264203980278
0.08,0.18,0.07546689523658084
0.08,0.2,0.07208469399940393
0.08,0.22,0.06860938830329188
0.08,0.24,0.06517414505974277
0.08,0.26,0.06190754429067686
0.08,0.28,0.05892970883214252
0.08,0.3,0.05634911424309068
0.08,0.32,0.05426016385597455
0.08,0.34,0.05274155030933201
0.08,0.36,0.05185536482097825
0.08,0.38,0.05164686374096315
0.08,0.4,0.05214476254580338
0.08,0.42,0.053361903251743004
0.08,0.44,0.05529613378062544
0.08,0.46,0.05793124724875566
0.08,0.48,0.061237854186471166
0.08,0.5,0.06517409869855358
0.08,0.52,0.06968617671030632
0.08,0.54,0.07470866593654735
0.08,0.56,0.08016472769960585
0.08,0.58,0.08596628470502392
0.08,0.6,0.09201431122766002
0.08,0.62,0.09819938864043852
0.08,0.64,0.10440267701899493
0.08,0.66,0.11049743168414078
0.08,0.68,0.11635115307483891
0.08,0.7000000000000001,0.12182840245429674
0.08,0.72,0.1267942497116997
0.08,0.74,0.13111824944610453
0.08,0.76,0.13467877490823799
0.08,0.78,0.13736748352631925
0.08,0.8,0.13909364911026328
0.08,0.8200000000000001,0.13978807926299336
0.08,0.84,0.1394063446670114
0.08,0.86,0.1379310798392347
0.08,0.88,0.13537317013310937
0.08,0.9,0.13177171235141028
0.08,0.92,0.12719271966018653
0.08,0.9400000000000001,0.12172662786769521
0.08,0.96,0.11548474167557916
0.08,0.98,0.10859482902377847
0.08,1.0,0.10119612335985807
0.1,0.0,0.08270927414544299
0.1,0.02,0.0846897074603947
0.1,0.04,0.08590214243536337
0.1,0.06,0.08633840765518412
0.1,0.08,0.0860164195723997
0.1,0.1,0.08497989255723276
0.1,0.12,0.08329686204627636
0.1,0.14,0.08105712083542664
0.1,0.16,0.07836873746705042
0.1,0.18,0.0753538800569573
0.1,0.2,0.07214420456494011
0.1,0.22,0.06887608100053282
0.1,0.24,0.06568592389766469
0.1,0.26,0.0627058660302748
0.1,0.28,0.06005996991602238
0.1,0.3,0.05786111464725383
0.1,0.32,0.05620863136983167
0.1,0.34,0.055186695080341706
0.1,0.36,0.054863419036258555
0.1,0.38,0.05529054616390393
0.1,0.4,0.056503593704344705
0.1,0.42,0.058522286056665915
0.1,0.44,0.06135110803203945
0.1,0.46,0.06497982661859042
0.1,0.48,0.0693838623478149
0.1,0.5,0.0745244383426754
0.1,0.52,0.08034849159808861
0.1,0.54,0.08678839135998588
0.1,0.56,0.0937615672968457
0.1,0.58,0.10117019900878028
0.1,0.6,0.10890115227350762
0.1,0.62,0.11682636138953563
0.1,0.64,0.12480384788733748
0.1,0.66,0.13267953281400133
0.1,0.68,0.14028994435485706
0.1,0.7000000000000001,0.14746584888777156
0.1,0.72,0.15403674810372978
0.1,0.74,0.159836095717136
0.1,0.76,0.16470700357793944
0.1,0.78,0.16850813765719036
0.1,0.8,0.17111945728457714
0.1,0.8200000000000001,0.17244743201620402
0.1,0.84,0.17242938269224378
0.1,0.86,0.17103663652549259
0.1,0.88,0.16827625714871366
0.1,0.9,0.1641912032734263
0.1,0.92,0.158858875614398
0.1,0.9400000000000001,0.15238812138892352
0.1,0.96,0.1449148691828949
0.1,0.98,0.13659665531463375
0.1,1.0,0.12760636882156023
0.12,0.0,0.08098559039124463
0.12,0.02,0.08293016523094296
0.12,0.04,0.08412877433225531
0.12,0.06,0.08457583023422109
0.12,0.08,0.08429161657588306
0.12,0.1,0.08332198601152767
0.12,0.12,0.08173689467105386
0.12,0.14,0.07962787542591487
0.12,0.16,0.0771046199394816
0.12,0.18,0.07429089246543336
0.12,0.2,0.0713200323725138
0.12,0.22,0.06833031498087937
0.12,0.24,0.06546043102882375
0.12,0.26,0.06284531543105834
0.12,0.28,0.0606125091673884
0.12,0.3,0.05887917877942671
0.12,0.32,0.05774985163847485
0.12,0.34,0.05731485793729759
0.12,0.36,0.05764940828722699
0.12,0.38,0.05881318441358527
0.12,0.4,0.060850284367689356
0.12,0.42,0.06378934627145812
0.12,0.44,0.06764367768164248
0.12,0.46,0.07241124124828935
0.12,0.48,0.0780743896355663
0.12,0.5,0.084599300035041
0.12,0.52,0.09193512574011267
0.12,0.54,0.10001295255366124
0.12,0.56,0.10874471383649173
0.12,0.58,0.11802227216613904
0.12,0.6,0.1277169108390057
0.12,0.62,0.13767948916092465
0.12,0.64,0.14774149809229753
0.12,0.66,0.1577172065068311
0.12,0.68,0.1674070152960074
0.12,0.7000000000000001,0.17660204207899055
0.12,0.72,0.18508985135794134
0.12,0.74,0.19266113361652576
0.12,0.76,0.1991170331526994
0.12,0.78,0.20427673927161777
0.12,0.8,0.20798489836092138
0.12,0.8200000000000001,0.2101183823357973
0.12,0.84,0.21059196560043053
0.12,0.86,0.20936251777833786
0.12,0.88,0.20643140885619304
0.12,0.9,0.20184493941132983
0.12,0.92,0.19569274093792577
0.12,0.9400000000000001,0.18810422810842425
0.12,0.96,0.17924331402415888
0.12,0.98,0.16930171008497
0.12,1.0,0.15849121516457138
0.14,0.0,0.07818086062571629
0.14,0.02,0.08007176579401819
0.14,0.04,0.08124914742555851
0.14,0.06,0.08171017565540313
