X,Y,f_L_train
0.48,0.12,0.008527803228530235
0.28,0.48,0.15622529467970764
0.42,0.3,0.03919359871732835
0.18,0.04,0.07267561804056748
0.54,0.64,0.48702752297425433
0.02,0.08,0.08113072210170105
0.84,0.44,0.10030166048333652
0.2,0.92,0.3951460513300168
0.42,0.08,0.011920762482124977
0.86,0.18,0.11104559184954249
0.46,0.44,0.12977358300680894
0.1,0.68,0.14028994435485706
0.92,0.32,0.10055240000950597
0.4,0.7000000000000001,0.6983711805779872
0.28,0.72,0.540632302172079
0.42,0.34,0.05546096247261594
0.02,0.54,0.045224604988303836
0.84,0.98,0.3132213260679431
0.02,0.36,0.04164870359574073
0.02,0.56,0.04745228327221948
0.8,0.64,0.2550243145782418
0.44,0.28,0.031268670523785035
0.56,0.02,0.006842939940858974
0.6,0.72,0.6063663277644156
0.48,0.14,0.009592870054511229
0.54,0.7000000000000001,0.6427365969841751
0.28,0.14,0.04378794099982827
0.52,0.88,0.9454018673875932
0.44,0.18,0.015100996782075387
0.74,0.04,0.054839242715612406
0.9400000000000001,0.8200000000000001,0.200484412892856
0.42,0.12,0.013513948140117473
0.9,0.9400000000000001,0.24492734308986455
0.8200000000000001,0.2,0.09882641262533348
0.0,0.24,0.055826648806339994
0.36,0.92,0.8763517078346748
0.44,0.38,0.077335493907914
0.74,0.42,0.08963337561958001
0.42,0.52,0.25467638727803843
0.16,0.56,0.14265222471555566
0.36,0.88,0.900294361320892
0.54,0.08,0.007721022040596687
0.72,0.4,0.07984813555071897
0.48,0.88,0.9895626354642639
0.28,0.56,0.2604174347162172
0.24,0.5,0.15534886339078863
0.72,0.6,0.2575414473031599
0.84,0.26,0.10053732383502986
0.18,0.66,0.24938866601085075
0.48,0.26,0.02348601180695861
0.04,0.6,0.06384534307761745
0.18,0.92,0.33796068395899426
0.86,0.42,0.09637860457617282
0.38,0.4,0.09689128150189398
0.44,1.0,0.8367423660676411
0.88,0.68,0.2171186342974203
0.36,0.72,0.7036044954529259
0.64,1.0,0.6035563624048121
0.3,0.52,0.21605064856548817
0.16,0.74,0.27070330419757155
0.64,0.76,0.6185379679279076
0.04,0.32,0.049162387933444476
0.84,0.5,0.12067202237044472
0.5,0.14,0.009201143744172758
0.9,0.52,0.11064766548952622
0.78,0.8,0.44541770322103685
0.36,0.3,0.04549389342909446
0.1,0.72,0.15403674810372978
0.24,0.44,0.107373016353775
0.16,0.78,0.28987789863318475
0.8200000000000001,0.88,0.3994712295509636
0.14,0.24,0.06454123930206011
0.2,0.18,0.062208649192324765
0.6,0.56,0.26281053573268415
0.42,0.56,0.33767914586954423
0.08,0.14,0.08142313765728483
0.0,0.24,0.055826648806339994
0.48,0.32,0.040965692036490066
0.18,0.92,0.33796068395899426
0.18,0.38,0.0685070774309367
0.52,0.8200000000000001,0.9120330557152514
0.2,0.44,0.09428577908978669
0.58,0.02,0.009090795815225521
0.92,0.56,0.1158748041672646
0.0,0.78,0.053344420705428296
0.4,0.08,0.0148763160274273
0.78,0.34,0.08063951256923002
0.72,0.78,0.5194719175125921
0.54,0.3,0.03158549325764815
0.06,0.64,0.08646954633230264
0.14,0.78,0.24476136147397565
0.26,0.12,0.049641693415267044
0.46,0.38,0.07511574924769139
0.02,0.8,0.06914292649517656
0.08,0.9,0.13177171235141028
0.26,0.08,0.04992471577634153
0.24,0.78,0.5073852667574862
0.78,0.08,0.07673875218719456
0.62,0.52,0.1891578482187793
0.16,0.06,0.0778598024227098
0.84,0.46,0.10549055277403149
0.84,0.2,0.1051781646217715
0.34,0.04,0.025996394802084745
0.6,0.16,0.019421462566396364
0.54,0.44,0.11445462347665272
0.32,0.3,0.04958304722846291
0.16,0.14,0.07390219960424652
0.86,0.1,0.10623664990530618
0.18,0.8,0.34772605613908736
0.6,0.8200000000000001,0.771304462611042
0.38,0.9400000000000001,0.8921474754432733
0.68,0.4,0.07546579325508558
0.44,0.76,0.864440521850689
0.8200000000000001,0.26,0.09496487129582254
0.04,0.9400000000000001,0.07420816113101016
0.04,0.92,0.07800346720472845
0.2,0.34,0.06277649606553534
0.1,0.34,0.055186695080341706
0.96,0.04,0.09715901089095648
0.6,0.98,0.7083214170860065
0.78,1.0,0.3839854191323311
0.92,0.6,0.13297546012382971
0.3,0.72,0.587447690493622
0.46,0.56,0.33379060731517257
0.8,0.8,0.4143230865003322
0.48,0.18,0.012427140765814871
0.8,0.64,0.2550243145782418
0.38,0.6,0.4215065770218555
0.2,0.92,0.3951460513300168
0.38,0.9400000000000001,0.8921474754432733
0.66,0.34,0.05235773301127763
0.78,0.14,0.08263288187602678
0.74,0.88,0.536203094218429
0.76,0.36,0.07758805776811888
0.14,0.46,0.08018728198849656
0.58,0.5,0.17597751946026546
0.14,0.26,0.06236173744478783
0.64,0.7000000000000001,0.5085209834068082
0.36,0.06,0.021951022842320724
0.88,0.38,0.0949184088800374
0.9,0.7000000000000001,0.20820558075663137
0.32,0.64,0.4583964039495963
0.04,0.72,0.08303366417379127
0.68,0.38,0.06742762668478122
0.26,0.26,0.05014602457181334
0.7000000000000001,0.72,0.4667967656369076
0.66,0.06,0.02898811880480508
0.98,0.18,0.10928014490131255
0.14,0.54,0.11433935913925203
0.98,0.28,0.09827709499272026
0.44,0.24,0.02259295897821175
0.84,0.56,0.15588626980323747
0.7000000000000001,0.04,0.04011203217095318
0.16,0.1,0.07692387001394634
0.04,0.34,0.04693747471952524
0.46,0.2,0.015442867429582043
0.36,1.0,0.7457122108723789
0.68,0.48,0.12825062850473234
1.0,0.2,0.10252055709357892
0.9400000000000001,0.02,0.09401071039890607
0.9,0.16,0.11724415333169735
1.0,0.88,0.12028132143582203
0.16,0.5,0.10671571335029137
0.04,0.76,0.08686656622450498
0.72,0.74,0.4703402164206174
0.78,0.04,0.07002917360374432
0.68,0.54,0.193835589856628
0.12,0.04,0.08412877433225531
0.96,0.9400000000000001,0.15780578456272717
0.46,0.84,0.9862038928504068
1.0,0.52,0.06927082224621585
0.56,0.2,0.016284326125999643
1.0,0.6,0.08008289797329513
0.26,0.56,0.24114658448695958
0.4,0.18,0.01985900731835279
0.84,0.1,0.10101384258198463
0.44,0.44,0.13241765370919797
0.44,0.16,0.01353961496699371
0.04,0.1,0.08300504377139736
0.46,0.92,0.9771491941528831
0.02,0.28,0.052096195929741136
0.72,0.8,0.5388654678182146
0.02,0.16,0.07321900161501413
0.24,0.14,0.05473072525473591
0.16,0.98,0.24937886513310317
0.62,0.34,0.047147196083003495
0.36,0.12,0.023749896322208672
0.06,0.74,0.10632874446265732
0.74,0.34,0.07021280877149282
0.06,0.42,0.048329403441731776
0.28,0.7000000000000001,0.506599352874724
0.12,0.32,0.05774985163847485
0.78,0.96,0.42553738813558295
0.92,1.0,0.18284851857784234
0.14,0.26,0.06236173744478783
0.92,0.34,0.0975185897948084
0.56,0.86,0.8755246618580634
0.4,0.38,0.08085276151589013
0.88,0.8200000000000001,0.2938675237505073
0.18,0.38,0.0685070774309367
0.24,0.52,0.17535986524883765
0.44,0.96,0.9206347548518886
0.76,0.72,0.3935352501342849
0.64,0.68,0.4681896620451894
0.44,0.06,0.008869814719363179
0.18,0.8,0.34772605613908736
0.66,0.32,0.04793809532705018
0.5,0.06,0.0056613765367718545
0.4,0.44,0.13509053131034648
0.76,0.8,0.47637193293442537
0.24,0.14,0.05473072525473591
0.9,0.12,0.114867158822947
0.1,0.16,0.07836873746705042
0.9,0.5,0.10465685987840731
0.32,0.78,0.7350248305587432
0.2,0.8200000000000001,0.410315305559738
0.22,1.0,0.3800773668174444
0.28,0.54,0.23071344844335095
0.04,0.36,0.04522523881218513
1.0,0.92,0.11423620499498087
0.24,0.32,0.059523999340868966
0.12,0.96,0.17924331402415888
0.26,0.06,0.049663627797999106
0.62,0.22,0.027226181647467804
0.0,0.8200000000000001,0.052684327825005574
0.42,0.26,0.028446995319954264
0.54,0.9400000000000001,0.8734826660248541
0.9400000000000001,0.04,0.09953913121444068
0.14,0.2,0.06966945850073526
0.1,0.3,0.05786111464725383
0.16,0.28,0.06011103925307111
0.92,0.62,0.14274619573608915
0.28,0.4,0.09109046317391803
0.62,0.28,0.03367198461918477
0.24,0.1,0.05587392631987871
0.28,0.4,0.09109046317391803
0.8200000000000001,0.42,0.096058282396346
0.22,0.5,0.14309602218855347
0.04,0.4,0.0434656857440577
0.24,0.56,0.2211518067848241
0.36,0.66,0.5563064617611271
0.02,1.0,0.04545657458463996
0.9400000000000001,0.04,0.09953913121444068
0.62,0.86,0.7573159611986053
0.92,0.2,0.1167501157894774
0.18,0.74,0.3155413548201328
0.64,0.4,0.07334688502725194
0.38,0.68,0.6286579429901403
0.64,0.22,0.031971531904051234
0.58,0.64,0.4473255804618761
0.34,0.58,0.3494672859502127
0.7000000000000001,0.68,0.4010307257522509
0.96,0.56,0.09435241376713532
0.12,0.72,0.18508985135794134
0.24,0.5,0.15534886339078863
0.58,0.42,0.08974009352486344
0.18,0.9400000000000001,0.32641505993254644
0.46,0.22,0.017890648922700123
0.2,1.0,0.32778431384041995
0.54,0.04,0.006100008730092827
