X,Y,f_S_train
1.0,0.6,0.011426747810102854
0.78,0.98,0.265147093170794
0.28,0.08,0.01637724580909688
1.0,0.24,0.06519703812456831
0.96,0.8,0.02986506869688239
0.18,0.62,0.0473225010103325
0.5,0.8200000000000001,0.678421616608976
0.5,0.1,0.0013380919322216812
0.32,0.88,0.5510311952357818
0.4,0.84,0.9398125905721261
0.08,0.02,0.10023976566984395
0.72,0.84,0.37919323855835746
0.18,0.66,0.05069217602461454
0.36,0.64,0.1218009215784598
0.0,0.64,0.010494780089665446
0.44,0.46,0.013793415583485213
0.14,0.92,0.019571629346997063
0.7000000000000001,0.14,0.009318494649194627
0.14,0.9,0.023093481481639783
0.04,0.62,0.01992920886492012
0.98,0.04,0.07422449142052297
0.18,0.78,0.07537764205110228
0.18,0.76,0.0717810631327921
0.22,0.46,0.030907424825956247
0.04,0.86,0.0030480381049028966
0.16,0.56,0.0416496362793218
0.36,0.3,0.008828897500155157
0.98,0.32,0.045640927561436756
0.46,0.64,0.11129927570896869
0.06,0.06,0.1005670084658246
0.6,0.44,0.004522296901913709
0.06,0.0,0.09414799198726098
1.0,0.46,0.023130606984264567
0.8,0.64,0.07370610537112514
0.3,0.5,0.0426181051010669
0.86,0.14,0.1108378631563102
0.68,0.06,0.005234160972760739
0.74,0.86,0.41900900545998476
0.28,0.96,0.21797281490482498
0.0,0.18,0.04462849547441615
1.0,0.44,0.02504882690908484
0.32,0.18,0.004735283331407381
0.34,0.88,0.6680055986879545
0.74,1.0,0.24618090874052653
0.84,0.44,0.01910681678565987
0.14,0.78,0.03579123016843813
0.9400000000000001,0.36,0.041952153120430505
0.72,0.14,0.01469470454758844
0.34,0.28,0.007101555529433758
0.68,0.76,0.19630559514649473
0.52,0.46,0.005335446109237814
0.28,0.0,0.016507050616737334
0.06,0.52,0.020367417902684426
0.16,0.5,0.032153661218990916
0.18,0.84,0.0750271350454127
0.92,0.3,0.06279465639895468
0.18,0.84,0.0750271350454127
0.24,0.38,0.015254419293762797
0.08,0.78,0.011593395031318352
0.2,0.14,0.03351382603787849
0.12,0.38,0.008299618177372639
0.56,0.14,0.001354087877297463
0.52,0.64,0.07760181445678464
0.02,0.46,0.007983167263158657
0.6,0.1,0.001534129848337476
0.28,0.04,0.017675774309458017
0.62,0.52,0.012156051938475368
0.06,0.48,0.014907002097823743
0.84,0.76,0.18409032450306284
0.8,0.08,0.05618506702093246
0.26,0.6,0.05922034214659865
0.8,0.52,0.022781186209861755
0.96,0.34,0.04475131542777732
0.8,0.68,0.11043355620209612
0.8,0.24,0.042528827591128845
0.74,0.02,0.014882012544126017
0.1,0.22,0.029824609372040227
0.12,0.66,0.03430481917163514
0.02,0.56,0.015081576874121138
0.72,0.62,0.04569763802894783
0.1,0.78,0.016660652826279605
0.58,0.12,0.001391811511255455
0.42,0.76,0.6346576375786822
0.24,0.6,0.055722721821168775
0.38,0.92,0.8043037951490061
0.7000000000000001,0.96,0.3059357059360811
0.34,0.8,0.6070895863025313
0.56,0.72,0.18558807341305164
0.72,0.62,0.04569763802894783
0.78,0.24,0.03145355245468972
0.68,0.86,0.33624556646649684
0.52,0.06,0.0012801797311125488
0.08,0.1,0.08883265695486808
0.68,0.1,0.005808942339226333
0.36,0.26,0.005946870989835243
0.06,0.34,0.009005404112750528
0.66,0.5,0.01111713364133494
0.16,0.96,0.020965750192287448
0.3,0.68,0.15821710991145294
0.64,0.44,0.005277416581851651
0.96,0.56,0.02013616938707117
0.92,0.3,0.06279465639895468
0.0,0.62,0.011195904580900399
0.22,0.28,0.006191436866154616
0.22,0.5,0.0394571615285769
0.78,0.12,0.04620599302473109
0.72,0.68,0.09480357461192289
0.36,0.64,0.1218009215784598
0.56,0.74,0.2291898365437346
