X,Y,f_H_train
1.0,0.72,0.8184775922721353
0.62,0.08,0.305546775377132
0.56,0.5,0.5
0.68,0.22,0.25017417605093173
0.52,0.7000000000000001,0.520845674171833
0.84,0.04,0.03550599597201256
0.68,0.18,0.22790040815883664
0.34,0.46,0.5336562710733127
0.26,0.04,0.8663428424550654
0.16,0.9,0.018973620587061688
0.98,0.08,0.032095306648600254
0.46,0.08,0.5645505343806295
0.52,0.72,0.5227534409840953
0.26,0.3,0.7443470990489127
0.8200000000000001,0.46,0.4394988900167781
1.0,0.48,0.4706753867399076
0.68,0.66,0.6513667703697271
0.7000000000000001,0.2,0.21052935118661784
0.62,0.92,0.6944532246228681
0.3,0.8,0.21052935118661784
0.48,0.44,0.5062968534719414
0.16,0.76,0.11011399073675084
0.3,0.54,0.45827754846103913
0.66,0.86,0.7552699539185606
0.42,0.34,0.5674708674048465
0.62,0.26,0.35193209923375496
0.72,0.58,0.5912958957746453
0.48,0.52,0.49790492055521196
0.68,0.3,0.31235613631696524
0.56,0.08,0.403067579039739
0.34,0.9400000000000001,0.24414747500962544
0.96,0.9,0.9828155210477983
0.52,1.0,0.5293246132600925
0.02,0.6,0.34737943376985153
0.8200000000000001,0.3,0.19923664675998035
0.78,0.9400000000000001,0.9222760894550567
0.26,0.18,0.8543241149153159
0.04,0.96,0.03377834527068591
0.66,0.72,0.6826243618092731
0.16,0.74,0.13501469309111375
0.84,0.42,0.3750637950598467
1.0,0.22,0.11153606573400875
0.08,0.52,0.46774879333109715
0.52,0.32,0.48114098884486395
0.8200000000000001,0.72,0.8282887927593281
0.96,0.24,0.10866383889087144
0.7000000000000001,0.02,0.19756825283441243
0.14,1.0,0.054836170278821636
0.0,0.8,0.0927877046994051
0.78,0.62,0.6673355009365266
0.54,0.34,0.46634372892668724
0.42,0.6,0.4577909286238824
0.28,0.78,0.19858456019948795
0.38,0.04,0.6884367693522003
0.88,0.92,0.9959305573628511
0.1,0.9,0.0
0.08,0.1,0.9982309731188264
0.2,0.72,0.1840374041103092
0.56,0.02,0.40864443234279485
0.8200000000000001,0.52,0.5302280038498401
0.44,0.96,0.40606670428497993
0.66,0.98,0.7439627703629925
0.52,0.32,0.48114098884486395
0.96,0.54,0.5625533167795743
0.7000000000000001,0.34,0.33268781434965733
0.48,0.34,0.5168155905215209
0.08,0.04,0.9811072937770355
0.4,0.38,0.5634265090068936
1.0,0.9400000000000001,0.9461797721203227
0.22,0.84,0.08752032783601392
0.52,0.96,0.5312533423098784
0.56,0.28,0.43161353178479983
0.38,0.6,0.43657349099310633
0.24,0.68,0.26385843937618003
0.5,0.58,0.5
0.54,0.9400000000000001,0.5638016563679373
0.36,0.04,0.7198037432500703
0.06,0.14,0.9839111809354735
0.2,0.9400000000000001,0.05734367989021533
0.9,0.14,0.008670515399981616
0.1,0.18,0.966975636854763
0.0,0.66,0.26463389490532147
0.18,0.8200000000000001,0.06386750916817707
0.16,0.08,0.9793244822214681
0.72,0.02,0.16989012424711128
0.32,0.72,0.2951832335502678
0.7000000000000001,0.78,0.7761432019373783
0.14,1.0,0.054836170278821636
0.54,0.88,0.5644806296987177
0.38,0.22,0.6673355009365266
0.0,0.24,0.8671857385821794
0.56,0.56,0.5189254702229742
0.42,0.7000000000000001,0.416358826874837
0.7000000000000001,0.16,0.19018703450232116
0.32,0.34,0.6513667703697271
0.52,0.3,0.47915432582816697
0.1,0.22,0.9287495341392618
0.6,0.52,0.5105196581555058
0.74,0.64,0.6727151179437293
0.78,0.72,0.801415439800512
0.3,0.38,0.6256854853142295
0.0,0.76,0.13281426141782068
0.54,0.72,0.545540831684219
0.72,0.0,0.18152240772786468
1.0,0.3,0.2082252251791087
0.48,0.6,0.4894803418444942
0.34,0.54,0.46634372892668724
0.24,0.16,0.8898860092632491
0.06,0.2,0.9426563201097847
0.38,0.9,0.304856346640164
0.98,0.56,0.5913555676572051
0.44,0.64,0.4557144336721882
0.98,0.12,0.03260202172180027
0.52,0.24,0.4737666346526131
0.46,0.6,0.4789449876275731
0.18,0.48,0.5302280038498401
0.34,0.08,0.7588556183482046
0.58,0.0,0.38233793571281954
0.8,0.12,0.052632958364073015
0.52,0.34,0.48318440947847907
0.54,0.9400000000000001,0.5638016563679373
0.34,0.52,0.48318440947847907
0.9,0.4,0.33748764585764407
0.58,0.06,0.37209655259687807
0.48,0.9400000000000001,0.46812295320117225
0.74,0.96,0.8663428424550654
0.66,0.8,0.7335074346034831
0.22,0.38,0.6673355009365266
0.06,0.98,0.03752366661879369
0.88,0.62,0.694242642465115
0.24,0.62,0.3418303371753277
0.56,0.08,0.403067579039739
0.38,0.86,0.30824033874349427
0.8200000000000001,0.92,0.9653234519458646
0.32,0.6,0.40530652620527474
0.9400000000000001,0.04,0.02447423513690083
0.34,0.18,0.7426169261916943
0.88,0.46,0.4355193703012823
0.52,0.9400000000000001,0.5318770467988276
0.16,0.8,0.06761289980726366
0.9,0.92,0.9982309731188264
0.36,0.2,0.7046103982640002
0.88,0.04,0.01941371898698949
0.76,0.04,0.1086638388908715
0.64,0.92,0.7268216909369023
0.38,0.5,0.5
0.68,0.08,0.20968839971747333
1.0,0.98,0.9254452962326546
0.8,0.96,0.9339953316670172
0.46,0.18,0.5605011099832219
0.5,0.62,0.5
0.08,0.24,0.9038308377967087
0.86,0.5,0.5
0.14,0.48,0.5318044634021207
0.4,0.14,0.6596942224037988
0.68,0.0,0.23603234475526536
0.8,0.08,0.052147959211776916
0.18,1.0,0.07690171381026704
0.52,0.2,0.4709069612621198
0.92,0.38,0.305546775377132
0.12,0.34,0.7585752919367295
0.28,0.86,0.15459019568387206
0.18,0.46,0.5605011099832219
0.08,0.22,0.9272325952368957
1.0,0.78,0.8884639342659912
0.32,0.4,0.5946934737947253
0.12,0.88,0.004606508181151843
0.26,0.78,0.1746804603609408
0.62,0.3,0.3743145146857704
0.84,0.86,0.9726848861519437
0.88,0.74,0.8776301303152344
0.68,0.36,0.36736518594417655
0.42,0.88,0.37073541192051684
0.5,0.98,0.5
0.78,1.0,0.8884639342659912
0.4,0.88,0.33823799258472426
0.22,0.54,0.4444514431311063
