X,Y,f_L
0.0,0.0,0.6767195849021153
0.0,0.02,0.696078656916668
0.0,0.04,0.7131369791616698
0.0,0.06,0.7277548353386308
0.0,0.08,0.7398183617303469
0.0,0.1,0.7492411220023091
0.0,0.12,0.7559651393302438
0.0,0.14,0.7599613678821003
0.0,0.16,0.7612296020164885
0.0,0.18,0.7597978377277954
0.0,0.2,0.7557211162558987
0.0,0.22,0.7490798938104997
0.0,0.24,0.7399779935283217
0.0,0.26,0.7285402056673084
0.0,0.28,0.7149096093350144
0.0,0.3,0.6992446935584874
0.0,0.32,0.6817163571661832
0.0,0.34,0.6625048658304046
0.0,0.36,0.6417968408912907
0.0,0.38,0.6197823485354684
0.0,0.4,0.596652149906258
0.0,0.42,0.5725951632149864
0.0,0.44,0.5477961783826193
0.0,0.46,0.5224338536611082
0.0,0.48,0.49667901254874447
0.0,0.5,0.4706932485752919
0.0,0.52,0.44462783559026425
0.0,0.54,0.4186229323728078
0.0,0.56,0.39280706294613765
0.0,0.58,0.36729684808960966
0.0,0.6,0.34219695927666294
0.0,0.62,0.3176002636231321
0.0,0.64,0.2935881273283883
0.0,0.66,0.27023084538767683
0.0,0.68,0.24758816685356813
0.0,0.7000000000000001,0.22570988739788728
0.0,0.72,0.20463648412349397
0.0,0.74,0.1843997712440117
0.0,0.76,0.16502355914476055
0.0,0.78,0.14652430323681112
0.0,0.8,0.12891173272616344
0.0,0.8200000000000001,0.11218945278685875
0.0,0.84,0.09635551653677166
0.0,0.86,0.08140296559628565
0.0,0.88,0.0673203398317741
0.0,0.9,0.054092158153029604
0.0,0.92,0.04169937298286694
0.0,0.9400000000000001,0.030119801308859582
0.0,0.96,0.019328535139690007
0.0,0.98,0.009298333810068246
0.0,1.0,0.0
0.02,0.0,0.696078656916668
0.02,0.02,0.716353658106638
0.02,0.04,0.7343184975828262
0.02,0.06,0.7498292330468487
0.02,0.08,0.7627677119452101
0.02,0.1,0.7730431628854205
0.02,0.12,0.7805932446681366
0.02,0.14,0.7853845355561491
0.02,0.16,0.7874124617870115
0.02,0.18,0.7867006805110497
0.02,0.2,0.783299947681511
0.02,0.22,0.7772865153626304
0.02,0.24,0.7687601149480369
0.02,0.26,0.7578415924827135
0.02,0.28,0.7446702693540147
0.02,0.3,0.7294011058812755
0.02,0.32,0.7122017467378474
0.02,0.34,0.6932495257593336
0.02,0.36,0.6727285037216836
0.02,0.38,0.6508266064118908
0.02,0.4,0.6277329221476852
0.02,0.42,0.6036352082794435
0.02,0.44,0.5787176456146154
0.02,0.46,0.5531588686416092
0.02,0.48,0.5271302883828857
0.02,0.5,0.5007947141264711
0.02,0.52,0.4743052705658017
0.02,0.54,0.44780459834265623
0.02,0.56,0.42142431887741216
0.02,0.58,0.39528473883730214
0.02,0.6,0.3694947657006209
0.02,0.62,0.3441520036026061
0.02,0.64,0.31934299790119713
0.02,0.66,0.29514359751883507
0.02,0.68,0.27161940589173816
0.02,0.7000000000000001,0.24882629404951925
0.02,0.72,0.2268109526976583
0.02,0.74,0.20561146392414334
0.02,0.76,0.1852578770533993
0.02,0.78,0.1657727770041585
0.02,0.8,0.14717183708594211
0.02,0.8200000000000001,0.12946435134434894
0.02,0.84,0.11265374423487569
0.02,0.86,0.09673805750873482
0.02,0.88,0.08171041571373526
0.02,0.9,0.06755947266728936
0.02,0.92,0.054269841696341456
0.02,0.9400000000000001,0.04182251243338648
0.02,0.96,0.03019525659752854
0.02,0.98,0.019363024571729344
0.02,1.0,0.009298333810068246
0.04,0.0,0.7131369791616698
0.04,0.02,0.7343184975828262
0.04,0.04,0.7531929749371642
0.04,0.06,0.76961260060806
0.04,0.08,0.7834551335989844
0.04,0.1,0.794625503134328
0.04,0.12,0.8030568703378673
0.04,0.14,0.8087111343704437
0.04,0.16,0.8115788827575153
0.04,0.18,0.8116788017258285
0.04,0.2,0.8090565775769534
0.04,0.22,0.8037833338799485
0.04,0.24,0.7959536610647735
0.04,0.26,0.7856833044366438
0.04,0.28,0.773106583417261
0.04,0.3,0.7583736187845576
0.04,0.32,0.7416474457909519
0.04,0.34,0.7231010893814298
0.04,0.36,0.702914673516282
0.04,0.38,0.6812726301424249
0.04,0.4,0.6583610650497133
0.04,0.42,0.634365328153271
0.04,0.44,0.6094678251536683
0.04,0.46,0.5838460965466773
0.04,0.48,0.5576711790696113
0.04,0.5,0.5311062543282847
0.04,0.52,0.5043055799340407
0.04,0.54,0.477413690305705
0.04,0.56,0.45056484758300636
0.04,0.58,0.4238827179919665
0.04,0.6,0.39748024554517386
0.04,0.62,0.37145969311227856
0.04,0.64,0.34591282054505795
0.04,0.66,0.3209211705115147
0.04,0.68,0.29655643476244586
0.04,0.7000000000000001,0.2728808764693514
0.04,0.72,0.24994778776862134
0.04,0.74,0.227801965460353
0.04,0.76,0.20648019169430074
0.04,0.78,0.18601171021230134
0.04,0.8,0.16641869212540908
0.04,0.8200000000000001,0.14771668814749844
0.04,0.84,0.12991506659362548
0.04,0.86,0.1130174382347548
0.04,0.88,0.09702207027666987
0.04,0.9,0.08192229233317623
0.04,0.92,0.06770689735553663
0.04,0.9400000000000001,0.05436054014725778
0.04,0.96,0.04186413543589695
0.04,0.98,0.030195256597528496
0.04,1.0,0.019328535139690028
0.06,0.0,0.7277548353386308
0.06,0.02,0.7498292330468487
0.06,0.04,0.76961260060806
0.06,0.06,0.7869536484577482
0.06,0.08,0.8017262762999863
0.06,0.1,0.8138311751977393
0.06,0.12,0.823196897433927
0.06,0.14,0.8297803784538271
0.06,0.16,0.8335669114204166
0.06,0.18,0.8345695908214601
0.06,0.2,0.8328282565436407
0.06,0.22,0.8284079833063779
0.06,0.24,0.82139717183339
0.06,0.26,0.8119053072389077
0.06,0.28,0.8000604565388266
0.06,0.3,0.7860065808126876
0.06,0.32,0.7699007383186622
0.06,0.34,0.7519102529070405
0.06,0.36,0.7322099176126396
0.06,0.38,0.7109792966603754
0.06,0.4,0.6884001807003286
0.06,0.42,0.6646542403664003
0.06,0.44,0.6399209127251791
0.06,0.46,0.614375544352998
0.06,0.48,0.5881878041326417
0.06,0.5,0.5615203688360769
0.06,0.52,0.5345278755316812
0.06,0.54,0.5073561271211161
0.06,0.56,0.4801415310815785
0.06,0.58,0.45301074688089177
0.06,0.6,0.4260805145721396
0.06,0.62,0.3994576357031296
0.06,0.64,0.3732390777616603
0.06,0.66,0.34751217472796414
0.06,0.68,0.32235489868431483
0.06,0.7000000000000001,0.29783618057531913
0.06,0.72,0.2740162618478921
0.06,0.74,0.25094706256097316
0.06,0.76,0.2286725553960482
0.06,0.78,0.2072291386073466
0.06,0.8,0.18664600415294305
0.06,0.8200000000000001,0.16694549991889554
0.06,0.84,0.14814348701007116
0.06,0.86,0.13024969450247564
0.06,0.88,0.11326807484483185
0.06,0.9,0.09719716331096954
0.06,0.92,0.08203044461790954
0.06,0.9400000000000001,0.0677567291368473
0.06,0.96,0.05436054014725782
0.06,0.98,0.04182251243338652
0.06,1.0,0.030119801308859582
0.08,0.0,0.7398183617303469
0.08,0.02,0.7627677119452101
0.08,0.04,0.7834551335989844
0.08,0.06,0.8017262762999863
0.08,0.08,0.8174514375555662
0.08,0.1,0.8305271584815759
0.08,0.12,0.8408772972231899
0.08,0.14,0.8484535654924628
0.08,0.16,0.8532355296288279
0.08,0.18,0.8552300932189665
0.08,0.2,0.8544704929610883
0.08,0.22,0.8510148525661768
0.08,0.24,0.8449443505739487
0.08,0.26,0.8363610666435448
0.08,0.28,0.8253855768952353
0.08,0.3,0.8121543720944268
0.08,0.32,0.7968171728788687
0.08,0.34,0.7795342139575443
0.08,0.36,0.7604735644955544
0.08,0.38,0.7398085450842089
0.08,0.4,0.7177152931995319
0.08,0.42,0.6943705193499282
0.08,0.44,0.6699494857069503
0.08,0.46,0.6446242284046806
0.08,0.48,0.6185620343607592
0.08,0.5,0.5919241738448304
0.08,0.52,0.564864881460084
0.08,0.54,0.5375305709908563
0.08,0.56,0.5100592638936805
0.08,0.58,0.48258020716675065
0.08,0.6,0.45521365392811175
0.08,0.62,0.42807077918650743
0.08,0.64,0.4012537038486122
0.08,0.66,0.3748556017625133
0.08,0.68,0.34896086729898135
0.08,0.7000000000000001,0.3236453243455136
0.08,0.72,0.29897646135410577
0.08,0.74,0.27501368097396406
0.08,0.76,0.2518085565717848
0.08,0.78,0.22940509138822887
0.08,0.8,0.20783997903779872
0.08,0.8200000000000001,0.18714286641770458
0.08,0.84,0.167336621787045
0.08,0.86,0.14843761179666518
0.08,0.88,0.13045599162196064
0.08,0.9,0.11339601214196798
0.08,0.92,0.09725634741302189
0.08,0.9400000000000001,0.08203044461790952
0.08,0.96,0.06770689735553664
0.08,0.98,0.054269841696341546
0.08,1.0,0.04169937298286696
0.1,0.0,0.7492411220023091
0.1,0.02,0.7730431628854205
0.1,0.04,0.794625503134328
0.1,0.06,0.8138311751977393
0.1,0.08,0.8305271584815759
0.1,0.1,0.8446059607268753
0.1,0.12,0.855986690257511
0.1,0.14,0.8646156057585724
0.1,0.16,0.8704661459351366
0.1,0.18,0.8735384566594179
0.1,0.2,0.8738584474402384
0.1,0.22,0.8714764216950659
0.1,0.24,0.8664653359052059
0.1,0.26,0.8589187509254548
0.1,0.28,0.8489485442559862
0.1,0.3,0.8366824548502915
0.1,0.32,0.8222615320435249
0.1,0.34,0.805837557581793
0.1,0.36,0.7875705047710532
0.1,0.38,0.7676260917982336
0.1,0.4,0.7461734777365788
0.1,0.42,0.7233831401119406
0.1,0.44,0.6994249626797238
0.1,0.46,0.6744665517424081
0.1,0.48,0.648671789393947
0.1,0.5,0.6221996229263376
0.1,0.52,0.5952030816203175
0.1,0.54,0.5678285055267966
0.1,0.56,0.5402149657957547
0.1,0.58,0.5124938526974921
0.1,0.6,0.4847886056882555
0.1,0.62,0.45721455959614715
0.1,0.64,0.42987888207100283
0.1,0.66,0.40288057962585466
0.1,0.68,0.376310552632712
0.1,0.7000000000000001,0.350251683237963
0.1,0.72,0.3247789440481982
0.1,0.74,0.2999595193368419
0.1,0.76,0.27585293419661194
0.1,0.78,0.2525111903142165
0.1,0.8,0.22997890972192758
0.1,0.8200000000000001,0.20829348988796734
0.1,0.84,0.18748527479880633
0.1,0.86,0.16757774726592098
0.1,0.88,0.14858774760565974
0.1,0.9,0.1305257231782245
0.1,0.92,0.11339601214196798
0.1,0.9400000000000001,0.09719716331096954
0.1,0.96,0.08192229233317626
0.1,0.98,0.06755947266728936
0.1,1.0,0.054092158153029604
0.12,0.0,0.7559651393302438
0.12,0.02,0.7805932446681366
0.12,0.04,0.8030568703378673
0.12,0.06,0.823196897433927
0.12,0.08,0.8408772972231899
0.12,0.1,0.855986690257511
