X,Y,f_L_train
0.78,0.22,0.4079800966734329
0.52,0.86,0.7075918697784135
0.3,0.64,0.7259879762498553
0.7000000000000001,0.02,0.24882629404951925
0.18,0.28,0.9234032475753541
0.24,0.92,0.25180855657178475
0.86,1.0,0.7599613678821003
0.22,0.76,0.4360619515501589
0.66,0.52,0.9416520129117953
0.28,0.72,0.5820018220505141
0.78,0.88,0.8896842279311364
0.3,0.34,0.972745867807499
0.7000000000000001,0.16,0.43413881983325675
0.42,0.44,0.994841951163365
0.1,0.14,0.8646156057585724
0.02,0.14,0.7853845355561491
0.38,0.1,0.7676260917982336
0.56,0.42,0.9478224692807997
0.36,0.14,0.8377555047092893
0.24,0.06,0.82139717183339
0.58,0.66,0.9717161385631011
0.18,0.62,0.5770749236906723
0.04,0.04,0.7531929749371642
0.02,0.0,0.696078656916668
0.84,0.24,0.35294600738750387
0.84,0.48,0.6850015510320719
0.86,0.26,0.35227214953006164
0.14,0.1,0.8646156057585724
0.96,0.78,0.8037833338799486
0.36,0.28,0.9600759828637199
0.44,0.66,0.8739642171869486
0.04,0.56,0.45056484758300636
0.8,0.0,0.12891173272616344
0.7000000000000001,0.28,0.6114472233371815
0.24,0.42,0.8960743372391848
0.68,0.76,0.9500031665801834
0.36,0.06,0.7322099176126396
0.04,0.62,0.37145969311227856
0.68,0.04,0.29655643476244586
0.3,0.72,0.6114472233371815
0.78,0.08,0.22940509138822887
0.18,0.9400000000000001,0.1669454999188956
0.46,0.78,0.7452980796007228
0.28,0.04,0.773106583417261
0.4,0.42,0.9923507694121175
0.84,0.12,0.20857307799036587
0.56,0.08,0.5100592638936805
0.4,0.02,0.6277329221476852
0.52,0.92,0.6185620343607592
0.56,0.04,0.45056484758300636
0.06,0.18,0.8345695908214601
0.08,0.28,0.8253855768952353
0.38,0.96,0.3714596931122786
0.96,0.52,0.5576711790696113
0.32,0.56,0.8512757285401523
0.44,0.88,0.5704977030475274
0.84,0.8200000000000001,0.9134671142254446
0.04,0.56,0.45056484758300636
0.74,0.0,0.1843997712440117
0.0,0.54,0.4186229323728078
0.92,0.68,0.7968171728788687
0.22,0.34,0.9294211001802087
0.46,0.98,0.44780459834265635
0.66,0.86,0.8539818069580418
0.96,0.16,0.12991506659362548
