,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,0.84,0.04,0.03550599597201256
1,0,1,1.0,0.54,1.0,0.5586929808821525
2,0,1,2.0,0.0,0.0,0.9104536202640268
3,0,1,3.0,0.0,0.1,0.953019657555843
4,0,2,0.0,1.0,0.56,0.5881364156760349
5,0,2,1.0,1.0,0.64,0.7062390543712065
6,0,2,2.0,0.52,0.42,0.4915937042329259
7,0,2,3.0,0.0,0.88,0.04907200999241173
8,0,3,3.0,0.14,0.56,0.4044102855884103
9,0,4,1.0,1.0,1.0,0.9104536202640268
10,0,4,3.0,0.24,1.0,0.13281426141782066
11,0,5,0.0,0.6,0.02,0.34737943376985153
12,0,6,2.0,0.28,0.12,0.8498823093662861
13,0,9,0.0,0.7000000000000001,0.6,0.6046687593896602
14,0,9,1.0,0.64,0.72,0.6600242127877279
15,0,12,1.0,0.8,1.0,0.9072122953005948
16,0,21,0.0,1.0,0.0,0.08954637973597337
17,0,24,0.0,1.0,0.22,0.11153606573400876
18,0,26,1.0,0.84,0.8200000000000001,0.9492551997405956
19,0,32,0.0,0.7000000000000001,0.26,0.2556529009510872
20,0,35,3.0,0.0,0.5,0.5
21,1,1,0.0,0.0,0.14,0.9451638297211784
22,1,1,1.0,0.54,0.0,0.4413070191178475
23,1,1,2.0,0.74,0.0,0.1562651741665987
24,1,1,3.0,0.0,0.0,0.9104536202640268
25,1,2,0.0,1.0,1.0,0.9104536202640268
26,1,2,1.0,0.7000000000000001,0.22,0.22385679806262165
27,1,2,2.0,1.0,0.84,0.9358288113539526
28,1,2,3.0,0.94,0.78,0.9222760894550568
29,1,3,0.0,0.0,1.0,0.08954637973597337
30,1,4,0.0,0.34,0.66,0.3650341946264119
31,1,4,2.0,1.0,0.32,0.23603234475526536
32,1,4,3.0,0.3,0.56,0.43734740889639706
33,1,5,3.0,0.0,0.64,0.2937609456287935
34,1,7,1.0,1.0,0.0,0.08954637973597337
35,1,9,0.0,0.52,1.0,0.5293246132600925
36,1,9,2.0,0.7000000000000001,1.0,0.7917747748208913
37,1,14,1.0,0.62,0.52,0.5126319290333077
38,1,20,0.0,0.22,1.0,0.11153606573400876
39,1,22,1.0,0.42,0.22,0.6113584243146755
40,1,24,2.0,1.0,0.56,0.5881364156760349
41,1,25,3.0,0.22,0.0,0.8884639342659912
42,1,26,3.0,0.0,0.42,0.6176620642871805
43,1,30,3.0,0.16,0.28,0.8381666128162021
44,1,49,2.0,0.64,0.8,0.7046103982640002
45,2,1,0.0,0.28,0.06,0.8461980904298149
46,2,1,1.0,0.0,0.0,0.9104536202640268
47,2,1,2.0,0.0,0.72,0.18152240772786468
48,2,1,3.0,0.28,0.0,0.8184775922721355
49,2,2,0.0,0.66,0.4,0.4155667989538879
50,2,2,2.0,1.0,1.0,0.9104536202640268
51,2,2,3.0,1.0,0.46,0.4413070191178475
52,2,3,0.0,0.36,0.6,0.4260155852335688
53,2,3,1.0,0.0,0.4,0.6472425820443278
54,2,3,2.0,0.44,1.0,0.4118635843239651
55,2,3,3.0,1.0,0.0,0.08954637973597337
56,2,5,0.0,0.56,0.0,0.4118635843239651
57,2,6,2.0,0.0,1.0,0.08954637973597337
58,2,7,1.0,0.16,0.8,0.06761289980726366
59,2,7,2.0,0.74,0.76,0.8075000917737454
60,2,7,3.0,0.84,0.6,0.6563454586459413
61,2,10,2.0,0.74,1.0,0.8437348258334012
62,2,13,3.0,1.0,0.74,0.8437348258334012
63,2,14,0.0,0.8,0.12,0.052632958364073015
64,2,16,1.0,0.24,0.4,0.6317210363595182
65,2,17,3.0,1.0,0.2,0.0927877046994051
66,2,18,2.0,0.2,1.0,0.0927877046994051
67,2,24,1.0,0.0,0.18,0.9230982861897328
68,2,27,3.0,0.6,0.6,0.5528205304977811
69,3,1,0.0,0.34,0.0,0.7353661050946785
70,3,1,1.0,0.0,0.0,0.9104536202640268
71,3,1,2.0,0.18,0.06,0.9599250380474208
72,3,1,3.0,0.0,0.44,0.5881364156760349
73,3,2,0.0,1.0,0.84,0.9358288113539526
74,3,2,2.0,0.48,0.46,0.5041932848937816
75,3,2,3.0,1.0,1.0,0.9104536202640268
76,3,3,0.0,1.0,0.0,0.08954637973597337
77,3,3,3.0,0.18,1.0,0.07690171381026703
78,3,4,0.0,1.0,0.38,0.3231921779614619
79,3,4,3.0,0.6,1.0,0.6472425820443278
80,3,6,0.0,0.74,0.22,0.1746804603609409
81,3,6,1.0,0.0,0.78,0.1115360657340088
82,3,6,2.0,0.7000000000000001,0.16,0.1901870345023212
83,3,6,3.0,0.26,0.7000000000000001,0.2556529009510872
84,3,8,1.0,0.26,0.36,0.6727151179437294
85,3,8,3.0,0.7000000000000001,0.68,0.6876438636830348
86,3,18,2.0,0.78,0.0,0.1115360657340088
87,3,25,1.0,0.0,0.2,0.9072122953005948
88,3,25,3.0,0.0,1.0,0.08954637973597337
89,3,26,0.0,0.8200000000000001,1.0,0.9230982861897329
90,3,29,1.0,0.4,0.2,0.6460798171586061
91,3,43,3.0,0.48,0.8200000000000001,0.4697719961501599
92,4,1,0.0,0.0,0.66,0.2646338949053215
93,4,1,1.0,0.38,0.0,0.6768078220385381
94,4,1,2.0,0.0,0.0,0.9104536202640268
95,4,1,3.0,0.0,0.74,0.1562651741665987
96,4,2,0.0,0.56,0.58,0.5252654918737092
97,4,2,1.0,1.0,0.84,0.9358288113539526
98,4,2,2.0,0.24,0.28,0.7849053441533678
99,4,2,3.0,1.0,1.0,0.9104536202640268
100,4,3,0.0,0.28,0.76,0.21509465584663226
101,4,3,1.0,1.0,0.0,0.08954637973597337
102,4,3,3.0,0.46,1.0,0.4413070191178475
103,4,4,0.0,0.1,1.0,0.04698034244415699
104,4,4,1.0,1.0,0.38,0.3231921779614619
105,4,4,2.0,0.5,0.2,0.5
106,4,5,1.0,0.72,0.0,0.18152240772786468
107,4,7,1.0,0.78,0.34,0.2772434237049051
108,4,9,2.0,0.0,0.26,0.8437348258334012
109,4,11,0.0,0.32,0.5,0.5
110,4,17,0.0,0.52,0.8,0.5290930387378802
111,4,19,2.0,0.16,0.0,0.9358288113539526
112,4,20,3.0,0.76,1.0,0.8671857385821794
113,4,27,3.0,0.86,0.62,0.6917596612565058
114,4,29,0.0,0.0,1.0,0.08954637973597337
115,4,40,1.0,1.0,0.16,0.06417118864604733
116,5,1,0.0,0.0,0.0,0.9104536202640268
117,5,1,1.0,0.9,0.06,0.007549214831452621
118,5,1,2.0,0.84,0.94,0.97376363645737
119,5,1,3.0,0.0,0.96,0.0625501559845609
120,5,2,0.0,0.4,0.48,0.5105196581555058
121,5,2,1.0,0.66,0.42,0.4325291325951535
122,5,2,2.0,0.7000000000000001,0.48,0.4791543258281669
123,5,2,3.0,0.44,0.54,0.4873968977129075
124,5,3,1.0,0.52,0.0,0.4706753867399076
125,5,3,2.0,1.0,0.48,0.4706753867399076
126,5,4,0.0,0.0,0.54,0.4413070191178475
127,5,4,2.0,1.0,1.0,0.9104536202640268
128,5,4,3.0,0.42,1.0,0.3823379357128194
129,5,5,2.0,1.0,0.76,0.8671857385821794
130,5,6,0.0,0.0,0.26,0.8437348258334012
131,5,8,0.0,0.24,0.0,0.8671857385821794
132,5,8,1.0,1.0,0.0,0.08954637973597337
133,5,12,1.0,1.0,0.22,0.11153606573400876
134,5,23,1.0,0.46,0.18,0.5605011099832219
135,5,27,2.0,0.62,1.0,0.6768078220385381
136,5,39,2.0,0.56,0.8200000000000001,0.5908515958500964
137,6,1,0.0,0.4,0.94,0.33994132720601555
138,6,1,1.0,0.36,0.04,0.7198037432500703
139,6,1,2.0,0.0,0.0,0.9104536202640268
