,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,0.0,1.0,0.08954637973597337
1,0,2,3.0,0.68,0.0,0.23603234475526536
2,0,5,3.0,0.0,0.0,0.9104536202640268
3,0,6,3.0,0.3,0.0,0.7917747748208912
4,0,7,0.0,1.0,1.0,0.9104536202640268
5,0,13,3.0,0.0,0.44,0.5881364156760349
6,0,14,1.0,1.0,0.0,0.08954637973597337
7,0,15,2.0,0.32,1.0,0.2360323447552653
8,0,18,1.0,1.0,0.5,0.5
9,0,23,0.0,0.7000000000000001,1.0,0.7917747748208913
10,0,34,0.0,1.0,0.74,0.8437348258334012
11,0,41,3.0,0.0,0.22,0.8884639342659912
12,0,46,2.0,0.0,0.74,0.1562651741665987
13,1,3,2.0,1.0,0.0,0.08954637973597337
14,1,4,1.0,0.0,1.0,0.08954637973597337
15,1,5,0.0,1.0,1.0,0.9104536202640268
16,1,6,3.0,0.0,0.0,0.9104536202640268
17,1,7,3.0,0.32,0.0,0.7639676552447346
18,1,9,3.0,0.0,0.48,0.5293246132600924
19,1,11,0.0,0.68,1.0,0.7639676552447346
20,1,12,0.0,1.0,0.62,0.6768078220385381
21,1,13,1.0,0.3,1.0,0.2082252251791087
22,1,27,2.0,0.7000000000000001,0.0,0.2082252251791087
23,1,33,1.0,0.0,0.74,0.1562651741665987
24,1,36,2.0,1.0,0.3,0.2082252251791087
25,1,40,1.0,0.34,0.68,0.3486332296302729
26,2,3,3.0,1.0,1.0,0.9104536202640268
27,2,5,0.0,0.0,0.0,0.9104536202640268
28,2,5,2.0,0.0,1.0,0.08954637973597337
29,2,5,3.0,0.66,1.0,0.7353661050946785
30,2,7,1.0,1.0,0.0,0.08954637973597337
31,2,8,2.0,0.0,0.68,0.2360323447552653
32,2,10,0.0,0.32,0.0,0.7639676552447346
33,2,12,0.0,0.0,0.32,0.7639676552447346
34,2,14,0.0,0.48,0.0,0.5293246132600925
35,2,18,1.0,1.0,0.34,0.2646338949053215
36,2,23,0.0,0.32,0.34,0.6513667703697271
37,2,24,2.0,0.32,1.0,0.2360323447552653
38,2,30,0.0,0.0,0.14,0.9451638297211784
39,2,33,3.0,1.0,0.68,0.7639676552447346
40,3,1,0.0,1.0,0.0,0.08954637973597337
41,3,2,1.0,0.0,1.0,0.08954637973597337
