X,Y,f_H
0.0,0.0,0.9104536202640267
0.0,0.02,0.9254452962326546
0.0,0.04,0.9374498440154391
0.0,0.06,0.9461797721203226
0.0,0.08,0.9514168496520102
0.0,0.1,0.953019657555843
0.0,0.12,0.9509279900075883
0.0,0.14,0.9451638297211784
0.0,0.16,0.9358288113539526
0.0,0.18,0.9230982861897329
0.0,0.2,0.9072122953005948
0.0,0.22,0.8884639342659912
0.0,0.24,0.8671857385821794
0.0,0.26,0.8437348258334012
0.0,0.28,0.8184775922721355
0.0,0.3,0.7917747748208912
0.0,0.32,0.7639676552447346
0.0,0.34,0.7353661050946785
0.0,0.36,0.7062390543712065
0.0,0.38,0.6768078220385381
0.0,0.4,0.6472425820443278
0.0,0.42,0.6176620642871805
0.0,0.44,0.5881364156760349
0.0,0.46,0.5586929808821525
0.0,0.48,0.5293246132600924
0.0,0.5,0.5
0.0,0.52,0.4706753867399076
0.0,0.54,0.44130701911784753
0.0,0.56,0.4118635843239651
0.0,0.58,0.38233793571281954
0.0,0.6,0.352757417955672
0.0,0.62,0.3231921779614619
0.0,0.64,0.2937609456287935
0.0,0.66,0.26463389490532147
0.0,0.68,0.2360323447552653
0.0,0.7000000000000001,0.2082252251791087
0.0,0.72,0.18152240772786468
0.0,0.74,0.1562651741665987
0.0,0.76,0.13281426141782068
0.0,0.78,0.1115360657340088
0.0,0.8,0.0927877046994051
0.0,0.8200000000000001,0.0769017138102671
0.0,0.84,0.06417118864604737
0.0,0.86,0.05483617027882169
0.0,0.88,0.04907200999241173
0.0,0.9,0.046980342444157046
0.0,0.92,0.04858315034798973
0.0,0.9400000000000001,0.053820227879677385
0.0,0.96,0.0625501559845609
0.0,0.98,0.0745547037673454
0.0,1.0,0.08954637973597337
0.02,0.0,0.9254452962326546
0.02,0.02,0.9409845379608531
0.02,0.04,0.9534275476833658
0.02,0.06,0.9624763333812064
0.02,0.08,0.9679046933513997
0.02,0.1,0.9695660432574172
0.02,0.12,0.9673979782781996
0.02,0.14,0.9614232840386735
0.02,0.16,0.9517473073667492
0.02,0.18,0.938551804191007
0.02,0.2,0.9220855830003375
0.02,0.22,0.9026524445884682
0.02,0.24,0.8805970701951993
0.02,0.26,0.8562896210005443
0.02,0.28,0.8301098757528889
0.02,0.3,0.8024317471655875
0.02,0.32,0.7736089822016805
0.02,0.34,0.7439627703629924
0.02,0.36,0.7137718642249009
0.02,0.38,0.6832656663499505
0.02,0.4,0.6526205662301484
0.02,0.42,0.6219596303324225
0.02,0.44,0.591355567657205
0.02,0.46,0.5608367216303815
0.02,0.48,0.5303956845777673
0.02,0.5,0.5
0.02,0.52,0.46960431542223263
0.02,0.54,0.43916327836961844
0.02,0.56,0.40864443234279485
0.02,0.58,0.3780403696675777
0.02,0.6,0.34737943376985153
0.02,0.62,0.3167343336500496
0.02,0.64,0.28622813577509915
0.02,0.66,0.2560372296370076
0.02,0.68,0.2263910177983195
0.02,0.7000000000000001,0.19756825283441243
0.02,0.72,0.16989012424711128
0.02,0.74,0.1437103789994558
0.02,0.76,0.1194029298048008
0.02,0.78,0.09734755541153188
0.02,0.8,0.07791441699966246
