,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.0,0.5,0.042943692401363975
1,0,1,0,S,1.0,0.5,0.0,0.042943692401363975
2,0,1,0,S,2.0,0.76,0.26,0.010183731850888764
3,0,1,0,S,3.0,0.72,0.74,0.32028337149993824
4,0,2,0,S,0.0,0.0,0.0,0.673584155232106
5,0,2,0,S,1.0,0.48,0.48,0.013824917143364429
6,0,2,0,S,2.0,1.0,0.5,0.042943692401363975
7,0,2,0,S,3.0,0.46,1.0,0.02677537418904204
8,0,3,0,S,0.0,0.24,0.24,0.4619564312260891
9,0,3,0,S,1.0,1.0,0.0,0.00990099157789989
10,0,3,0,S,3.0,0.94,1.0,0.7949961310613168
11,0,4,0,S,0.0,0.24,0.74,0.010183731850888764
12,0,5,0,S,0.0,0.0,1.0,0.00990099157789989
13,0,11,1,S,0.0,0.5,0.22,0.040164074964447585
14,0,11,1,S,1.0,0.24,0.0,0.5576432389641515
15,0,11,1,S,2.0,1.0,0.24,0.010034331625259546
16,0,11,1,S,3.0,0.22,1.0,0.009978977047726396
17,0,12,1,S,0.0,0.0,0.76,0.010034331625259546
18,0,12,1,S,1.0,0.0,0.24,0.5576432389641515
19,0,12,1,S,2.0,1.0,0.76,0.5576432389641515
20,0,12,1,S,3.0,0.7000000000000001,1.0,0.3741379671426681
21,0,13,1,S,1.0,0.76,0.0,0.010034331625259546
22,0,31,2,S,0.0,0.22,0.48,0.05124258966822555
23,0,31,2,S,2.0,0.74,0.5,0.03409876913910458
24,0,32,2,S,2.0,0.48,0.76,0.029554568734244988
25,0,71,3,S,0.0,0.12,0.88,0.00991104546532131
26,0,71,3,S,1.0,0.64,0.1,0.01280472478663363
27,0,71,3,S,2.0,0.88,0.38,0.014302796776665724
28,0,71,3,S,3.0,0.6,0.88,0.1722590918001245
29,0,72,3,S,1.0,0.36,0.1,0.2660615798258316
30,0,72,3,S,2.0,0.88,0.12,0.00991104546532131
31,0,72,3,S,3.0,0.34,0.88,0.011757319638420971
32,0,73,3,S,1.0,0.12,0.12,0.9842844729740324
33,0,73,3,S,2.0,0.88,0.64,0.2640204763810947
34,0,73,3,S,3.0,0.86,0.86,0.9386188023322058
