,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,0,0.76,0.76,0.461956431
1,0,1,0,M,1,1,0,0.009900992
2,0,1,0,M,2,1,0.5,0.042943692
3,0,1,0,M,3,0.24,0.24,0.461956431
4,0,2,0,M,0,0.5,1,0.042943692
5,0,2,0,M,1,0.5,0,0.042943692
6,0,2,0,M,2,1,1,0.673584155
7,0,2,0,M,3,0,0.5,0.042943692
8,0,3,0,M,0,0,1,0.009900992
9,0,3,0,M,1,0.24,0.76,0.01012108
10,0,3,0,M,3,0,0,0.673584155
11,0,4,0,M,1,0.5,0.5,0.013191055
12,0,5,0,M,1,0.76,0.24,0.01012108
13,0,9,1,M,0,0.5,0.76,0.037177973
14,0,9,1,M,1,0,0.76,0.010034332
15,0,9,1,M,2,1,0.76,0.557643239
16,0,9,1,M,3,0,0.24,0.557643239
17,0,10,1,M,0,0.24,1,0.010034332
18,0,10,1,M,1,0.5,0.24,0.037177973
19,0,10,1,M,2,0.76,1,0.557643239
20,0,10,1,M,3,0.24,0,0.557643239
21,0,11,1,M,0,1,0.24,0.010034332
22,0,11,1,M,1,0.76,0,0.010034332
23,0,12,1,M,1,0.26,0.5,0.034098769
24,0,25,2,M,0,0.76,0.5,0.037177973
25,0,57,3,M,0,0.9,0.62,0.216298597
26,0,57,3,M,1,0.1,0.9,0.009906309
27,0,57,3,M,2,0.38,0.9,0.014337643
28,0,57,3,M,3,0.38,0.1,0.216298597
29,0,58,3,M,0,0.9,0.38,0.014337643
30,0,58,3,M,1,0.12,0.62,0.014302797
31,0,58,3,M,2,0.64,0.9,0.26606158
32,0,58,3,M,3,0.1,0.1,1
33,0,59,3,M,0,0.88,0.12,0.009911045
34,0,59,3,M,1,0.12,0.38,0.214654013
35,0,59,3,M,2,0.88,0.9,0.992110806
36,0,59,3,M,3,0.64,0.1,0.012804725
37,0,121,4,M,0,1,0.1,0.009903171
38,0,121,4,M,1,0,0.9,0.009903171
39,0,121,4,M,2,1,0.9,0.820525471
40,0,121,4,M,3,0,0.1,0.820525471
41,0,122,4,M,0,0.62,0.62,0.052946741
42,0,122,4,M,1,0.38,0.64,0.011653795
43,0,123,4,M,0,0.64,0.36,0.011403075
44,1,1,0,M,0,0.24,0.76,0.01012108
45,1,1,0,M,1,0.5,0,0.042943692
46,1,1,0,M,2,0.76,0.24,0.01012108
47,1,1,0,M,3,0.76,0.76,0.461956431
48,1,2,0,M,0,0,0.5,0.042943692
49,1,2,0,M,1,0,0,0.673584155
50,1,2,0,M,2,1,0.5,0.042943692
51,1,2,0,M,3,0.5,1,0.042943692
52,1,3,0,M,0,0,1,0.009900992
53,1,3,0,M,1,0.24,0.24,0.461956431
54,1,3,0,M,2,1,0,0.009900992
55,1,3,0,M,3,1,1,0.673584155
56,1,4,0,M,1,0.5,0.5,0.013191055
57,1,9,1,M,0,0.5,0.24,0.037177973
58,1,9,1,M,1,0,0.24,0.557643239
59,1,9,1,M,2,1,0.24,0.010034332
60,1,9,1,M,3,1,0.76,0.557643239
61,1,10,1,M,0,0.76,0,0.010034332
62,1,10,1,M,1,0.24,0,0.557643239
63,1,10,1,M,2,0.5,0.76,0.037177973
64,1,10,1,M,3,0.76,1,0.557643239
65,1,11,1,M,0,0,0.76,0.010034332
66,1,11,1,M,2,0.24,1,0.010034332
67,1,12,1,M,2,0.74,0.5,0.034098769
68,1,25,2,M,0,0.24,0.5,0.037177973
69,1,57,3,M,0,0.1,0.38,0.216298597
70,1,57,3,M,1,0.62,0.1,0.014337643
71,1,57,3,M,2,0.9,0.1,0.009906309
72,1,57,3,M,3,0.62,0.9,0.216298597
73,1,58,3,M,0,0.1,0.62,0.014337643
74,1,58,3,M,1,0.36,0.1,0.26606158
75,1,58,3,M,2,0.88,0.62,0.214654013
76,1,58,3,M,3,0.9,0.9,1
77,1,59,3,M,0,0.12,0.88,0.009911045
78,1,59,3,M,1,0.12,0.1,0.992110806
79,1,59,3,M,2,0.88,0.38,0.014302797
80,1,59,3,M,3,0.36,0.9,0.012804725
81,1,121,4,M,0,0,0.9,0.009903171
82,1,121,4,M,1,0,0.1,0.820525471
83,1,121,4,M,2,1,0.1,0.009903171
84,1,121,4,M,3,1,0.9,0.820525471
85,1,122,4,M,0,0.38,0.38,0.052946741
86,1,122,4,M,2,0.62,0.36,0.011653795
87,1,123,4,M,0,0.36,0.64,0.011403075
88,2,1,0,M,0,0.24,0.24,0.461956431
89,2,1,0,M,1,0.24,0.76,0.01012108
90,2,1,0,M,2,0,0.5,0.042943692
91,2,1,0,M,3,0.5,0.5,0.013191055
92,2,2,0,M,0,0.5,0,0.042943692
93,2,2,0,M,1,0.5,1,0.042943692
94,2,2,0,M,3,0.76,0.76,0.461956431
95,2,3,0,M,0,0,0,0.673584155
96,2,3,0,M,1,0,1,0.009900992
97,2,3,0,M,3,1,1,0.673584155
98,2,4,0,M,3,1,0.5,0.042943692
99,2,5,0,M,3,1,0,0.009900992
100,2,6,0,M,3,0.76,0.24,0.01012108
101,2,9,1,M,0,0.5,0.24,0.037177973
102,2,9,1,M,1,0.5,0.76,0.037177973
103,2,9,1,M,2,0.24,0,0.557643239
104,2,9,1,M,3,0.74,0.5,0.034098769
105,2,10,1,M,0,0,0.76,0.010034332
106,2,10,1,M,1,0.76,1,0.557643239
107,2,10,1,M,2,0,0.24,0.557643239
108,2,10,1,M,3,1,0.24,0.010034332
109,2,11,1,M,0,0.76,0,0.010034332
110,2,11,1,M,1,0.24,1,0.010034332
111,2,11,1,M,3,1,0.76,0.557643239
112,2,25,2,M,0,0.24,0.5,0.037177973
113,2,57,3,M,0,0.1,0.38,0.216298597
114,2,57,3,M,1,0.62,0.9,0.216298597
115,2,57,3,M,2,0.62,0.1,0.014337643
116,2,57,3,M,3,0.9,0.1,0.009906309
117,2,58,3,M,0,0.1,0.62,0.014337643
118,2,58,3,M,1,0.9,0.9,1
119,2,58,3,M,2,0.36,0.1,0.26606158
120,2,58,3,M,3,0.88,0.38,0.014302797
121,2,59,3,M,0,0.12,0.88,0.009911045
122,2,59,3,M,1,0.36,0.9,0.012804725
123,2,59,3,M,2,0.12,0.1,0.992110806
124,2,59,3,M,3,0.88,0.62,0.214654013
125,2,121,4,M,0,0,0.9,0.009903171
126,2,121,4,M,1,1,0.9,0.820525471
127,2,121,4,M,2,0,0.1,0.820525471
