,SimNum,Iteration,Period,Fidelity,Loss
0,0,0,0,S,0.038189958
1,0,1,0,S,0.016373886
2,0,2,0,S,0.016210267
3,0,3,0,S,0.016880529
4,0,4,0,S,0.008305402
5,0,5,0,S,0.007762778
6,0,6,0,S,0.007542492
7,0,7,0,S,0.007471269
8,0,8,1,S,0.00744695
9,0,9,1,S,0.017408317
10,0,10,1,S,0.006196532
11,0,11,1,S,0.006121811
12,0,12,1,S,0.006113772
13,0,13,1,S,0.006105345
14,0,14,1,S,0.006100806
15,0,15,1,S,0.006104497
16,0,16,1,S,0.006096485
17,0,17,1,S,0.006102004
18,0,18,1,S,0.006094104
19,0,19,1,S,0.006097215
20,0,20,1,S,0.006097215
21,0,21,1,S,0.006097215
22,0,22,1,S,0.006097215
23,0,23,1,S,0.006097215
24,0,24,2,S,0.006097215
25,0,25,2,S,0.023232603
26,0,26,2,S,0.012208754
27,0,27,2,S,0.006055804
28,0,28,2,S,0.006031378
29,0,29,2,S,0.006049076
30,0,30,2,S,0.006031737
31,0,31,2,S,0.006043306
32,0,32,2,S,0.006038414
33,0,33,2,S,0.006041567
34,0,34,2,S,0.006041567
35,0,35,2,S,0.006041567
36,0,36,2,S,0.006041567
37,0,37,2,S,0.006041567
38,0,38,2,S,0.006041567
39,0,39,2,S,0.006041567
40,0,40,2,S,0.006041567
41,0,41,2,S,0.006041567
42,0,42,2,S,0.006041567
43,0,43,2,S,0.006041567
44,0,44,2,S,0.006041567
45,0,45,2,S,0.006041567
46,0,46,2,S,0.006041567
47,0,47,2,S,0.006041567
48,0,48,2,S,0.006041567
49,0,49,2,S,0.006041567
50,0,50,2,S,0.006041567
51,0,51,2,S,0.006041567
52,0,52,2,S,0.006041567
53,0,53,2,S,0.006041567
54,0,54,2,S,0.006041567
55,0,55,2,S,0.006041567
56,0,56,3,S,0.006041567
57,0,57,3,S,0.021283398
58,0,58,3,S,0.006079976
59,0,59,3,S,0.006075911
60,0,60,3,S,0.006095124
61,0,61,3,S,0.006114597
62,0,62,3,S,0.006131234
63,0,63,3,S,0.006147527
64,0,64,3,S,0.006160992
65,0,65,3,S,0.006161784
66,0,66,3,S,0.00617977
67,0,67,3,S,0.006192966
68,0,68,3,S,0.006197861
69,0,69,3,S,0.006206732
70,0,70,3,S,0.006207396
71,0,71,3,S,0.006208152
72,0,72,3,S,0.006214235
73,0,73,3,S,0.006216472
74,0,74,3,S,0.006216472
75,0,75,3,S,0.006216472
76,0,76,3,S,0.006216472
77,0,77,3,S,0.006216472
78,0,78,3,S,0.006216472
79,0,79,3,S,0.006216472
80,0,80,3,S,0.006216472
81,0,81,3,S,0.006216472
82,0,82,3,S,0.006216472
83,0,83,3,S,0.006216472
84,0,84,3,S,0.006216472
85,0,85,3,S,0.006216472
86,0,86,3,S,0.006216472
87,0,87,3,S,0.006216472
88,0,88,3,S,0.006216472
89,0,89,3,S,0.006216472
90,0,90,3,S,0.006216472
91,0,91,3,S,0.006216472
92,0,92,3,S,0.006216472
93,0,93,3,S,0.006216472
94,0,94,3,S,0.006216472
95,0,95,3,S,0.006216472
96,0,96,3,S,0.006216472
97,0,97,3,S,0.006216472
98,0,98,3,S,0.006216472
99,0,99,3,S,0.006216472
100,0,100,3,S,0.006216472
101,0,101,3,S,0.006216472
102,0,102,3,S,0.006216472
103,0,103,3,S,0.006216472
104,0,104,3,S,0.006216472
105,0,105,3,S,0.006216472
106,0,106,3,S,0.006216472
107,0,107,3,S,0.006216472
108,0,108,3,S,0.006216472
109,0,109,3,S,0.006216472
110,0,110,3,S,0.006216472
111,0,111,3,S,0.006216472
112,0,112,3,S,0.006216472
113,0,113,3,S,0.006216472
114,0,114,3,S,0.006216472
115,0,115,3,S,0.006216472
116,0,116,3,S,0.006216472
117,0,117,3,S,0.006216472
118,0,118,3,S,0.006216472
119,0,119,3,S,0.006216472
120,0,120,4,S,0.006216472
121,0,121,4,S,0.011186371
122,0,122,4,S,0.006271016
123,0,123,4,S,0.006093973
124,0,124,4,S,0.006158862
125,0,125,4,S,0.006236881
126,0,126,4,S,0.006264807
127,0,127,4,S,0.006285003
128,0,128,4,S,0.006296775
129,0,129,4,S,0.006296486
130,0,130,4,S,0.006295277
131,0,131,4,S,0.006296001
132,0,132,4,S,0.00629578
133,0,133,4,S,0.00629578
134,0,134,4,S,0.00629578
135,0,135,4,S,0.00629578
136,0,136,4,S,0.00629578
137,0,137,4,S,0.00629578
138,0,138,4,S,0.00629578
139,0,139,4,S,0.00629578
140,0,140,4,S,0.00629578
141,0,141,4,S,0.00629578
142,0,142,4,S,0.00629578
143,0,143,4,S,0.00629578
144,0,144,4,S,0.00629578
145,0,145,4,S,0.00629578
146,0,146,4,S,0.00629578
147,0,147,4,S,0.00629578
148,0,148,4,S,0.00629578
149,0,149,4,S,0.00629578
150,0,150,4,S,0.00629578
151,0,151,4,S,0.00629578
152,0,152,4,S,0.00629578
153,0,153,4,S,0.00629578
154,0,154,4,S,0.00629578
155,0,155,4,S,0.00629578
156,0,156,4,S,0.00629578
157,0,157,4,S,0.00629578
158,0,158,4,S,0.00629578
159,0,159,4,S,0.00629578
160,0,160,4,S,0.00629578
161,0,161,4,S,0.00629578
162,0,162,4,S,0.00629578
163,0,163,4,S,0.00629578
164,0,164,4,S,0.00629578
165,0,165,4,S,0.00629578
166,0,166,4,S,0.00629578
167,0,167,4,S,0.00629578
168,0,168,4,S,0.00629578
169,0,169,4,S,0.00629578
170,0,170,4,S,0.00629578
171,0,171,4,S,0.00629578
172,0,172,4,S,0.00629578
173,0,173,4,S,0.00629578
174,0,174,4,S,0.00629578
175,0,175,4,S,0.00629578
176,0,176,4,S,0.00629578
177,0,177,4,S,0.00629578
178,0,178,4,S,0.00629578
179,0,179,4,S,0.00629578
180,0,180,4,S,0.00629578
181,0,181,4,S,0.00629578
182,0,182,4,S,0.00629578
183,0,183,4,S,0.00629578
184,0,184,4,S,0.00629578
185,0,185,4,S,0.00629578
186,0,186,4,S,0.00629578
187,0,187,4,S,0.00629578
188,0,188,4,S,0.00629578
189,0,189,4,S,0.00629578
190,0,190,4,S,0.00629578
191,0,191,4,S,0.00629578
192,0,192,4,S,0.00629578
193,0,193,4,S,0.00629578
194,0,194,4,S,0.00629578
195,0,195,4,S,0.00629578
196,0,196,4,S,0.00629578
197,0,197,4,S,0.00629578
198,0,198,4,S,0.00629578
199,0,199,4,S,0.00629578
200,0,200,4,S,0.00629578
201,0,201,4,S,0.00629578
202,0,202,4,S,0.00629578
203,0,203,4,S,0.00629578
204,0,204,4,S,0.00629578
205,0,205,4,S,0.00629578
206,0,206,4,S,0.00629578
207,0,207,4,S,0.00629578
208,0,208,4,S,0.00629578
209,0,209,4,S,0.00629578
210,0,210,4,S,0.00629578
211,0,211,4,S,0.00629578
212,0,212,4,S,0.00629578
213,0,213,4,S,0.00629578
214,0,214,4,S,0.00629578
215,0,215,4,S,0.00629578
216,0,216,4,S,0.00629578
217,0,217,4,S,0.00629578
218,0,218,4,S,0.00629578
219,0,219,4,S,0.00629578
220,0,220,4,S,0.00629578
221,0,221,4,S,0.00629578
222,0,222,4,S,0.00629578
223,0,223,4,S,0.00629578
224,0,224,4,S,0.00629578
225,0,225,4,S,0.00629578
226,0,226,4,S,0.00629578
227,0,227,4,S,0.00629578
228,0,228,4,S,0.00629578
229,0,229,4,S,0.00629578
230,0,230,4,S,0.00629578
231,0,231,4,S,0.00629578
232,0,232,4,S,0.00629578
233,0,233,4,S,0.00629578
234,0,234,4,S,0.00629578
235,0,235,4,S,0.00629578
236,0,236,4,S,0.00629578
237,0,237,4,S,0.00629578
238,0,238,4,S,0.00629578
239,0,239,4,S,0.00629578
240,0,240,4,S,0.00629578
241,0,241,4,S,0.00629578
242,0,242,4,S,0.00629578
243,0,243,4,S,0.00629578
244,0,244,4,S,0.00629578
245,0,245,4,S,0.00629578
246,0,246,4,S,0.00629578
247,0,247,4,S,0.00629578
248,1,0,0,S,0.053022362
249,1,1,0,S,0.01838506
250,1,2,0,S,0.036425176
251,1,3,0,S,0.066491974
252,1,4,0,S,0.018462663
253,1,5,0,S,0.013475477
254,1,6,0,S,0.010240757
255,1,7,0,S,0.008949159
256,1,8,1,S,0.008088303
257,1,9,1,S,0.017408365
258,1,10,1,S,0.006412542
259,1,11,1,S,0.006290563
260,1,12,1,S,0.006235746
261,1,13,1,S,0.006203823
262,1,14,1,S,0.006174117
263,1,15,1,S,0.006170975
264,1,16,1,S,0.006153047
265,1,17,1,S,0.006137324
266,1,18,1,S,0.006123588
267,1,19,1,S,0.006130166
