,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.0,0.4,0.1438961927689655
1,0,1,0,S,1.0,0.48,0.4,0.01921067348337364
2,0,1,0,S,2.0,0.54,0.0,0.026775374189042026
3,0,1,0,S,3.0,0.0,0.0,0.673584155232106
4,0,2,0,S,0.0,0.24,1.0,0.010034331625259546
5,0,2,0,S,1.0,1.0,1.0,0.6735841552321062
6,0,2,0,S,2.0,1.0,0.38,0.013532939804683355
7,0,3,0,S,1.0,0.64,0.8,0.21962767024944094
8,0,3,0,S,2.0,1.0,0.0,0.00990099157789989
9,0,3,0,S,3.0,0.26,0.16,0.5620427575174811
10,0,4,0,S,0.0,0.0,0.76,0.010034331625259546
11,0,4,0,S,1.0,1.0,0.7000000000000001,0.3741379671426681
12,0,4,0,S,2.0,0.74,0.24,0.010183731850888764
13,0,6,0,S,0.0,0.3,0.66,0.010974563689726685
14,0,6,0,S,1.0,0.56,1.0,0.09020369234436296
15,0,6,0,S,2.0,0.78,0.0,0.009978977047726396
16,0,7,0,S,0.0,0.0,1.0,0.00990099157789989
17,0,7,0,S,3.0,0.22,0.0,0.6176760548179082
18,0,8,0,S,0.0,0.22,0.44,0.08344043424496718
19,0,8,0,S,1.0,0.76,0.52,0.04716133293214081
20,0,8,0,S,3.0,0.0,0.2,0.6735841552371563
21,0,9,0,S,2.0,1.0,0.18,0.009926393971022324
22,0,12,0,S,0.0,0.42,0.86,0.019464148702814137
23,0,15,0,S,0.0,0.52,0.62,0.02152487524273111
24,0,18,0,S,2.0,0.52,0.18,0.03548242892252111
25,0,20,0,S,1.0,0.8,1.0,0.6735841552371565
26,0,26,0,S,3.0,0.08,0.6,0.01651915722814797
27,0,43,0,S,1.0,0.88,0.8200000000000001,0.874101597674334
28,0,45,0,S,0.0,0.16,0.84,0.009933130587109672
29,0,52,0,S,0.0,0.64,0.44,0.01390874218376294
30,0,55,0,S,3.0,0.12,0.26,0.5985351374603773
31,0,64,0,S,0.0,0.78,0.68,0.2918722012856106
32,0,69,0,S,2.0,0.38,0.0,0.1788850220067227
33,0,83,0,S,1.0,1.0,0.54,0.07059243162992812
34,0,95,0,S,0.0,0.4,1.0,0.015362803068544288
35,0,123,0,S,2.0,0.88,0.12,0.00991104546532131
36,0,130,0,S,1.0,0.88,0.34,0.011757319638420971
37,0,135,0,S,2.0,0.34,0.28,0.1735639891095059
38,0,136,0,S,1.0,1.0,0.88,0.814066345202532
39,0,158,0,S,3.0,0.0,0.58,0.017984193517313216
40,0,181,0,S,2.0,0.68,0.08,0.01107701640006531
41,0,181,0,S,3.0,0.08,0.08,0.9842844729493864
42,0,185,0,S,2.0,0.38,0.52,0.016208462229820232
43,1,1,0,S,0.0,0.0,0.0,0.673584155232106
44,1,1,0,S,1.0,0.04,0.0,0.7642121044662616
45,1,1,0,S,2.0,0.5,0.0,0.042943692401363975
46,1,1,0,S,3.0,0.52,1.0,0.05504248467139605
47,1,2,0,S,0.0,0.0,0.66,0.011431693414498158
48,1,2,0,S,1.0,0.26,0.5,0.03409876913910458
49,1,2,0,S,2.0,1.0,0.48,0.03370369195277875
50,1,2,0,S,3.0,1.0,0.5,0.042943692401363975
51,1,3,0,S,0.0,0.08,1.0,0.009902103350805751
52,1,3,0,S,1.0,0.0,0.32,0.31781009255679465
53,1,3,0,S,3.0,1.0,1.0,0.6735841552321062
54,1,4,0,S,0.0,0.54,0.46,0.012987078364922085
55,1,4,0,S,2.0,1.0,0.0,0.00990099157789989
56,1,4,0,S,3.0,0.64,0.48,0.017584309903097558
57,1,5,0,S,2.0,0.74,0.18,0.010160670933633823
58,1,6,0,S,0.0,0.34,0.78,0.011332840627602037
59,1,6,0,S,1.0,0.32,0.22,0.2918722012856106
60,1,7,0,S,2.0,0.76,0.0,0.010034331625259546
61,1,7,0,S,3.0,0.74,0.8,0.4957047831338325
62,1,8,0,S,1.0,0.3,0.0,0.374137967142668
63,1,8,0,S,2.0,1.0,0.2,0.00994586732240386
64,1,10,0,S,1.0,0.08,0.16,0.9238775593270996
65,1,11,0,S,3.0,0.78,1.0,0.6176760548179082
66,1,15,0,S,0.0,0.0,0.86,0.00990872616035144
67,1,15,0,S,3.0,1.0,0.8,0.6735841552371565
68,1,16,0,S,1.0,0.54,0.24,0.02383970523485075
69,1,18,0,S,2.0,0.3,1.0,0.01050608403594439
70,1,25,0,S,0.0,0.16,0.78,0.010002576805355443
71,1,26,0,S,2.0,0.56,0.68,0.04717375877707446
72,1,27,0,S,2.0,0.84,0.6,0.16219377643729602
73,1,30,0,S,0.0,0.14,0.36,0.25799422281759976
74,1,36,0,S,2.0,0.84,0.36,0.0126068252796328
75,1,51,0,S,3.0,0.54,0.86,0.08169534125598323
76,1,59,0,S,3.0,0.9,0.9,1.0
77,1,88,0,S,2.0,0.9,0.08,0.009904983697683951
78,1,94,0,S,1.0,0.0,0.48,0.055042484671396025
79,1,133,0,S,2.0,0.44,0.66,0.014630053437413653
80,1,141,0,S,1.0,0.44,0.1,0.10798300293428943
81,1,143,0,S,0.0,0.0,1.0,0.00990099157789989
82,1,162,0,S,1.0,0.62,0.08,0.014302022806094371
83,1,164,0,S,0.0,0.12,0.58,0.019695849769529712
84,1,194,0,S,3.0,0.66,0.96,0.3010410893161221
85,1,201,0,S,2.0,0.92,0.72,0.5236859494610723
86,1,212,0,S,0.0,0.22,0.9,0.009998242206078938
87,2,1,0,S,0.0,0.0,0.0,0.673584155232106
88,2,1,0,S,1.0,0.0,0.64,0.012277784771448438
89,2,1,0,S,2.0,0.6,0.6,0.03699898721743803
90,2,1,0,S,3.0,0.0,0.2,0.6735841552371563
91,2,2,0,S,0.0,1.0,0.0,0.00990099157789989
92,2,2,0,S,1.0,0.34,1.0,0.011431693414498158
93,2,2,0,S,2.0,1.0,1.0,0.6735841552321062
94,2,2,0,S,3.0,0.36,0.3,0.12500344495444074
95,2,3,0,S,0.0,0.6,0.0,0.015362803068544288
96,2,3,0,S,1.0,0.0,1.0,0.00990099157789989
97,2,3,0,S,2.0,1.0,0.46,0.02677537418904204
98,2,3,0,S,3.0,0.3,0.66,0.010974563689726685
99,2,4,0,S,0.0,0.74,0.28,0.010316165350297505
100,2,4,0,S,1.0,0.14,0.84,0.009926505372376502
101,2,4,0,S,2.0,0.68,1.0,0.3178100925567947
102,2,5,0,S,0.0,0.3,0.0,0.374137967142668
103,2,5,0,S,2.0,0.92,0.74,0.5985351364324607
104,2,6,0,S,0.0,0.8,0.0,0.00994586732240386
105,2,6,0,S,1.0,0.52,0.8200000000000001,0.05841346017237434
106,2,6,0,S,2.0,1.0,0.22,0.009978977047726396
107,2,7,0,S,3.0,0.14,0.42,0.1335942350295034
108,2,13,0,S,2.0,0.8,0.52,0.05504409412933317
109,2,16,0,S,1.0,0.76,0.8200000000000001,0.5985351411574225
110,2,18,0,S,2.0,0.86,1.0,0.7949961310621264
111,2,18,0,S,3.0,0.18,0.16,0.8205254718268934
112,2,21,0,S,3.0,0.0,0.44,0.09020369234436296
113,2,23,0,S,1.0,0.58,0.44,0.012733744145167302
114,2,23,0,S,3.0,0.4,0.5,0.01684401211980624
115,2,24,0,S,1.0,0.16,1.0,0.009915131611182898
116,2,32,0,S,0.0,0.54,0.16,0.029080933393695305
117,2,34,0,S,2.0,1.0,0.86,0.7949961310621264
118,2,38,0,S,3.0,0.14,0.0,0.7949961310621263
119,2,40,0,S,0.0,0.88,0.12,0.00991104546532131
120,2,47,0,S,2.0,1.0,0.64,0.21962750953120955
121,2,67,0,S,2.0,0.9,0.34,0.011771456663567586
122,2,72,0,S,1.0,0.0,0.84,0.009915131611182898
123,2,78,0,S,3.0,0.14,0.6,0.016363551745069118
124,2,150,0,S,3.0,0.08,0.3,0.4512362286615434
125,2,203,0,S,0.0,0.7000000000000001,0.1,0.010641264395690323
126,2,224,0,S,1.0,0.5,1.0,0.042943692401363975
127,3,1,0,S,0.0,0.0,0.54,0.026775374189042026
128,3,1,0,S,1.0,0.0,0.0,0.673584155232106
129,3,1,0,S,2.0,0.14,0.52,0.038058628833050834
130,3,1,0,S,3.0,0.52,0.68,0.030878653534974026
131,3,2,0,S,0.0,0.08,1.0,0.009902103350805751
132,3,2,0,S,1.0,0.6,0.0,0.015362803068544288
133,3,2,0,S,2.0,1.0,0.0,0.00990099157789989
134,3,2,0,S,3.0,1.0,1.0,0.6735841552321062
135,3,3,0,S,0.0,0.42,1.0,0.01798419351731321
136,3,3,0,S,1.0,0.34,0.22,0.2444829965952996
137,3,3,0,S,2.0,1.0,0.5,0.042943692401363975
138,3,3,0,S,3.0,1.0,0.52,0.05504248467139605
