,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,0,1,1,0.673584155
1,0,1,0,M,1,0,0,0.673584155
2,0,1,0,M,3,1,0,0.009900992
3,0,2,0,M,0,1,0.5,0.042943692
4,0,2,0,M,2,0,1,0.009900992
5,0,3,0,M,0,0.58,0.74,0.086442934
6,0,3,0,M,1,0,0.5,0.042943692
7,0,3,0,M,2,0.5,1,0.042943692
8,0,4,0,M,2,0.36,0.46,0.029140069
9,0,5,0,M,1,0.4,0,0.143896193
10,0,5,0,M,2,0.24,0.78,0.010087459
11,0,5,0,M,3,0.52,0,0.033703692
12,0,6,0,M,2,0.74,0.32,0.010715174
13,0,7,0,M,1,0.14,0.24,0.657845378
14,0,8,0,M,3,0.48,0.24,0.047161333
15,0,9,0,M,2,0.88,0.74,0.598535137
16,0,9,0,M,3,0.78,0,0.009978977
17,0,11,0,M,1,0,0.76,0.010034332
18,0,11,0,M,2,1,0.24,0.010034332
19,0,12,0,M,0,0.76,1,0.557643239
20,0,14,0,M,1,0,0.24,0.557643239
21,0,15,0,M,0,0.24,1,0.010034332
22,0,19,0,M,2,0.7,0.54,0.043224479
23,0,21,0,M,3,0.16,0,0.764212104
24,0,24,0,M,0,1,0.84,0.764212104
25,0,32,0,M,1,0.16,0.58,0.019090224
26,0,39,0,M,1,0.42,0.64,0.012829699
27,0,41,0,M,3,0.72,0.14,0.010345289
28,0,44,0,M,3,0.32,0.16,0.359856046
29,0,56,0,M,2,0.56,0.44,0.012749797
30,0,72,0,M,2,1,0.66,0.266061572
31,0,87,0,M,1,0.1,0.9,0.009906309
32,0,95,0,M,2,0.42,0.84,0.019090224
33,0,107,0,M,0,0.66,0.9,0.322776269
34,0,140,0,M,3,0.06,0.1,0.968818393
35,0,173,0,M,3,0.5,0.1,0.050259577
36,0,177,0,M,0,0.88,0.92,0.984284473
37,0,239,0,M,1,0.14,0.42,0.133594235
38,1,1,0,M,0,1,1,0.673584155
39,1,1,0,M,1,0,0,0.673584155
40,1,1,0,M,2,0,0.7,0.010506084
41,1,2,0,M,0,1,0.3,0.010506084
42,1,2,0,M,1,1,0,0.009900992
43,1,2,0,M,2,0.62,0.44,0.013337888
44,1,2,0,M,3,0.44,1,0.021673808
45,1,3,0,M,0,1,0.66,0.266061572
46,1,3,0,M,1,0.48,0,0.055042485
47,1,4,0,M,0,0.78,0.82,0.663049725
48,1,4,0,M,3,0.4,0.68,0.012630749
49,1,5,0,M,1,0.22,0.24,0.511501915
50,1,5,0,M,2,0.18,0.34,0.285185398
51,1,5,0,M,3,0.06,1,0.009901533
52,1,6,0,M,3,0.78,0.18,0.010008063
53,1,7,0,M,0,0.78,1,0.617676055
54,1,7,0,M,3,0.7,1,0.374137967
55,1,8,0,M,0,0.84,0.5,0.047456496
56,1,8,0,M,2,0,0.32,0.317810093
57,1,10,0,M,2,0.74,0,0.010125326
58,1,10,0,M,3,0.2,0.82,0.00997462
59,1,13,0,M,1,0.22,0,0.617676055
60,1,13,0,M,2,0.48,0.24,0.047161333
61,1,26,0,M,2,0.38,0.46,0.02544622
62,1,27,0,M,0,1,0.84,0.764212104
63,1,31,0,M,2,0.2,0.6,0.015371863
64,1,37,0,M,2,0.94,0.12,0.009906553
65,1,47,0,M,0,1,0.48,0.033703692
66,1,52,0,M,3,0.62,0.66,0.075131759
67,1,55,0,M,1,0,0.52,0.033703692
68,1,75,0,M,3,0.24,1,0.010034332
69,1,87,0,M,1,0.06,0.14,0.938618802
70,1,105,0,M,3,0.54,0.84,0.078880409
71,1,114,0,M,1,0,0.82,0.009926394
72,1,130,0,M,2,0.62,0.1,0.014337643
73,1,242,0,M,0,0.86,0.34,0.011714717
74,2,1,0,M,0,1,0,0.009900992
75,2,1,0,M,1,0,1,0.009900992
76,2,1,0,M,3,1,1,0.673584155
77,2,2,0,M,1,0.5,1,0.042943692
78,2,2,0,M,2,0,0,0.673584155
79,2,2,0,M,3,1,0.5,0.042943692
80,2,3,0,M,2,0,0.5,0.042943692
81,2,3,0,M,3,0.62,0.54,0.02544622
82,2,4,0,M,0,0.5,0,0.042943692
