,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,1,0,0.02,0.723131661
1,0,1,0,S,2,0,0,0.673584155
2,0,2,0,S,1,0,0.94,0.009901533
3,0,2,0,S,2,1,0,0.009900992
4,0,2,0,S,3,1,1,0.673584155
5,0,3,0,S,0,0.32,1,0.010871133
6,0,3,0,S,1,0,0.66,0.011431693
7,0,3,0,S,2,0.68,0,0.010871133
8,0,3,0,S,3,1,0.68,0.317810093
9,0,4,0,S,1,0,0.36,0.21962751
10,0,5,0,S,2,0.36,0,0.21962751
11,0,7,0,S,3,1,0.34,0.011431693
12,0,10,0,S,0,0.56,1,0.090203692
13,0,10,0,S,3,0.66,1,0.266061572
14,0,11,0,S,1,0.34,0.34,0.108774298
15,0,14,0,S,3,0.68,0.68,0.152753685
16,0,16,0,S,0,0.34,0.66,0.01108254
17,0,19,0,S,0,0.12,1,0.009905143
18,0,19,0,S,1,0.18,0,0.723131661
19,0,19,0,S,2,0.68,0.32,0.010801124
20,0,20,0,S,2,1,0.16,0.009915132
21,0,23,0,S,2,0.86,0,0.009908726
22,0,26,0,S,3,1,0.86,0.794996131
23,0,32,0,S,1,0,0.5,0.042943692
24,0,35,0,S,2,1,0.5,0.042943692
25,0,54,0,S,0,0.16,0.66,0.011646185
26,0,84,0,S,2,0.52,0,0.033703692
27,0,90,0,S,2,0.68,0.5,0.025279047
28,0,104,0,S,3,0.86,1,0.794996131
29,0,105,0,S,2,0.86,0.34,0.011714717
30,0,110,0,S,1,0.32,0.12,0.382985409
31,0,164,0,S,0,0.34,0.86,0.011714717
32,0,204,0,S,1,0.14,0.34,0.312922765
33,0,215,0,S,2,0.5,0.32,0.025279047
34,0,225,0,S,2,0.66,0.1,0.011771457
35,0,240,0,S,0,0.5,0.68,0.025279047
36,1,1,0,S,2,0,1,0.009900992
37,1,1,0,S,3,1,0,0.009900992
38,1,2,0,S,0,1,1,0.673584155
39,1,2,0,S,2,0,0.66,0.011431693
40,1,3,0,S,0,1,0.68,0.317810093
41,1,3,0,S,2,0,0.32,0.317810093
42,1,4,0,S,1,0,0,0.673584155
43,1,4,0,S,2,0.32,1,0.010871133
44,1,6,0,S,0,0.66,1,0.266061572
45,1,7,0,S,2,0.34,0.66,0.01108254
46,1,7,0,S,3,0.68,0,0.010871133
47,1,9,0,S,3,1,0.34,0.011431693
48,1,10,0,S,3,0.66,0.32,0.01098554
49,1,12,0,S,1,0.32,0,0.317810093
50,1,13,0,S,0,0.66,0.66,0.108774298
51,1,14,0,S,0,0.84,1,0.764212104
52,1,17,0,S,1,0.32,0.32,0.152753685
53,1,21,0,S,2,0,0.84,0.009915132
54,1,24,0,S,0,1,0.84,0.764212104
55,1,28,0,S,2,0.14,1,0.009908726
56,1,29,0,S,3,1,0.16,0.009915132
57,1,34,0,S,2,0,0.5,0.042943692
58,1,38,0,S,1,0.5,0,0.042943692
59,1,76,0,S,3,0.86,0,0.009908726
60,1,90,0,S,0,0.5,1,0.042943692
61,1,91,0,S,3,1,0.48,0.033703692
62,1,105,0,S,2,0.34,0.48,0.027378987
63,1,125,0,S,1,0.14,0,0.794996131
64,1,132,0,S,2,0.34,0.86,0.011714717
65,1,165,0,S,1,0,0.14,0.794996131
66,1,168,0,S,1,0.34,0.12,0.320283256
67,1,196,0,S,2,0.5,0.66,0.022730549
68,1,203,0,S,0,0.86,0.66,0.312922765
69,1,208,0,S,3,0.68,0.12,0.011078427
70,1,213,0,S,3,0.68,0.5,0.025279047
71,2,1,0,S,0,1,0,0.009900992
72,2,1,0,S,1,0,1,0.009900992
73,2,1,0,S,3,1,1,0.673584155
74,2,2,0,S,2,0,0,0.673584155
75,2,3,0,S,1,0,0.68,0.010871133
76,2,3,0,S,2,0,0.32,0.317810093
77,2,3,0,S,3,1,0.68,0.317810093
78,2,4,0,S,1,0.36,1,0.012277785
79,2,5,0,S,1,0.34,0.68,0.01098554
80,2,5,0,S,2,0.36,0,0.21962751
81,2,7,0,S,2,0.52,0,0.033703692
82,2,7,0,S,3,0.68,1,0.317810093
83,2,10,0,S,0,1,0.32,0.010871133
84,2,10,0,S,2,0.34,0.34,0.108774298
85,2,10,0,S,3,1,0.52,0.055042485
86,2,14,0,S,3,0.68,0.68,0.152753685
87,2,20,0,S,1,0.16,1,0.009915132
88,2,21,0,S,1,0,0.5,0.042943692
89,2,25,0,S,3,0.86,1,0.794996131
90,2,28,0,S,2,0.16,0,0.764212104
91,2,42,0,S,0,0.78,0,0.009978977
92,2,47,0,S,0,0.68,0.32,0.010801124
93,2,56,0,S,1,0,0.86,0.009908726
94,2,73,0,S,3,1,0.86,0.794996131
95,2,75,0,S,0,1,0.14,0.009908726
96,2,78,0,S,2,0,0.14,0.794996131
97,2,81,0,S,1,0.32,0.88,0.011078427
98,2,93,0,S,3,0.68,0.86,0.374137978
99,2,115,0,S,0,0.68,0.12,0.011078427
100,2,122,0,S,3,0.54,0.68,0.038082768
101,2,139,0,S,0,0.66,0.5,0.022730549
102,2,142,0,S,0,0.52,0.32,0.021009928
103,2,153,0,S,3,0.52,1,0.055042485
104,2,208,0,S,2,0.14,0.34,0.312922765
105,2,235,0,S,0,0.9,0,0.009903171
106,3,1,0,S,1,0,0,0.673584155
107,3,1,0,S,2,0.68,1,0.317810093
108,3,1,0,S,3,0,1,0.009900992
109,3,2,0,S,0,1,0,0.009900992
110,3,2,0,S,1,0.34,0,0.266061572
111,3,3,0,S,2,1,1,0.673584155
112,3,4,0,S,1,0.68,0,0.010871133
113,3,4,0,S,3,0,0.68,0.010871133
114,3,5,0,S,1,0,0.34,0.266061572
115,3,6,0,S,3,0.34,1,0.011431693
116,3,7,0,S,0,1,0.36,0.012277785
117,3,8,0,S,1,0.34,0.34,0.108774298
118,3,9,0,S,2,1,0.68,0.317810093
119,3,10,0,S,3,0.34,0.66,0.01108254
120,3,14,0,S,0,0.68,0.32,0.010801124
121,3,17,0,S,3,0.16,1,0.009915132
122,3,19,0,S,0,1,0.18,0.009926394
123,3,22,0,S,2,0.68,0.68,0.152753685
124,3,23,0,S,2,0.86,1,0.794996131
125,3,28,0,S,3,0,0.5,0.042943692
126,3,35,0,S,2,1,0.86,0.794996131
127,3,51,0,S,0,0.52,0,0.033703692
128,3,53,0,S,1,0.14,0,0.794996131
129,3,62,0,S,1,0,0.14,0.794996131
130,3,69,0,S,0,0.86,0,0.009908726
131,3,97,0,S,1,0.14,0.34,0.312922765
132,3,104,0,S,1,0.34,0.16,0.301041121
133,3,116,0,S,3,0,0.86,0.009908726
134,3,128,0,S,2,0.5,1,0.042943692
135,3,141,0,S,2,1,0.52,0.055042485
136,3,146,0,S,0,0.68,0.5,0.025279047
137,3,151,0,S,3,0.34,0.86,0.011714717
138,3,166,0,S,3,0.32,0.5,0.025279047
139,3,180,0,S,0,0.86,0.34,0.011714717
140,3,187,0,S,0,0.52,0.34,0.019192108
141,4,1,0,S,2,1,1,0.673584155
142,4,1,0,S,3,0,0,0.673584155
143,4,2,0,S,0,1,0,0.009900992
144,4,2,0,S,3,0,0.34,0.266061572
145,4,3,0,S,0,1,0.32,0.010871133
146,4,4,0,S,1,0,1,0.009900992
147,4,5,0,S,3,0.34,0,0.266061572
148,4,6,0,S,0,0.66,0,0.011431693
149,4,7,0,S,1,0.32,1,0.010871133
150,4,7,0,S,2,0.68,1,0.317810093
151,4,8,0,S,0,0.68,0.34,0.01098554
152,4,8,0,S,2,1,0.66,0.266061572
153,4,9,0,S,3,0,0.5,0.042943692
154,4,13,0,S,3,0.34,0.34,0.108774298
155,4,18,0,S,1,0,0.76,0.010034332
156,4,21,0,S,1,0.34,0.68,0.01098554
157,4,23,0,S,2,0.68,0.68,0.152753685
158,4,46,0,S,2,1,0.84,0.764212104
