,SimNum,Iteration,Period,Fidelity,Loss
0,0,0,0,S,0.04934193826752745
1,0,1,0,S,0.07260027792432194
2,0,2,0,S,0.05684458395297763
3,0,3,0,S,0.012577390693223603
4,0,4,0,S,0.008826504587193286
5,0,5,0,S,0.009459784265430635
6,0,6,0,S,0.008424331903890796
7,0,7,0,S,0.00789494608207814
8,0,8,1,S,0.007641253120533745
9,0,9,1,S,0.017408316980900448
10,0,10,1,S,0.0062914462448228825
11,0,11,1,S,0.006195623280014232
12,0,12,1,S,0.006163537089457331
13,0,13,1,S,0.0061546498502818145
14,0,14,1,S,0.006147242103236774
15,0,15,1,S,0.006131686234878566
16,0,16,1,S,0.006125609853232919
17,0,17,1,S,0.006117379890187286
18,0,18,1,S,0.006109493859048059
19,0,19,1,S,0.006120640667261605
20,0,20,1,S,0.00611370983270505
21,0,21,1,S,0.006114321006742848
22,0,22,1,S,0.0061167680959287405
23,0,23,1,S,0.006111857139897382
24,0,24,2,S,0.006111857139897382
25,0,25,2,S,0.01247424591179875
26,0,26,2,S,0.023665317367517025
27,0,27,2,S,0.00848677245136901
28,0,28,2,S,0.0060552464408137885
29,0,29,2,S,0.0060755121169525665
30,0,30,2,S,0.006065227513450157
31,0,31,2,S,0.006063664636710604
32,0,32,2,S,0.00606400286727966
33,0,33,2,S,0.00606437571541377
34,0,34,2,S,0.006064714390971363
35,0,35,2,S,0.006068662867294774
36,0,36,2,S,0.006066795399506611
37,0,37,2,S,0.00606679539950661
38,0,38,2,S,0.00606679539950661
39,0,39,2,S,0.00606679539950661
40,0,40,2,S,0.00606679539950661
41,0,41,2,S,0.00606679539950661
42,0,42,2,S,0.00606679539950661
43,0,43,2,S,0.00606679539950661
44,0,44,2,S,0.00606679539950661
45,0,45,2,S,0.00606679539950661
46,0,46,2,S,0.00606679539950661
47,0,47,2,S,0.00606679539950661
48,0,48,2,S,0.00606679539950661
49,0,49,2,S,0.00606679539950661
50,0,50,2,S,0.00606679539950661
51,0,51,2,S,0.00606679539950661
52,0,52,2,S,0.00606679539950661
53,0,53,2,S,0.00606679539950661
54,0,54,2,S,0.00606679539950661
55,0,55,2,S,0.00606679539950661
56,0,56,3,S,0.00606679539950661
