X,Y,f_H_train
0.76,0.98,0.598535136067199
0.52,0.32,0.02100992823300876
0.44,0.8,0.021679237728428735
0.62,0.96,0.20196032037356515
0.88,0.56,0.10720151123006309
0.84,0.08,0.009919383910588163
0.86,0.1,0.009913011131692894
0.9,0.96,0.9312186984437332
0.5,0.68,0.025279047317722198
0.52,0.2,0.03370674425898254
0.14,0.2,0.7949961315892355
0.02,0.96,0.009901343305713711
1.0,0.4,0.015362803068544288
0.58,0.34,0.013261939202197722
0.84,0.4,0.016111500930688086
0.28,0.12,0.5236859511626126
0.12,0.48,0.06459778722919808
0.26,0.36,0.16341769224020164
0.78,0.08,0.009996505054075552
0.72,0.42,0.015123856927311961
0.36,0.08,0.26402046549448194
0.88,0.0,0.009905143110828381
0.2,0.6,0.015371863325102056
0.36,0.46,0.029140068952988363
0.38,0.4,0.04404805070662592
0.52,0.08,0.03874212693336031
0.9400000000000001,0.98,0.8536076899740189
0.7000000000000001,0.4,0.01302060954911364
0.22,0.9,0.009998242206078938
0.18,0.06,0.8536076899970092
0.12,0.3,0.4512362314334457
0.56,0.46,0.01301918469330074
0.5,0.44,0.01448502662753761
0.36,0.66,0.01130200380363478
0.52,0.4,0.01507805793661618
0.9,0.0,0.009903171376491157
0.64,0.8200000000000001,0.235284816976322
0.8,0.72,0.433931244772433
0.04,0.64,0.0126024330700444
0.22,0.78,0.010043822602337467
0.52,0.7000000000000001,0.03469680477651596
0.16,0.18,0.8205254718268934
0.9400000000000001,0.96,0.9022032501585091
0.24,0.1,0.6789149168000318
0.72,0.72,0.2808160444542874
0.58,0.26,0.01585305670009625
0.22,0.22,0.5664776129324919
0.48,0.9400000000000001,0.038058139590004404
0.08,0.22,0.7463241483977257
0.32,0.14,0.3741379784711683
0.18,0.76,0.010065252890013681
0.26,0.5,0.03409876913910458
0.78,0.66,0.2444829965952997
0.56,0.74,0.06868502530945093
0.64,0.8,0.21962767024944096
0.76,0.3,0.010473545335446505
0.92,0.18,0.009932963320920663
0.0,0.36,0.21962750953120955
0.62,0.64,0.06331354852073026
0.44,0.38,0.030411635599246985
1.0,0.12,0.009905143110828381
0.12,0.12,0.9842844729740323
0.42,0.24,0.09620035291264419
0.62,0.64,0.06331354852073026
0.46,1.0,0.02677537418904204
0.84,0.68,0.3598560458927528
0.86,0.12,0.009915268559550425
0.64,0.38,0.011653794875224426
0.54,0.48,0.013225283428680016
0.62,0.86,0.2097984572920056
0.98,0.04,0.009901343305713711
0.08,0.14,0.9611776567344461
0.64,0.0,0.012277784771448438
0.54,0.46,0.012987078364922085
0.32,0.78,0.010825583212947857
0.06,0.2,0.7949961311020648
0.6,0.1,0.016572529685854157
0.1,0.4,0.1735631506320434
0.32,0.26,0.23528505385162415
0.08,0.8,0.009956477967348065
0.18,0.3,0.4013302381797083
0.5,0.1,0.050259577452090524
0.08,0.02,0.8741015975130111
0.88,0.22,0.009999288747378906
0.48,0.44,0.015785022290725034
0.8200000000000001,0.6,0.1538998707319534
0.02,0.28,0.46558735341506047
0.72,0.44,0.017467589825109552
0.58,0.32,0.013803892717216102
0.44,0.16,0.10116953812200104
0.24,0.38,0.14936537632196453
0.9400000000000001,0.68,0.37413796795557336
0.74,0.84,0.5620427575174809
0.96,0.54,0.07888005600900368
0.76,0.1,0.010065658259742023
0.6,0.36,0.012106731284877655
0.9,0.28,0.010356028387772321
0.12,0.72,0.010353673033254964
0.56,0.32,0.01548018487466606
0.48,0.48,0.013824917143364429
0.46,0.36,0.029140068952988363
0.1,0.68,0.011086954332096726
0.4,0.98,0.01577058216367645
0.5,0.7000000000000001,0.02806527201638207
0.36,0.76,0.011904693482227167
0.62,0.26,0.012616599834932454
1.0,0.72,0.4339312196527251
0.3,0.8,0.010530712366706553
0.58,0.68,0.05842436389345457
0.5,0.58,0.015509253053834313
0.96,0.84,0.8672155723030881
0.14,0.6,0.016363551745069118
0.24,0.86,0.01006511257931503
0.72,0.32,0.010693099269382444
0.18,0.0,0.7231316613186033
0.66,0.96,0.3010410893161221
0.56,0.18,0.022555794995597764
0.24,1.0,0.010034331625259546
1.0,0.06,0.009901533190679906
0.32,0.54,0.017818336416763565
0.54,1.0,0.07059243162992812
0.22,0.8200000000000001,0.010008062537012231
0.34,0.52,0.019192107733959178
0.66,0.66,0.10877429814504562
0.96,0.36,0.0126024330700444
