X,Y,f_L
0.0,0.0,0.9165803064727525
0.0,0.02,0.9298399811872403
0.0,0.04,0.9404627736420712
0.0,0.06,0.948374070380312
0.0,0.08,0.9535208061642338
0.0,0.1,0.9558721608132509
0.0,0.12,0.9554199570870645
0.0,0.14,0.9521787516355127
0.0,0.16,0.9461856167929366
0.0,0.18,0.9374996168200025
0.0,0.2,0.9262009879505217
0.0,0.22,0.9123900371473062
0.0,0.24,0.8961857796775576
0.0,0.26,0.877724340362249
0.0,0.28,0.8571571475259342
0.0,0.3,0.8346489521798734
0.0,0.32,0.8103757077373215
0.0,0.34,0.7845223475306883
0.0,0.36,0.7572804985431406
0.0,0.38,0.7288461700713791
0.0,0.4,0.699417455513162
0.0,0.42,0.6691922841552777
0.0,0.44,0.6383662577774823
0.0,0.46,0.6071306041556103
0.0,0.48,0.5756702762279697
0.0,0.5,0.5441622218810691
0.0,0.52,0.5127738451205254
0.0,0.54,0.48166167493345174
0.0,0.56,0.4509702535348688
0.0,0.58,0.42083125103701713
0.0,0.6,0.3913628089971378
0.0,0.62,0.3626691108896783
0.0,0.64,0.334840173406864
0.0,0.66,0.3079518486994979
0.0,0.68,0.2820660242967795
0.0,0.7000000000000001,0.257231004544547
0.0,0.72,0.23348205501518926
0.0,0.74,0.2108420894938154
0.0,0.76,0.18932247784330822
0.0,0.78,0.16892395229049947
0.0,0.8,0.1496375894384898
0.0,0.8200000000000001,0.13144584556579095
0.0,0.84,0.11432362348095258
0.0,0.86,0.09823935031266376
0.0,0.88,0.08315604707451942
0.0,0.9,0.06903237259069568
0.0,0.92,0.0558236263411163
0.0,0.9400000000000001,0.043482696919025475
0.0,0.96,0.03196094502799528
0.0,0.98,0.02120901221965874
0.0,1.0,0.011177548832272625
0.02,0.0,0.9298399811872403
0.02,0.02,0.9433321935639322
0.02,0.04,0.954162878521069
0.02,0.06,0.9622569556165589
0.02,0.08,0.9675611409244792
0.02,0.1,0.9700446461102106
0.02,0.12,0.9696995744642501
0.02,0.14,0.9665410058763101
0.02,0.16,0.9606067685719022
0.02,0.18,0.951956901343928
0.02,0.2,0.9406728158504548
0.02,0.22,0.9268561741772324
0.02,0.24,0.910627502145617
0.02,0.26,0.8921245636590902
0.02,0.28,0.8715005256131878
0.02,0.3,0.8489219464493541
0.02,0.32,0.8245666242366738
0.02,0.34,0.7986213421610505
0.02,0.36,0.7712795504555217
0.02,0.38,0.7427390241070366
0.02,0.4,0.7131995351354679
0.02,0.42,0.6828605768928713
0.02,0.44,0.6519191757281251
0.02,0.46,0.6205678225752103
0.02,0.48,0.5889925536392603
0.02,0.5,0.5573712054723867
0.02,0.52,0.5258718654598975
0.02,0.54,0.4946515341915115
0.02,0.56,0.46385501148881975
0.02,0.58,0.43361401311595393
0.02,0.6,0.40404652052761103
0.02,0.62,0.37525636151271125
0.02,0.64,0.3473330153688982
0.02,0.66,0.3203516323770475
0.02,0.68,0.29437325390661445
0.02,0.7000000000000001,0.2694452165281353
0.02,0.72,0.24560172107916456
0.02,0.74,0.22286454574949224
0.02,0.76,0.2012438809303657
0.02,0.78,0.18073926280570923
0.02,0.8,0.16134058243248295
0.02,0.8200000000000001,0.1430291473315931
0.02,0.84,0.1257787733489084
0.02,0.86,0.10955688569796196
0.02,0.88,0.09432560960510532
0.02,0.9,0.08004283278279993
0.02,0.92,0.06666322399319939
0.02,0.9400000000000001,0.054139194167215986
0.02,0.96,0.04242178884988309
0.02,0.98,0.0314615030896247
0.02,1.0,0.02120901221965874
0.04,0.0,0.9404627736420712
0.04,0.02,0.954162878521069
0.04,0.04,0.9651845709163696
0.04,0.06,0.9734525534766921
0.04,0.08,0.9789135164578405
0.04,0.1,0.9815368364183222
0.04,0.12,0.9813149684958345
0.04,0.14,0.9782635242344041
0.04,0.16,0.9724210328439359
0.04,0.18,0.9638483897563598
0.04,0.2,0.9526280022523631
0.04,0.22,0.9388626476284591
0.04,0.24,0.9226740647201735
0.04,0.26,0.9042013044674353
0.04,0.28,0.8835988694900144
0.04,0.3,0.8610346762376412
0.04,0.32,0.8366878761137753
0.04,0.34,0.8107465739873728
0.04,0.36,0.7834054836691363
0.04,0.38,0.7548635602261891
0.04,0.4,0.7253216484532174
0.04,0.42,0.6949801854420264
0.04,0.44,0.6640369930488121
0.04,0.46,0.6326851932212623
0.04,0.48,0.6011112757036418
0.04,0.5,0.5694933436880105
0.04,0.52,0.5379995586338531
0.04,0.54,0.5067868008531619
0.04,0.56,0.475999557672468
0.04,0.58,0.44576904615585994
0.04,0.6,0.41621257261803896
0.04,0.62,0.3874331265813221
0.04,0.64,0.3595192025329927
0.04,0.66,0.33254483890542375
0.04,0.68,0.30656986020328675
0.04,0.7000000000000001,0.2816403051973172
0.04,0.72,0.2577890216343753
0.04,0.74,0.2350364060048427
0.04,0.76,0.2133912655710236
0.04,0.78,0.19285177908948498
0.04,0.8,0.17340653243761328
0.04,0.8200000000000001,0.15503560564894955
0.04,0.84,0.13771168863119995
0.04,0.86,0.12140120403427412
0.04,0.88,0.10606541729540535
0.04,0.9,0.09166151575153972
0.04,0.92,0.07814364081002832
0.04,0.9400000000000001,0.06546385944057158
0.04,0.96,0.053573063628623394
0.04,0.98,0.04242178884988309
0.04,1.0,0.03196094502799528
0.06,0.0,0.948374070380312
0.06,0.02,0.9622569556165589
0.06,0.04,0.9734525534766921
0.06,0.06,0.9818856085292336
0.06,0.08,0.9875029851324485
0.06,0.1,0.9902743630365267
0.06,0.12,0.9901926239164845
0.06,0.14,0.98727392082283
0.06,0.16,0.9815574285071514
0.06,0.18,0.9731047786209344
0.06,0.2,0.9619991897536052
0.06,0.22,0.9483443080271389
0.06,0.24,0.9322627793624902
0.06,0.26,0.9138945794501587
0.06,0.28,0.8933951317792966
0.06,0.3,0.8709332477092989
0.06,0.32,0.8466889254262693
0.06,0.34,0.820851046656804
0.06,0.36,0.7936150111782706
0.06,0.38,0.765180349456403
0.06,0.4,0.7357483531687352
0.06,0.42,0.7055197619695333
0.06,0.44,0.6746925426724594
0.06,0.46,0.6434597941439285
0.06,0.48,0.6120078077016935
0.06,0.5,0.5805143088014612
0.06,0.52,0.5491469013808975
0.06,0.54,0.5180617315331681
0.06,0.56,0.4874023823219756
0.06,0.58,0.45729900664697526
0.06,0.6,0.4278677002386879
0.06,0.62,0.3992101122147382
0.06,0.64,0.37141328626394504
0.06,0.66,0.3445497215290466
0.06,0.68,0.3186776387064646
0.06,0.7000000000000001,0.2938414338312549
0.06,0.72,0.2700722997101899
0.06,0.74,0.24738899303254677
0.06,0.76,0.22579872383753266
0.06,0.78,0.20529814324496662
