X,Y,f_L_train
0.22,0.42,0.7341764333853634
0.32,0.32,0.7940370901823284
0.06,0.86,0.13381683645355938
0.24,0.5,0.6336263977096059
0.18,0.06,0.9731047786209344
0.14,0.22,0.9604648159123641
0.22,0.56,0.5548791698823763
0.78,0.06,0.20529814324496662
0.0,0.9,0.06903237259069568
0.56,0.32,0.5834607275015832
0.48,0.0,0.5756702762279697
0.2,0.48,0.6551828445967133
0.5,0.5,0.6352235269562899
0.72,0.32,0.45691560579856594
0.54,0.72,0.6800158903813132
0.4,0.04,0.7253216484532174
0.84,0.04,0.13771168863119995
0.46,0.12,0.6677038476222518
0.96,0.24,0.2133912655710236
0.5,0.26,0.6353607632875511
0.28,0.36,0.7841891966941642
0.9,0.48,0.5685177676355194
0.46,0.4,0.658226888128178
0.54,0.56,0.6490474990325318
0.3,0.76,0.41023863498604624
0.92,0.38,0.41060592314567634
0.9400000000000001,0.36,0.37141328626394504
0.38,0.24,0.7783725671618557
0.5,0.02,0.5573712054723867
0.36,0.92,0.38303705274729766
0.42,0.22,0.7341764333853634
0.54,0.34,0.6048219873186134
0.66,0.0,0.3079518486994979
0.8200000000000001,0.52,0.6522975599776345
0.04,0.26,0.9042013044674353
1.0,0.4,0.3913628089971378
0.8200000000000001,0.8,0.9629292486577962
0.24,0.32,0.842186735842209
0.1,0.88,0.1451717228074627
0.84,0.46,0.5620698168347165
0.4,0.56,0.6053114407851878
0.84,0.22,0.27401528700523686
0.44,0.64,0.5942346814195992
0.04,0.2,0.9526280022523631
0.58,0.6,0.6798328608509724
0.64,0.18,0.43831223109023415
0.46,0.9400000000000001,0.5180617315331683
0.46,0.68,0.6012186126147577
0.42,0.92,0.4682158376647425
0.84,0.6,0.7623295854444045
0.38,0.8,0.4729005082340897
0.3,0.56,0.5780597942977963
0.58,0.5,0.6361871239571286
0.98,0.02,0.0314615030896247
0.86,0.34,0.3912725191736137
0.86,0.8200000000000001,0.9831614096198377
0.62,0.36,0.5537661874817562
0.76,0.92,0.9393515662689994
0.58,0.26,0.5448582960712463
0.14,0.76,0.27883090306190056
0.86,0.64,0.8150330224835378
0.92,0.96,0.9789135164578405
0.44,0.04,0.6640369930488121
0.64,0.24,0.4708716974727944
0.72,0.56,0.7016539008630305
0.32,0.64,0.5164693745604889
0.18,0.26,0.9212214474367024
0.22,0.74,0.3575810558402321
0.76,0.92,0.9393515662689994
0.26,0.52,0.6122651917114417
0.12,0.48,0.6373725053639117
0.92,0.34,0.3563911276235531
0.9400000000000001,0.24,0.22579872383753266
0.9,0.4,0.449714778661097
0.74,0.56,0.7049489101575053
0.96,0.8,0.952628002252363
0.14,0.76,0.27883090306190056
0.42,0.18,0.7357373629205172
0.98,0.92,0.9675611409244793
0.74,0.74,0.8810969759299848
0.9400000000000001,0.08,0.0903128372700732
0.14,0.8,0.2406310585369128
0.08,0.44,0.6838731212319193
0.12,0.44,0.6978314108584198
0.64,0.4,0.566907472509004
0.76,0.12,0.2649757692211305
0.2,0.14,0.973054367410821
0.9400000000000001,0.44,0.4874023823219758
0.06,0.14,0.98727392082283
0.72,0.84,0.9072434137800418
0.88,0.86,0.9976427593991447
0.24,0.26,0.8940864958400974
0.86,0.44,0.5259116481996698
0.2,0.4,0.7616315621303821
0.58,0.28,0.5519613671734701
0.2,0.14,0.973054367410821
0.18,0.36,0.8143985797703888
0.74,0.0,0.2108420894938154
0.7000000000000001,0.54,0.677514683624831
0.0,0.86,0.09823935031266376
0.2,0.22,0.9430384772901298
0.1,0.2,0.972827482841651
0.5,0.52,0.6352913990914996
0.58,0.28,0.5519613671734701
0.44,0.88,0.5172943294302934
0.88,0.44,0.5172943294302934
0.6,0.28,0.5318316689688268
1.0,0.62,0.7288461700713791
0.42,0.2,0.7356067639464913
0.76,0.98,0.910627502145617
0.46,0.5,0.6354888480037093
0.6,0.9,0.7514535520101023
0.4,0.16,0.7623295854444045
0.24,0.2,0.9296981656779946
0.72,0.44,0.5725685636516271
0.42,0.56,0.6110595122703001
0.6,0.34,0.5578996903945698
0.88,0.14,0.17495858395795216
0.8200000000000001,0.38,0.463018578867005
0.62,0.46,0.6119270276983938
0.7000000000000001,0.8200000000000001,0.8832500517474758
0.36,0.52,0.6227715026233003
0.02,0.62,0.37525636151271125
0.6,0.92,0.7444601189232043
0.92,0.9,0.9962050601542786
0.0,0.9400000000000001,0.043482696919025475
0.24,0.52,0.6091419732406279
0.2,0.44,0.7090758874633989
0.4,0.46,0.658226888128178
0.74,0.48,0.6122651917114417
0.22,0.92,0.21811831622336608
0.06,0.9400000000000001,0.07750533041018204
0.56,0.04,0.475999557672468
0.78,0.22,0.3220460917115115
0.64,0.8200000000000001,0.8143985797703888
0.54,0.28,0.5935882255884847
0.48,0.2,0.6551828445967133
0.92,0.78,0.9552570117243425
0.8200000000000001,0.6,0.7627321372704482
0.76,0.9,0.9439194924435789
0.14,0.78,0.2592575597505024
0.98,1.0,0.9298399811872405
0.32,0.28,0.8208349642427323
0.58,0.12,0.48830285233998916
0.1,0.8,0.2121855319903546
0.86,0.1,0.1605481107436613
0.64,0.02,0.3473330153688982
0.72,0.9,0.9059520199160833
0.98,0.68,0.8245666242366739
0.16,0.22,0.9570938109988875
0.4,0.98,0.40404652052761103
0.22,0.84,0.27401528700523686
0.72,0.02,0.24560172107916456
0.04,0.32,0.8366878761137753
0.8,0.62,0.7869703507827662
0.14,0.6,0.46980737278688633
0.46,0.28,0.6800158903813132
0.44,0.54,0.62307853020135
0.04,0.58,0.44576904615585994
0.88,0.72,0.9086984771208909
0.14,0.42,0.7317846296838866
0.62,0.74,0.7720261330257844
0.38,0.4,0.7007232876573317
0.88,0.86,0.9976427593991447
0.3,0.72,0.4396826660422092
0.28,0.5,0.6365362842202649
0.56,0.3,0.5780597942977963
0.76,0.2,0.32342193852538265
0.9,0.96,0.9815368364183222
0.78,0.54,0.6830257061115999
0.86,0.92,0.9935218512227393
0.42,0.46,0.6536614684828823
0.0,0.08,0.9535208061642338
0.54,0.46,0.6270606421200453
0.8200000000000001,0.78,0.9512573441722068
0.9,0.0,0.06903237259069568
0.74,0.76,0.8940864958400974
0.2,0.24,0.9296981656779946
0.72,0.7000000000000001,0.837429623260805
0.92,0.26,0.25995792477219126
0.8,0.9400000000000001,0.9619991897536052
0.5,0.06,0.5805143088014612
0.52,0.66,0.6541982111597784
0.22,0.8,0.30536806524120624
0.98,0.18,0.14302914733159316
0.48,0.84,0.590621459686862
0.7000000000000001,0.7000000000000001,0.8233849509512043
0.78,0.84,0.9570938109988875
0.36,0.2,0.8114390077148543
0.76,0.86,0.9455158890437058
0.54,0.52,0.6399147752589951
0.34,0.76,0.4499416009528884
0.7000000000000001,0.3,0.4551383519235209
0.68,0.48,0.6192763386774734
0.96,0.22,0.19285177908948498
0.24,0.0,0.8961857796775576
0.78,0.8,0.9430384772901298
0.76,0.52,0.6582462846545462
0.02,0.54,0.4946515341915115
0.4,0.42,0.6798328608509727
0.32,0.56,0.5834607275015832
0.24,0.02,0.910627502145617
0.3,0.44,0.6975710452319334
0.02,0.62,0.37525636151271125
0.74,0.74,0.8810969759299848
0.3,0.74,0.42472644505019247
0.9400000000000001,0.64,0.7936150111782706
0.08,0.06,0.9875029851324485
0.3,0.06,0.8709332477092989
0.66,0.12,0.37971335577147214
0.42,0.02,0.6828605768928713
0.32,0.58,0.5660647496396368
0.88,0.92,0.9962811781781284
0.68,0.58,0.71098538046212
0.4,0.74,0.5233036083951893
0.52,0.76,0.6582462846545462
0.58,0.14,0.49754050998887334
0.46,0.58,0.6192440861379624
0.92,0.52,0.6216764896561826
0.66,0.54,0.6708641875246825
0.42,0.8,0.5225876558106838
0.08,0.36,0.801882130607089
0.52,0.9,0.6301246681806902
0.88,0.54,0.6677038476222518
0.88,0.7000000000000001,0.8870942968735821
0.12,0.66,0.37971335577147214
0.9,0.84,0.9916226758430201
0.8200000000000001,0.74,0.9212214474367022
0.46,0.62,0.6119270276983938
0.48,0.34,0.6541982111597784
0.64,0.64,0.7380859441712702
0.04,0.74,0.2350364060048427
0.64,0.96,0.7834054836691363
0.16,0.78,0.27401528700523686
0.54,0.84,0.6773476119161731
0.52,0.78,0.657138760376275
0.52,0.14,0.5841311837160053
0.58,0.64,0.6962825592597528
0.04,0.04,0.9651845709163696
0.42,0.28,0.7230416836392194
0.44,0.0,0.6383662577774823
0.32,0.18,0.8617042668811399
0.86,0.78,0.9604648159123641
0.32,0.62,0.5325400310135759
0.22,0.0,0.9123900371473062
0.92,0.9,0.9962050601542786
0.78,0.92,0.9552570117243425
0.7000000000000001,0.34,0.4876338252292229
0.18,0.9400000000000001,0.1675062778446623
0.2,0.0,0.9262009879505217
0.9400000000000001,0.36,0.37141328626394504
0.04,0.2,0.9526280022523631
0.8,0.1,0.2121855319903546
0.24,0.28,0.8783932955042703
0.36,0.0,0.7572804985431406
0.02,0.16,0.9606067685719022
0.3,0.36,0.7741035627075991
0.8200000000000001,0.24,0.30800897961366236
0.46,0.14,0.6731524246670557
0.9,0.36,0.3944191729178962
