,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,0.0,0.84,0.009915131611182898
1,0,1,1.0,0.58,0.64,0.04297263839837559
2,0,1,2.0,0.0,0.0,0.673584155232106
3,0,1,3.0,0.28,0.0,0.4339312196527251
4,0,2,0.0,0.86,1.0,0.7949961310621264
5,0,2,1.0,1.0,1.0,0.6735841552321062
6,0,2,2.0,0.12,0.42,0.13659874089001986
7,0,2,3.0,1.0,0.0,0.00990099157789989
8,0,3,0.0,0.38,1.0,0.013532939804683355
9,0,3,1.0,1.0,0.48,0.03370369195277875
10,0,3,2.0,0.4,0.34,0.06163139983836805
11,0,3,3.0,0.66,0.24,0.011215739327502828
12,0,4,1.0,1.0,0.74,0.4957047679587813
13,0,4,3.0,0.62,0.0,0.013532939804683355
14,0,5,0.0,0.28,0.7000000000000001,0.010491393726465792
15,0,5,1.0,0.78,0.52,0.05124258966822555
16,0,6,0.0,0.1,1.0,0.009903171376491157
17,0,8,2.0,0.0,0.24,0.5576432389641515
18,0,9,0.0,0.62,0.88,0.2146540132514569
19,0,9,2.0,0.0,0.58,0.017984193517313216
20,0,10,1.0,1.0,0.22,0.009978977047726396
21,0,11,1.0,0.8,0.76,0.5576432479860314
22,0,13,2.0,0.22,0.18,0.6630497254158431
23,0,13,3.0,0.8200000000000001,0.0,0.009926393971022324
24,0,14,0.0,0.2,0.86,0.009961811321455264
25,0,15,3.0,0.44,0.14,0.10489416029228713
26,0,17,0.0,0.42,0.8200000000000001,0.018591659330650292
27,0,22,2.0,0.3,0.5,0.028065272016382068
28,0,26,0.0,0.6,1.0,0.1438961927689655
29,0,26,1.0,0.86,0.32,0.011052210725332998
30,0,29,3.0,0.58,0.44,0.012733744145167302
31,0,33,0.0,0.0,1.0,0.00990099157789989
32,0,48,3.0,0.86,0.14,0.009919285620430951
33,1,1,0.0,0.0,0.18,0.7231316613186033
34,1,1,1.0,0.1,0.18,0.8810429319581428
35,1,1,2.0,0.0,0.0,0.673584155232106
36,1,1,3.0,0.58,0.86,0.13359423502950318
37,1,2,0.0,0.0,1.0,0.00990099157789989
38,1,2,1.0,1.0,0.0,0.00990099157789989
39,1,2,2.0,0.38,0.0,0.1788850220067227
40,1,2,3.0,1.0,0.1,0.009903171376491157
41,1,3,0.0,0.48,0.46,0.014634092868899553
42,1,3,1.0,0.6,0.42,0.012393380549537012
43,1,3,3.0,1.0,0.66,0.2660615719830961
44,1,4,0.0,0.0,0.6,0.015362803068544288
45,1,4,1.0,0.7000000000000001,0.0,0.01050608403594439
46,1,4,2.0,0.0,0.42,0.11446544680006288
47,1,4,3.0,1.0,1.0,0.6735841552321062
48,1,5,3.0,0.38,1.0,0.013532939804683355
49,1,6,1.0,0.48,0.22,0.05124258966822555
50,1,6,3.0,1.0,0.4,0.015362803068544288
51,1,7,0.0,0.28,0.74,0.010316165350297505
52,1,7,3.0,0.74,1.0,0.4957047679587813
53,1,8,3.0,0.76,0.66,0.22131235954466824
54,1,9,1.0,0.8,0.24,0.01007136788542735
55,1,10,1.0,0.26,0.38,0.13359536829593968
56,1,12,3.0,0.88,0.84,0.923877559392158
57,1,13,0.0,0.18,1.0,0.009926393971022324
58,1,21,0.0,0.0,0.8200000000000001,0.009926393971022324
59,1,27,1.0,0.22,0.0,0.6176760548179082
60,1,28,3.0,0.56,0.66,0.040922352377690534
61,1,30,2.0,0.18,0.56,0.02255579499559776
62,1,32,0.0,0.76,0.46,0.023839705234850773
63,1,46,0.0,0.56,1.0,0.09020369234436296
64,2,1,0.0,0.0,0.08,0.8140663452021898
65,2,1,1.0,0.46,0.0,0.07059243162992812
66,2,1,2.0,0.0,0.0,0.673584155232106
67,2,1,3.0,0.38,0.48,0.02152487524273111
68,2,2,0.0,0.0,1.0,0.00990099157789989
69,2,2,1.0,1.0,0.36,0.012277784771448438
70,2,2,2.0,0.6,0.34,0.01231804792022179
71,2,2,3.0,1.0,1.0,0.6735841552321062
72,2,3,0.0,0.0,0.58,0.017984193517313216
