X,Y,f_S_train
0.06,0.9,0.00990422561869672
0.5,0.9400000000000001,0.04898846502771331
0.48,0.6,0.01507805793661618
0.88,0.42,0.019695849769529702
0.46,0.9,0.0305116384243844
0.8200000000000001,0.58,0.12227206258614871
0.66,0.88,0.32028325558468007
0.62,0.52,0.02152487524273111
0.66,0.04,0.01164082081923744
0.2,0.18,0.7231316630408896
0.92,0.22,0.009996505054075552
0.56,0.62,0.030411635599246985
0.54,0.16,0.029080933393695302
0.72,0.84,0.4918338488319523
0.88,0.84,0.923877559392158
0.78,0.1,0.009998242206078938
0.74,0.3,0.010467007408230183
0.88,0.02,0.009905551382061766
0.84,0.38,0.01403250871900813
0.54,0.36,0.015450622997893895
0.1,0.18,0.8810429319581428
0.16,0.9400000000000001,0.009918330181098011
0.8,0.38,0.013544365872976605
0.98,0.48,0.03548070678472169
0.48,0.98,0.03548070678472169
0.36,0.38,0.06331354852073026
0.16,1.0,0.009915131611182898
0.48,0.44,0.015785022290725034
0.08,0.34,0.32028324857330487
0.84,0.08,0.009919383910588163
0.68,0.98,0.34079716368762075
0.16,0.24,0.632439110785075
0.38,0.96,0.01402896976068953
0.54,0.8200000000000001,0.07512402870714929
0.2,0.32,0.3178101581618474
0.4,0.06,0.1684088522766146
0.52,0.6,0.019210673483373637
0.72,0.9,0.5278127159655649
0.22,0.68,0.010825583212947857
0.5,0.48,0.01333338596389003
0.46,0.92,0.030347313874649146
0.46,0.04,0.07888005600900368
0.5,0.22,0.04016407496444759
0.98,0.84,0.8205254712849959
0.12,0.24,0.6735841560785646
0.16,0.02,0.8205254712849959
0.38,0.16,0.20196039643852434
0.0,0.78,0.009978977047726397
0.64,0.42,0.01282969910410994
0.54,0.16,0.029080933393695302
0.5,0.2,0.042945926633123646
0.5,0.78,0.04016407496444759
0.18,0.76,0.010065252890013681
0.8200000000000001,0.42,0.01859165933065029
0.38,0.52,0.01620846222982023
0.54,0.7000000000000001,0.04322447922628444
0.5,0.4,0.01684401211980624
0.66,0.86,0.3129227654474486
0.96,0.32,0.011003731682141598
0.62,0.04,0.01402896976068953
0.0,0.9400000000000001,0.009901533190679906
0.58,0.04,0.01908803413877946
0.98,0.26,0.010142137683457331
0.3,0.46,0.04322447922628444
0.46,1.0,0.02677537418904204
0.16,0.7000000000000001,0.010596480645988924
0.24,0.22,0.5115019153603158
1.0,0.6,0.1438961927689655
0.12,0.92,0.009907362277723241
0.2,0.58,0.01799126377860672
0.9,0.36,0.01280472478663363
0.38,0.26,0.13359536829593968
0.62,0.98,0.19150059448513101
0.46,1.0,0.02677537418904204
0.44,0.9,0.024280634788878208
0.96,0.66,0.3010410893161221
0.54,0.54,0.015879926380241393
0.74,0.66,0.1974062821917183
0.38,0.44,0.030411635599246985
0.56,0.38,0.013337887616124776
0.52,0.5,0.01333338596389003
0.68,0.04,0.011003731682141598
0.66,0.52,0.027378987402301897
0.16,0.22,0.7006695867262283
0.54,0.06,0.02986239090669438
0.3,0.64,0.011396568955191632
0.9400000000000001,0.24,0.010059176172040258
0.76,0.24,0.010121079933168497
0.66,0.62,0.07513175867044644
0.6,0.54,0.0222931354696453
0.76,0.14,0.01006511257931503
0.8,0.04,0.009952236057515444
0.92,0.32,0.01107701640006531
0.58,0.92,0.1365987038672229
0.76,0.58,0.09620035291264402
0.66,0.56,0.04092235237769053
0.08,0.86,0.009911672716132074
1.0,0.04,0.009901232395351189
0.5,0.98,0.045410521334227544
0.64,0.14,0.012715050113507879
0.04,0.74,0.01015614138428542
0.34,0.12,0.32028325558468
0.92,0.36,0.012781254767112294
1.0,0.06,0.009901533190679906
0.84,0.9,0.9312186984906012
0.36,0.54,0.015450622997893895
0.08,0.22,0.7463241483977257
0.66,0.72,0.1735639891095059
0.8,0.46,0.026779477923642568
0.88,0.76,0.6735841560785645
0.26,0.42,0.08644293404714798
0.48,0.1,0.06503704581373314
0.6,0.42,0.012393380549537012
0.38,0.32,0.08830467578833401
0.42,0.86,0.019464148702814137
0.34,0.2,0.2660616754914905
1.0,0.16,0.009915131611182898
0.6,0.14,0.016363551745069118
0.84,0.66,0.30104112137543454
0.3,0.16,0.42387565312243825
0.78,0.32,0.010825583212947857
0.24,0.06,0.6578453766392358
0.96,0.14,0.009910063481109876
0.46,0.3,0.04322447922628444
0.96,0.98,0.8205254712818083
0.36,0.7000000000000001,0.011396568955191632
0.38,0.04,0.20196032037356507
0.4,1.0,0.015362803068544288
1.0,0.72,0.4339312196527251
0.2,0.04,0.7642121044869051
0.96,0.4,0.016108694727408807
0.96,0.08,0.009902542640555949
0.72,0.18,0.010316355122781815
0.4,0.0,0.1438961927689655
0.58,0.48,0.014200830111953989
0.9400000000000001,0.0,0.009901533190679906
0.96,0.9,0.9312186984437332
0.9,1.0,0.8205254712819898
0.08,0.32,0.38298540433667755
0.4,0.04,0.16219366205026553
0.62,0.2,0.013544365872976605
0.22,0.98,0.009984876124820604
0.18,0.4,0.15389987073195338
0.3,0.16,0.42387565312243825
0.4,0.5,0.01684401211980624
0.86,0.2,0.009961811321455264
0.16,0.1,0.9312186984906013
0.08,0.68,0.01107701640006531
0.9,0.54,0.08402977150803251
0.24,0.76,0.010121079933168497
0.32,0.5,0.025279047317722198
0.2,0.62,0.013544365872976605
0.9,0.22,0.009998242206078938
0.4,0.5,0.01684401211980624
0.54,0.48,0.013225283428680016
0.46,0.4,0.0222931354696453
0.5,0.3,0.02806527201638207
0.38,0.38,0.05294674123285634
0.16,0.36,0.2482663662687356
0.12,0.76,0.010065987594169986
0.0,0.06,0.7949961310613167
0.8200000000000001,0.58,0.12227206258614871
0.84,0.04,0.00991733339162101
0.8200000000000001,0.3,0.010565203582026126
0.18,0.44,0.09619917966159211
0.24,0.76,0.010121079933168497
0.44,0.1,0.10798300293428945
0.16,0.18,0.8205254718268934
0.96,0.2,0.009952236057515444
0.14,0.3,0.4407702792794399
0.96,1.0,0.7642121044662619
0.62,0.64,0.06331354852073026
0.18,0.9400000000000001,0.009931621005741409
0.14,0.0,0.7949961310621263
0.38,0.86,0.014199345817873181
0.7000000000000001,0.86,0.44077027927944007
0.26,0.68,0.010715173668811855
0.36,0.26,0.16341769224020164
0.88,0.5,0.04993809470342627
0.06,0.0,0.7949961310613167
0.46,0.84,0.029080933393695316
0.9,0.5,0.050259577452090524
0.66,0.24,0.011215739327502828
0.3,0.98,0.010551308062864433
0.1,0.84,0.009920735194087295
0.28,0.88,0.010353673033254964
0.62,0.18,0.013810560309109063
0.3,0.8,0.010530712366706553
0.92,0.5,0.049937943362686206
0.64,0.02,0.012455258974751464
0.66,0.2,0.011449014029960645
0.58,0.26,0.01585305670009625
0.74,0.78,0.4547810975442974
0.28,0.2,0.43393124477243306
0.12,0.72,0.010353673033254964
0.48,0.38,0.02152487524273111
0.68,0.64,0.10720491142384116
0.62,0.7000000000000001,0.10264463819748693
0.7000000000000001,0.32,0.01071410710243751
0.28,0.5,0.031030567701381077
0.62,0.34,0.011692480837406543
0.42,0.24,0.09620035291264419
0.64,0.48,0.017584309903097558
0.0,0.62,0.013532939804683355
1.0,0.8200000000000001,0.7231316613186034
0.84,0.62,0.20196039643852434
0.9,0.56,0.10798300293428945
0.88,0.32,0.01107842666639432
0.38,0.02,0.191500594485131
0.42,0.32,0.05842436389345466
0.72,0.8200000000000001,0.4655873675878189
0.96,0.04,0.009901536196132345
0.78,0.7000000000000001,0.34345502219790686
0.12,0.26,0.5985351374603773
0.26,0.08,0.5985351364324609
0.98,0.9400000000000001,0.8536076899740189
0.96,0.68,0.35985602557311697
0.58,1.0,0.11446544680006275
0.5,0.34,0.022730549119376147
0.32,0.52,0.02100992823300876
0.72,0.58,0.07671218202380362
0.7000000000000001,0.12,0.010636456944772166
0.04,0.5,0.04745580378774786
0.6,0.02,0.01577058216367645
0.16,0.44,0.10116953812200104
0.66,0.58,0.050278110702267016
0.68,0.1,0.011086954332096726
0.28,0.14,0.5115019040294118
0.68,0.56,0.04717375877707446
0.16,0.16,0.8672155726005669
0.44,0.16,0.10116953812200104
0.16,0.76,0.010064213039027279
0.98,0.66,0.2851853395664744
0.18,0.92,0.009932963320920663
0.62,0.14,0.014199345817873181
0.18,0.9400000000000001,0.009931621005741409
0.36,0.72,0.011536863749585046
0.08,0.9400000000000001,0.009902957206851654
0.88,0.64,0.2640204763810947
1.0,0.7000000000000001,0.3741379671426681
0.22,0.16,0.7006695867262283
0.0,0.48,0.055042484671396025
0.1,0.12,0.9921108055976261
0.88,0.76,0.6735841560785645
0.5,0.3,0.02806527201638207
0.58,0.7000000000000001,0.06729448448152042
0.68,0.64,0.10720491142384116
0.98,0.8,0.7231316613260464
0.16,0.9,0.009920735194087295
0.1,0.3,0.45478107318632055
0.8,0.06,0.00995461835178373
0.08,0.32,0.38298540433667755
0.12,0.36,0.2640204763810947
0.66,0.54,0.03336479396606177
0.48,0.46,0.014634092868899554
0.1,0.92,0.009904983697683953
0.9,0.9,1.0
0.06,0.68,0.011048873618831874
0.8200000000000001,0.28,0.010316355122781815
0.78,0.88,0.7463241487552806
