,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,M,0.0,1.0,0.0,0.00990099157789989
1,0,1,0,M,1.0,1.0,1.0,0.6735841552321062
2,0,2,0,M,1.0,0.36,1.0,0.012277784771448438
3,0,2,0,M,3.0,0.0,0.0,0.673584155232106
4,0,3,0,M,0.0,0.52,0.36,0.017584309903097558
5,0,3,0,M,1.0,1.0,0.5,0.042943692401363975
6,0,3,0,M,2.0,0.0,0.6,0.015362803068544288
7,0,3,0,M,3.0,0.5,0.0,0.042943692401363975
8,0,4,0,M,0.0,0.8,0.22,0.010020072498856964
9,0,4,0,M,1.0,0.66,0.76,0.22131235954466824
10,0,4,0,M,3.0,0.18,0.3,0.4013302381797083
11,0,5,0,M,3.0,0.24,0.0,0.5576432389641515
12,0,6,0,M,2.0,0.0,1.0,0.00990099157789989
13,0,7,0,M,1.0,0.68,1.0,0.3178100925567947
14,0,7,0,M,3.0,0.0,0.3,0.374137967142668
15,0,8,0,M,3.0,0.74,0.0,0.010125326091911706
16,0,9,0,M,1.0,0.42,0.7000000000000001,0.01443242358105384
17,0,9,0,M,2.0,0.32,0.66,0.010985540202990607
18,0,9,0,M,3.0,0.4,0.18,0.15389987073195338
19,0,10,0,M,0.0,1.0,0.76,0.5576432389641515
20,0,11,0,M,2.0,0.14,0.84,0.009926505372376502
21,0,13,0,M,1.0,0.76,0.52,0.04716133293214081
22,0,22,0,M,2.0,0.0,0.8,0.00994586732240386
23,0,29,0,M,2.0,0.36,0.46,0.029140068952988363
24,0,30,0,M,0.0,1.0,0.24,0.010034331625259546
25,0,30,0,M,3.0,0.62,0.16,0.01403250871900813
26,0,40,0,M,0.0,0.84,0.9,0.9312186984906012
27,0,51,0,M,3.0,0.08,0.14,0.961177656734446
28,0,63,0,M,2.0,0.14,0.52,0.038058628833050834
29,0,98,0,M,2.0,0.0,0.44,0.09020369234436296
30,0,102,0,M,1.0,0.5,0.9,0.050259577452090524
31,1,1,0,M,3.0,1.0,1.0,0.6735841552321062
32,1,2,0,M,1.0,1.0,0.0,0.00990099157789989
33,1,2,0,M,2.0,0.0,1.0,0.00990099157789989
34,1,2,0,M,3.0,1.0,0.46,0.02677537418904204
35,1,3,0,M,0.0,0.0,0.0,0.673584155232106
36,1,3,0,M,2.0,0.0,0.52,0.033703691952778746
37,1,3,0,M,3.0,0.5,1.0,0.042943692401363975
38,1,4,0,M,2.0,0.48,0.48,0.013824917143364429
39,1,5,0,M,0.0,0.44,0.0,0.09020369234436296
40,1,5,0,M,1.0,0.5,0.0,0.042943692401363975
41,1,5,0,M,2.0,0.26,0.76,0.010183731850888764
42,1,6,0,M,0.0,0.2,0.28,0.43393124477243306
43,1,6,0,M,1.0,0.76,0.26,0.010183731850888764
44,1,6,0,M,3.0,0.76,0.74,0.4108382039680829
45,1,7,0,M,0.0,0.0,0.26,0.4957047679587813
46,1,8,0,M,0.0,0.0,0.76,0.010034331625259546
47,1,9,0,M,3.0,1.0,0.74,0.4957047679587813
48,1,10,0,M,1.0,0.48,0.24,0.04716133293214081
49,1,10,0,M,2.0,0.24,1.0,0.010034331625259546
50,1,10,0,M,3.0,0.76,1.0,0.5576432389641515
51,1,14,0,M,1.0,1.0,0.2,0.00994586732240386
52,1,15,0,M,3.0,0.84,0.52,0.061207217894589584
53,1,19,0,M,0.0,0.24,0.52,0.029554568734244988
54,1,19,0,M,3.0,0.88,0.88,0.9842844729740324
55,1,23,0,M,1.0,0.8,0.0,0.00994586732240386
56,1,30,0,M,1.0,0.22,0.1,0.7522391634848619
57,1,32,0,M,2.0,0.5,0.76,0.037177973335398816
58,1,45,0,M,0.0,0.16,0.0,0.7642121044678257
59,1,46,0,M,3.0,0.68,0.46,0.017818336416763572
60,1,47,0,M,2.0,0.12,0.88,0.00991104546532131
61,1,64,0,M,2.0,0.64,0.88,0.2640204763810947
62,1,90,0,M,0.0,0.12,0.66,0.011757319638420971
63,1,92,0,M,2.0,0.38,0.9,0.014337642821942706
64,1,101,0,M,1.0,0.66,0.12,0.011757319638420971
65,1,102,0,M,2.0,0.62,0.62,0.05294674123285634
66,2,1,0,M,0.0,1.0,0.0,0.00990099157789989
67,2,1,0,M,1.0,0.3,0.0,0.374137967142668
68,2,1,0,M,3.0,1.0,1.0,0.6735841552321062
69,2,2,0,M,1.0,0.0,1.0,0.00990099157789989
70,2,2,0,M,2.0,0.0,0.7000000000000001,0.01050608403594439
71,2,2,0,M,3.0,0.3,1.0,0.01050608403594439
72,2,3,0,M,1.0,0.66,0.48,0.019192107733959175
73,2,4,0,M,0.0,1.0,0.42,0.01798419351731321
74,2,4,0,M,1.0,0.26,0.4,0.1079848102314062
75,2,4,0,M,2.0,0.0,0.26,0.4957047679587813
76,2,4,0,M,3.0,1.0,0.56,0.09020369234436296
77,2,5,0,M,0.0,0.66,0.0,0.011431693414498158
78,2,5,0,M,2.0,0.0,0.0,0.673584155232106
79,2,5,0,M,3.0,0.66,0.9,0.3227762690403935
80,2,6,0,M,0.0,0.52,0.24,0.029554568734244988
81,2,6,0,M,2.0,0.38,0.22,0.1646503697051507
82,2,7,0,M,2.0,0.0,0.48,0.055042484671396025
83,2,8,0,M,1.0,0.4,0.7000000000000001,0.01302060954911364
84,2,9,0,M,0.0,0.8200000000000001,0.2,0.009974619929672359
85,2,9,0,M,2.0,0.16,0.14,0.9022032503250778
86,2,9,0,M,3.0,0.84,0.76,0.6324391107850748
87,2,11,0,M,0.0,0.46,0.46,0.01587992638024139
88,2,17,0,M,3.0,0.8,1.0,0.6735841552371565
89,2,22,0,M,3.0,1.0,0.8200000000000001,0.7231316613186034
90,2,27,0,M,2.0,0.18,0.66,0.01155577985310455
91,2,28,0,M,0.0,1.0,0.18,0.009926393971022324
92,2,28,0,M,3.0,1.0,0.2,0.00994586732240386
93,2,41,0,M,2.0,0.0,0.8200000000000001,0.009926393971022324
94,2,47,0,M,0.0,0.84,0.0,0.009915131611182898
95,2,55,0,M,2.0,0.14,0.0,0.7949961310621263
96,2,56,0,M,3.0,0.86,0.48,0.038058628833050834
97,2,60,0,M,0.0,0.48,0.0,0.055042484671396025
98,2,77,0,M,1.0,0.5,1.0,0.042943692401363975
99,2,82,0,M,2.0,0.12,0.34,0.32028325558468
100,2,90,0,M,0.0,0.7000000000000001,0.34,0.010974563689726685
101,2,103,0,M,1.0,0.26,0.84,0.01016631535353109
102,3,1,0,M,2.0,1.0,0.0,0.00990099157789989
103,3,2,0,M,0.0,0.0,0.0,0.673584155232106
104,3,2,0,M,1.0,1.0,0.92,0.8140663452021899
105,3,3,0,M,0.0,0.0,0.7000000000000001,0.01050608403594439
106,3,3,0,M,2.0,0.3,0.64,0.011396568955191632
107,3,4,0,M,2.0,0.5,0.0,0.042943692401363975
108,3,4,0,M,3.0,0.54,1.0,0.07059243162992812
109,3,5,0,M,1.0,1.0,0.46,0.02677537418904204
110,3,5,0,M,2.0,0.78,0.44,0.020691501073081545
111,3,6,0,M,0.0,0.0,1.0,0.00990099157789989
112,3,6,0,M,2.0,0.38,0.3,0.10264463819748693
113,3,6,0,M,3.0,0.12,1.0,0.00990514311082838
114,3,7,0,M,0.0,0.0,0.34,0.266061571983096
115,3,8,0,M,1.0,0.72,0.74,0.32028337149993824
116,3,8,0,M,3.0,0.72,0.78,0.3982113160739343
