X,Y,Means
0,0,-0.11394
0,0.02,-0.084242
0,0.04,-0.056043
0,0.06,-0.029922
0,0.08,-0.0064086
0,0.1,0.014038
0,0.12,0.031046
0,0.14,0.044341
0,0.16,0.053763
0,0.18,0.059271
0,0.2,0.060944
0,0.22,0.058982
0,0.24,0.053699
0,0.26,0.045508
0,0.28,0.034911
0,0.3,0.022476
0,0.32,0.0088167
0,0.34,-0.0054294
0,0.36,-0.019627
0,0.38,-0.033167
0,0.4,-0.045487
0,0.42,-0.056094
0,0.44,-0.064581
0,0.46,-0.070638
0,0.48,-0.074065
0,0.5,-0.074773
0,0.52,-0.072786
0,0.54,-0.068235
0,0.56,-0.06135
0,0.58,-0.052447
0,0.6,-0.041911
0,0.62,-0.03018
0,0.64,-0.017727
0,0.66,-0.0050375
0,0.68,0.0074068
0,0.7,0.019147
0,0.72,0.029764
0,0.74,0.038887
0,0.76,0.046212
0,0.78,0.051502
0,0.8,0.054593
0,0.82,0.055399
0,0.84,0.053905
0,0.86,0.050164
0,0.88,0.044292
0,0.9,0.036458
0,0.92,0.026874
0,0.94,0.015784
0,0.96,0.0034577
0,0.98,-0.0098271
0,1,-0.023789
0.02,0,-0.084242
0.02,0.02,-0.05099
0.02,0.04,-0.019451
0.02,0.06,0.0097372
0.02,0.08,0.035991
0.02,0.1,0.058804
0.02,0.12,0.077765
0.02,0.14,0.092575
0.02,0.16,0.10306
0.02,0.18,0.10918
0.02,0.2,0.11102
0.02,0.22,0.10881
0.02,0.24,0.1029
0.02,0.26,0.093752
0.02,0.28,0.081925
0.02,0.3,0.068051
0.02,0.32,0.052816
0.02,0.34,0.036927
0.02,0.36,0.021093
0.02,0.38,0.0059922
0.02,0.4,-0.0077498
0.02,0.42,-0.019583
0.02,0.44,-0.029053
0.02,0.46,-0.035816
0.02,0.48,-0.039645
0.02,0.5,-0.040442
0.02,0.52,-0.038231
0.02,0.54,-0.033158
0.02,0.56,-0.025477
0.02,0.58,-0.01554
0.02,0.6,-0.0037746
0.02,0.62,0.0093291
